Freq.	V(vout)
6.16595001861481e+000	(2.25294860168637e-001dB,-1.72851663374092e+002°)
6.30957344480192e+000	(2.35459345143472e-001dB,-1.72699164613508e+002°)
6.45654229034654e+000	(2.46061222452731e-001dB,-1.72544053649181e+002°)
6.60693448007594e+000	(2.57117391538348e-001dB,-1.72386329797784e+002°)
6.76082975391980e+000	(2.68645231385219e-001dB,-1.72225995880023e+002°)
6.91830970918935e+000	(2.80662598140344e-001dB,-1.72063058470295e+002°)
7.07945784384136e+000	(2.93187821018717e-001dB,-1.71897528158564e+002°)
7.24435960074988e+000	(3.06239695544634e-001dB,-1.71729419818152e+002°)
7.41310241300916e+000	(3.19837475648490e-001dB,-1.71558752887040e+002°)
7.58577575029182e+000	(3.34000862486555e-001dB,-1.71385551653269e+002°)
7.76247116628690e+000	(3.48749991303685e-001dB,-1.71209845551875e+002°)
7.94328234724279e+000	(3.64105414962209e-001dB,-1.71031669469238e+002°)
8.12830516164097e+000	(3.80088085512584e-001dB,-1.70851064052774e+002°)
8.31763771102669e+000	(3.96719331392437e-001dB,-1.70668076030228e+002°)
8.51138038202374e+000	(4.14020832175325e-001dB,-1.70482758530728e+002°)
8.70963589956078e+000	(4.32014589750603e-001dB,-1.70295171409930e+002°)
8.91250938133743e+000	(4.50722895148203e-001dB,-1.70105381582522e+002°)
9.12010839355907e+000	(4.70168291863663e-001dB,-1.69913463351314e+002°)
9.33254300796988e+000	(4.90373535136573e-001dB,-1.69719498737273e+002°)
9.54992586021433e+000	(5.11361546941580e-001dB,-1.69523577810312e+002°)
9.77237220955808e+000	(5.33155366100288e-001dB,-1.69325799012873e+002°)
9.99999999999997e+000	(5.55778094017482e-001dB,-1.69126269478415e+002°)
1.02329299228075e+001	(5.79252835907511e-001dB,-1.68925105345113e+002°)
1.04712854805090e+001	(6.03602636560249e-001dB,-1.68722432051448e+002°)
1.07151930523760e+001	(6.28850411901373e-001dB,-1.68518384627170e+002°)
1.09647819614318e+001	(6.55018874689991e-001dB,-1.68313107960906e+002°)
1.12201845430196e+001	(6.82130455659035e-001dB,-1.68106757051805e+002°)
1.14815362149688e+001	(7.10207219513796e-001dB,-1.67899497240775e+002°)
1.17489755493953e+001	(7.39270776063413e-001dB,-1.67691504411028e+002°)
1.20226443461741e+001	(7.69342185851671e-001dB,-1.67482965164103e+002°)
1.23026877081238e+001	(8.00441861260150e-001dB,-1.67274076961639e+002°)
1.25892541179416e+001	(8.32589463590363e-001dB,-1.67065048232116e+002°)
1.28824955169313e+001	(8.65803794336792e-001dB,-1.66856098435721e+002°)
1.31825673855640e+001	(9.00102684532568e-001dB,-1.66647458091095e+002°)
1.34896288259165e+001	(9.35502877411860e-001dB,-1.66439368749439e+002°)
1.38038426460288e+001	(9.72019910695241e-001dB,-1.66232082923183e+002°)
1.41253754462275e+001	(1.00966799381643e+000dB,-1.66025863958224e+002°)
1.44543977074592e+001	(1.04845988379907e+000dB,-1.65820985852516e+002°)
1.47910838816820e+001	(1.08840675952380e+000dB,-1.65617733011354e+002°)
1.51356124843620e+001	(1.12951809383264e+000dB,-1.65416399943299e+002°)
1.54881661891248e+001	(1.17180152664953e+000dB,-1.65217290890334e+002°)
1.58489319246111e+001	(1.21526273719293e+000dB,-1.65020719390390e+002°)
1.62181009735892e+001	(1.25990531833484e+000dB,-1.64827007773101e+002°)
1.65958690743755e+001	(1.30573065213029e+000dB,-1.64636486582960e+002°)
1.69824365246174e+001	(1.35273778943569e+000dB,-1.64449493935646e+002°)
1.73780082874937e+001	(1.40092333178152e+000dB,-1.64266374800674e+002°)
1.77827941003892e+001	(1.45028131998040e+000dB,-1.64087480215622e+002°)
1.81970085860998e+001	(1.50080312718337e+000dB,-1.63913166430336e+002°)
1.86208713666286e+001	(1.55247735900047e+000dB,-1.63743793983656e+002°)
1.90546071796324e+001	(1.60528976190021e+000dB,-1.63579726714947e+002°)
1.94984459975804e+001	(1.65922313975935e+000dB,-1.63421330713389e+002°)
1.99526231496887e+001	(1.71425728072406e+000dB,-1.63268973208846e+002°)
2.04173794466952e+001	(1.77036889414921e+000dB,-1.63123021407743e+002°)
2.08929613085403e+001	(1.82753155901812e+000dB,-1.62983841279415e+002°)
2.13796208950222e+001	(1.88571568485501e+000dB,-1.62851796299126e+002°)
2.18776162394954e+001	(1.94488848607686e+000dB,-1.62727246153215e+002°)
2.23872113856833e+001	(2.00501396864887e+000dB,-1.62610545412229e+002°)
2.29086765276776e+001	(2.06605293212681e+000dB,-1.62502042180677e+002°)
2.34422881531991e+001	(2.12796298602789e+000dB,-1.62402076729692e+002°)
2.39883291901948e+001	(2.19069858079479e+000dB,-1.62310980121775e+002°)
2.45470891568502e+001	(2.25421105433727e+000dB,-1.62229072834549e+002°)
2.51188643150957e+001	(2.31844869427442e+000dB,-1.62156663392055e+002°)
2.57039578276885e+001	(2.38335681496758e+000dB,-1.62094047014107e+002°)
2.63026799189537e+001	(2.44887784955422e+000dB,-1.62041504288075e+002°)
2.69153480392690e+001	(2.51495145783065e+000dB,-1.61999299875199e+002°)
2.75422870333815e+001	(2.58151464858212e+000dB,-1.61967681260531e+002°)
2.81838293126444e+001	(2.64850191516190e+000dB,-1.61946877549442e+002°)
2.88403150312659e+001	(2.71584538566507e+000dB,-1.61937098323528e+002°)
2.95120922666637e+001	(2.78347498515344e+000dB,-1.61938532561228e+002°)
3.01995172040200e+001	(2.85131861077335e+000dB,-1.61951347632175e+002°)
3.09029543251358e+001	(2.91930231652724e+000dB,-1.61975688364548e+002°)
3.16227766016837e+001	(2.98735050993010e+000dB,-1.62011676205096e+002°)
3.23593656929627e+001	(3.05538615595455e+000dB,-1.62059408460046e+002°)
3.31131121482590e+001	(3.12333098968180e+000dB,-1.62118957634637e+002°)
3.38844156139201e+001	(3.19110573582524e+000dB,-1.62190370871328e+002°)
3.46736850452530e+001	(3.25863033257260e+000dB,-1.62273669481193e+002°)
3.54813389233574e+001	(3.32582416087410e+000dB,-1.62368848588231e+002°)
3.63078054770100e+001	(3.39260627513395e+000dB,-1.62475876869373e+002°)
3.71535229097171e+001	(3.45889563685293e+000dB,-1.62594696400627e+002°)
3.80189396320559e+001	(3.52461134678759e+000dB,-1.62725222610467e+002°)
3.89045144994279e+001	(3.58967287768369e+000dB,-1.62867344332528e+002°)
3.98107170553495e+001	(3.65400030326885e+000dB,-1.63020923958248e+002°)
4.07380277804111e+001	(3.71751452489595e+000dB,-1.63185797692768e+002°)
4.16869383470333e+001	(3.78013749241490e+000dB,-1.63361775899202e+002°)
4.26579518801591e+001	(3.84179242017326e+000dB,-1.63548643537265e+002°)
