#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321AA23CA
#Date Time: 2019-10-31 13:00:47.632
#Start: 100 Hz
#Stop: 1e+06 Hz
#Steps: 501
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.5478 V
#Offset: -0.00029488 V
#Relative: no
#Channel: Channel 2
#Range: 5.4859 V
#Offset: -5.08746e-06 V
#Relative: yes

aY CHE la concha de tu madre alan vos y tu sallen key forro
Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (*)
100,0.00654507819175725,-0.02917572638467123,-7.728630610707057
101.8591388054117,0.006333303067200624,-0.02939750998176536,-7.874225823196205
103.7528415818013,0.006594010000581659,-0.03001156957963467,-8.024167376339705
105.6817509213658,0.006735357503822597,-0.03075401310945413,-8.172633941852695
107.6465213629835,0.006453817019522605,-0.0308873922941099,-8.32494052498518
109.6478196143185,0.006594620230183056,-0.03154541179090092,-8.480316464244595
111.6863247780561,0.006418209852489224,-0.03192408808901649,-8.639153785777907
113.7627285823431,0.006832608427769471,-0.03237295256804706,-8.797953819287343
115.8777356155126,0.006576959990295903,-0.03299396102750779,-8.961896842094092
118.032063565173,0.006225539924736341,-0.03346470738665873,-9.127013498236778
120.2264434617413,0.006459437564926639,-0.03419347783329951,-9.297254371836431
122.4616199265049,0.006497375018016555,-0.03447466583707796,-9.469835303279154
124.7383514242943,0.006439620527841187,-0.03503272641580826,-9.645514899438473
127.0574105208542,0.006117170800744435,-0.03532464182663982,-9.823458610101767
129.4195841449986,0.006428697676433778,-0.03617787825508285,-10.00692572143248
131.8256738556407,0.006582274614823819,-0.03703737175390341,-10.19240869957781
134.2764961137864,0.006568774368507163,-0.0373757518201845,-10.38063010528373
136.7728825595849,0.006519279822180354,-0.03784319510415315,-10.57357784452141
139.3156802945304,0.00656089433059768,-0.03858432195768633,-10.77057550585572
141.9057521689093,0.006532253739311313,-0.03932514139111598,-10.96909738907526
144.5439770745928,0.00657300842860196,-0.04035088362133465,-11.17153049841368
147.2312502432719,0.006626626953611858,-0.04113958541223154,-11.38287387399141
149.9684835502374,0.006660830021490782,-0.04140326723432512,-11.5925417783229
152.7566058238073,0.006387472154080979,-0.04205972233756997,-11.80833216393285
155.5965631605075,0.006776998859989464,-0.04323430790429955,-12.02583163365165
158.4893192461114,0.006598435162416416,-0.04407649559386161,-12.24806789358848
161.4358556826487,0.006333706620515035,-0.04488229454570624,-12.4752405689083
164.4371723214932,0.006812210566253836,-0.04607915355828079,-12.7090538506247
167.4942876026438,0.006641977613929428,-0.04708099360070171,-12.94310976123984
170.6082389003124,0.006942162571144243,-0.04785819413227155,-13.1829132677483
173.7800828749376,0.006307382016044219,-0.04885809180533146,-13.42920971858135
177.0108958317422,0.006492505732846373,-0.04977289580777367,-13.67756557128597
180.301774085957,0.006381864111342715,-0.0510113033743733,-13.93200723063521
183.6538343348347,0.006528302428367127,-0.05228952715327841,-14.1885577154367
187.0682140365801,0.006324282558634761,-0.05295607470187102,-14.45315323563509
190.5460717963248,0.006385852417534496,-0.05423818453870972,-14.71928443833946
194.0885877592777,0.00654143911751123,-0.05538723300058016,-14.99439666687852
197.696964011186,0.006538924733354635,-0.05678840338436085,-15.27229846211496
201.3724249862388,0.006208020791802758,-0.05781281997895854,-15.55497048207949
205.1162178825565,0.006715520939570337,-0.05923060450871949,-15.84221318437486
208.9296130854039,0.006421330725082264,-0.06065758405719487,-16.13764401133773
212.8139045982711,0.006357573674225897,-0.0620321930689377,-16.43548694071689
216.7704104819694,0.006480977496816526,-0.0634707654504264,-16.73964709555078
220.8004733018899,0.006477180205856463,-0.06536108265055497,-17.05180351461888
224.905460583578,0.00645546588424359,-0.06664174484586388,-17.36729499692353
229.0867652767772,0.006475566987505232,-0.06843582254288676,-17.68901474697327
233.3458062281002,0.006521076969433544,-0.07004618765244548,-18.01780923865539
237.6840286624876,0.006370494220453229,-0.07206376205586632,-18.35093100547624
242.1029046736178,0.006369561931259839,-0.07341870039974044,-18.69467866390355
246.6039337234339,0.00637036335013628,-0.07542853335247937,-19.03936822249977
251.1886431509579,0.006438556514720136,-0.07763818442520043,-19.39251415432135
255.8585886905645,0.006330222399827616,-0.07955998870519497,-19.75201484241668
260.6153549998895,0.006233817762323185,-0.08130781019976754,-20.11864053896426
265.4605561975539,0.006449142812735243,-0.0836550204029704,-20.49010451825573
270.3958364108843,0.006167715514160056,-0.08579731705698873,-20.87184750446474
275.4228703338166,0.006386391690420693,-0.08816397677925245,-21.25979763401627
280.5433637951713,0.006349740719570444,-0.09075150217019679,-21.65261728975094
285.7590543374947,0.006609454879805773,-0.09339367547410292,-22.05379664466203
291.0717118066605,0.006273948219746858,-0.09540285201552559,-22.4636901926617
296.4831389524343,0.006467413342612863,-0.0980237829128966,-22.88017932807716
301.9951720402016,0.006440313538852155,-0.1011805415647788,-23.30363137676162
307.6096814740708,0.006145526484361332,-0.1038212090407031,-23.7358987779103
313.3285724315585,0.006536762599732225,-0.1068522240640419,-24.17568322738109
319.1537855100761,0.006306375413315289,-0.1094736031966395,-24.6244849833931
325.0872973854343,0.006410836414010215,-0.1130109342483281,-25.08038419003283
331.1311214825911,0.006008137136217099,-0.1157157996111442,-25.54559624637659
337.2873086588689,0.00615743191734431,-0.1194339402169216,-26.0203628511067
343.5579478998746,0.006318063336035028,-0.1227110922231368,-26.50160859959228
349.9451670283573,0.005982497590221221,-0.126296292078574,-26.99419048658586
