#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A35FCC
#Date Time: 2019-11-01 15:49:58.187
#Start: 1000 Hz
#Stop: 99140.6 Hz
#Steps: 997
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 59.5625 V
#Offset: 0.000112961 V
#Relative: no
#Channel: Channel 2
#Range: 60.1219 V
#Offset: -0.0024229 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (*)
1000,0.01025199258844351,0.8657654117280358,172.8594476210071
1004.611742099608,0.01042737946851158,0.8660229722840667,172.8186342514572
1009.24475236441,0.01142131505377442,0.8644016579233171,172.793085778719
1013.899128877698,0.01075557878017379,0.8658039545759449,172.7557745269932
1018.574970175099,0.01076585989696219,0.8647337501514811,172.725270161159
1023.272375246663,0.01140721696754533,0.8641985680828436,172.6952429461834
1027.991443538954,0.0105558467771357,0.8654099008209157,172.664445796317
1032.732274957159,0.01148316238701029,0.8649336677159559,172.6285029061956
1037.494969867204,0.01157969355518395,0.8652096843641922,172.5911666560633
1042.279629097872,0.01149201751252404,0.8648715319786986,172.5563008204753
1047.086353942948,0.0112443282692167,0.8663426691701721,172.5173106964497
1051.915246163351,0.0111309586348981,0.865622260636173,172.4806862271396
1056.766407989303,0.01140459317756456,0.865319686784459,172.4507015487245
1061.639942122479,0.01117606750261096,0.8665067601177161,172.4203675702824
1066.535951738191,0.01240266507958635,0.864331080823489,172.381521237547
1071.454540487568,0.01109173456636472,0.8673441651366144,172.3527215456682
1076.395812499751,0.01193013597369694,0.8658402226395998,172.3090525802392
1081.359872384098,0.01175947550014092,0.8668369985396662,172.2744703751944
1086.346825232399,0.0125241708569153,0.8657734035895197,172.2478862082254
1091.356776621099,0.01237448609357896,0.8658556783188852,172.2014160494473
1096.389832613535,0.01289584770565439,0.865661342977544,172.1702175392812
1101.446099762181,0.01242574653159464,0.8655404749160099,172.1341860663241
1106.525685110904,0.01234844483400532,0.8665347227791026,172.0974257529696
1111.628696197228,0.01313590830327905,0.8651590960151727,172.0591901653301
1116.755241054613,0.01240978772372653,0.8664391074198979,172.030111694336
1121.905428214743,0.01256068909035838,0.8669926245856696,171.9869353085916
1127.07936670982,0.01335605346371947,0.8658551030726729,171.9521557357924
1132.277166074876,0.01404863834581841,0.8649222298714775,171.9174198132154
1137.498936350088,0.01358444250822693,0.8654922399763343,171.874679867074
1142.744788083114,0.01385174617814178,0.8653275586892534,171.8351935900336
1148.014832331424,0.01400294437986452,0.8658451251962838,171.8024505014689
1153.309180664662,0.01360121706390572,0.8663720103010513,171.7609028459296
1158.627945166998,0.01437134111014312,0.8651775150817244,171.7286749789212
1163.971238439508,0.01357992671301208,0.8665022129333909,171.6889127613435
1169.339173602552,0.01391276694124101,0.8666448901506107,171.642294314624
1174.731864298177,0.01481150235064225,0.8652456835317114,171.6124859245347
1180.149424692511,0.01432117087655524,0.8664812910716484,171.574929525581
1185.591969478195,0.0150612537029451,0.8658643521697615,171.5310318838849
1191.059613876795,0.01504649815880359,0.86584452321288,171.4892589559426
1196.552473641254,0.01428238299964076,0.8668649945384674,171.4565136896761
1202.070665058335,0.01462376496646358,0.8667346332923326,171.41616434737
1207.614304951089,0.01492045793097537,0.8666456556865085,171.376637983532
1213.183510681322,0.01591588212931454,0.8658100904275551,171.3326754257315
1218.778400152082,0.01547964430330682,0.8672424802695683,171.2960567349753
1224.399091810156,0.01447694969559657,0.8674062741883247,171.2645529698897
1230.045704648578,0.01554472177136484,0.8662137273452872,171.2075275515423
1235.718358209149,0.01594079948145338,0.8666033090526254,171.1754334411496
1241.417172584961,0.01721506458904554,0.8648749393999156,171.1333942164257
1247.142268422948,0.01652296686673449,0.8659306078833389,171.0953455594831
1252.893766926435,0.01632284579327192,0.8667923711345036,171.0585521749663
1258.671789857706,0.01696837401323458,0.8653370411133133,171.0122040516102
1264.476459540582,0.0174890880572329,0.86539787024772,170.9708242448434
1270.30789886301,0.01702264831217373,0.866181561851841,170.9289197091154
1276.166231279661,0.01702353797774386,0.8668500474095175,170.8884363878956
1282.051580814552,0.01724026447323024,0.8664579733868293,170.8497688795612
1287.964072063663,0.01690585685006982,0.8667856975181631,170.8047685334812
1293.903830197582,0.01735329797559995,0.8670738203857233,170.7602246617886
1299.870980964149,0.01770983685715618,0.8667510117258136,170.7226189142467
1305.865650691121,0.01772042860199918,0.8661296672998765,170.6658406285008
1311.887966288846,0.01732161563079446,0.8671818365601031,170.6304499752732
1317.938055252949,0.01861133419073681,0.8655247212794663,170.5877350970136
1324.016045667035,0.01767025894192448,0.8676365411690711,170.5435174179933
1330.122066205395,0.01776999147045729,0.8678997693183426,170.506311615754
1336.256246135732,0.01897258029612191,0.8666481575526164,170.4605585752377
1342.418715321901,0.01978328408231977,0.8661664336926331,170.4068175477375
1348.609604226653,0.01894232219836225,0.86669924775272,170.3684248984425
1354.829043914401,0.01976622555015236,0.866304380086676,170.318931459453
1361.077166053994,0.01860184216594479,0.867570027944342,170.2887525282052
1367.3541029215,0.01935984471473077,0.8671702318205704,170.2386296381245
1373.659987403015,0.0197189527315966,0.8677113480293085,170.1885893217379
1379.994952997469,0.01958812782348645,0.8675278479592559,170.1474013729386
1386.359133819454,0.02108158236867782,0.8655072466665334,170.1007868267342
1392.752664602066,0.02046824752953037,0.8672107800764299,170.054015430355
1399.175680699753,0.02044475324845232,0.8674067763236437,170.0030245366428
