Freq.	V(vout)
1.12979591467280e+000	(4.28153112573968e+001dB,1.79998630995362e+002°)
1.13240036323556e+000	(4.28153112573861e+001dB,1.79998627839480e+002°)
1.13501081567231e+000	(4.28153112573754e+001dB,1.79998624676324e+002°)
1.13762728582343e+000	(4.28153112573647e+001dB,1.79998621505875e+002°)
1.14024978756117e+000	(4.28153112573538e+001dB,1.79998618328118e+002°)
1.14287833478977e+000	(4.28153112573430e+001dB,1.79998615143035e+002°)
1.14551294144553e+000	(4.28153112573321e+001dB,1.79998611950610e+002°)
1.14815362149688e+000	(4.28153112573211e+001dB,1.79998608750826e+002°)
1.15080038894443e+000	(4.28153112573101e+001dB,1.79998605543666e+002°)
1.15345325782109e+000	(4.28153112572991e+001dB,1.79998602329112e+002°)
1.15611224219210e+000	(4.28153112572880e+001dB,1.79998599107148e+002°)
1.15877735615512e+000	(4.28153112572768e+001dB,1.79998595877756e+002°)
1.16144861384034e+000	(4.28153112572656e+001dB,1.79998592640920e+002°)
1.16412602941049e+000	(4.28153112572544e+001dB,1.79998589396622e+002°)
1.16680961706096e+000	(4.28153112572431e+001dB,1.79998586144846e+002°)
1.16949939101987e+000	(4.28153112572316e+001dB,1.79998582885573e+002°)
1.17219536554813e+000	(4.28153112572203e+001dB,1.79998579618787e+002°)
1.17489755493953e+000	(4.28153112572088e+001dB,1.79998576344470e+002°)
1.17760597352080e+000	(4.28153112571973e+001dB,1.79998573062605e+002°)
1.18032063565173e+000	(4.28153112571857e+001dB,1.79998569773175e+002°)
1.18304155572516e+000	(4.28153112571740e+001dB,1.79998566476161e+002°)
1.18576874816716e+000	(4.28153112571624e+001dB,1.79998563171547e+002°)
1.18850222743702e+000	(4.28153112571507e+001dB,1.79998559859316e+002°)
1.19124200802737e+000	(4.28153112571389e+001dB,1.79998556539449e+002°)
1.19398810446427e+000	(4.28153112571270e+001dB,1.79998553211928e+002°)
1.19674053130724e+000	(4.28153112571152e+001dB,1.79998549876737e+002°)
1.19949930314938e+000	(4.28153112571032e+001dB,1.79998546533858e+002°)
1.20226443461741e+000	(4.28153112570912e+001dB,1.79998543183273e+002°)
1.20503594037179e+000	(4.28153112570791e+001dB,1.79998539824963e+002°)
1.20781383510678e+000	(4.28153112570670e+001dB,1.79998536458912e+002°)
1.21059813355048e+000	(4.28153112570548e+001dB,1.79998533085101e+002°)
1.21338885046497e+000	(4.28153112570425e+001dB,1.79998529703513e+002°)
1.21618600064636e+000	(4.28153112570302e+001dB,1.79998526314130e+002°)
1.21898959892486e+000	(4.28153112570179e+001dB,1.79998522916933e+002°)
1.22179966016487e+000	(4.28153112570056e+001dB,1.79998519511905e+002°)
1.22461619926504e+000	(4.28153112569931e+001dB,1.79998516099027e+002°)
1.22743923115840e+000	(4.28153112569805e+001dB,1.79998512678282e+002°)
1.23026877081238e+000	(4.28153112569680e+001dB,1.79998509249652e+002°)
1.23310483322890e+000	(4.28153112569553e+001dB,1.79998505813117e+002°)
1.23594743344451e+000	(4.28153112569426e+001dB,1.79998502368661e+002°)
1.23879658653036e+000	(4.28153112569298e+001dB,1.79998498916264e+002°)
1.24165230759241e+000	(4.28153112569170e+001dB,1.79998495455909e+002°)
1.24451461177138e+000	(4.28153112569042e+001dB,1.79998491987576e+002°)
1.24738351424294e+000	(4.28153112568912e+001dB,1.79998488511249e+002°)
1.25025903021771e+000	(4.28153112568782e+001dB,1.79998485026907e+002°)
1.25314117494141e+000	(4.28153112568652e+001dB,1.79998481534534e+002°)
1.25602996369487e+000	(4.28153112568521e+001dB,1.79998478034109e+002°)
1.25892541179416e+000	(4.28153112568389e+001dB,1.79998474525615e+002°)
1.26182753459066e+000	(4.28153112568257e+001dB,1.79998471009034e+002°)
1.26473634747115e+000	(4.28153112568124e+001dB,1.79998467484346e+002°)
1.26765186585784e+000	(4.28153112567991e+001dB,1.79998463951532e+002°)
1.27057410520854e+000	(4.28153112567856e+001dB,1.79998460410575e+002°)
1.27350308101666e+000	(4.28153112567722e+001dB,1.79998456861455e+002°)
1.27643880881134e+000	(4.28153112567587e+001dB,1.79998453304153e+002°)
1.27938130415752e+000	(4.28153112567450e+001dB,1.79998449738651e+002°)
1.28233058265602e+000	(4.28153112567314e+001dB,1.79998446164929e+002°)
1.28528665994361e+000	(4.28153112567176e+001dB,1.79998442582969e+002°)
1.28824955169313e+000	(4.28153112567039e+001dB,1.79998438992752e+002°)
1.29121927361353e+000	(4.28153112566900e+001dB,1.79998435394259e+002°)
1.29419584144998e+000	(4.28153112566761e+001dB,1.79998431787470e+002°)
1.29717927098395e+000	(4.28153112566621e+001dB,1.79998428172367e+002°)
1.30016957803328e+000	(4.28153112566480e+001dB,1.79998424548930e+002°)
1.30316677845229e+000	(4.28153112566339e+001dB,1.79998420917140e+002°)
1.30617088813183e+000	(4.28153112566198e+001dB,1.79998417276979e+002°)
1.30918192299940e+000	(4.28153112566055e+001dB,1.79998413628425e+002°)
1.31219989901920e+000	(4.28153112565913e+001dB,1.79998409971461e+002°)
1.31522483219223e+000	(4.28153112565768e+001dB,1.79998406306067e+002°)
1.31825673855640e+000	(4.28153112565624e+001dB,1.79998402632223e+002°)
1.32129563418657e+000	(4.28153112565480e+001dB,1.79998398949910e+002°)
1.32434153519466e+000	(4.28153112565333e+001dB,1.79998395259108e+002°)
1.32739445772973e+000	(4.28153112565187e+001dB,1.79998391559798e+002°)
1.33045441797808e+000	(4.28153112565040e+001dB,1.79998387851961e+002°)
1.33352143216332e+000	(4.28153112564892e+001dB,1.79998384135576e+002°)
1.33659551654643e+000	(4.28153112564743e+001dB,1.79998380410623e+002°)
1.33967668742593e+000	(4.28153112564594e+001dB,1.79998376677084e+002°)
1.34276496113786e+000	(4.28153112564445e+001dB,1.79998372934938e+002°)
1.34586035405594e+000	(4.28153112564295e+001dB,1.79998369184166e+002°)
1.34896288259164e+000	(4.28153112564143e+001dB,1.79998365424747e+002°)
1.35207256319427e+000	(4.28153112563991e+001dB,1.79998361656662e+002°)
1.35518941235103e+000	(4.28153112563839e+001dB,1.79998357879891e+002°)
1.35831344658715e+000	(4.28153112563685e+001dB,1.79998354094413e+002°)
1.36144468246594e+000	(4.28153112563531e+001dB,1.79998350300209e+002°)
1.36458313658892e+000	(4.28153112563376e+001dB,1.79998346497258e+002°)
1.36772882559584e+000	(4.28153112563221e+001dB,1.79998342685541e+002°)
1.37088176616484e+000	(4.28153112563065e+001dB,1.79998338865036e+002°)
1.37404197501251e+000	(4.28153112562908e+001dB,1.79998335035725e+002°)
1.37720946889394e+000	(4.28153112562750e+001dB,1.79998331197586e+002°)
1.38038426460288e+000	(4.28153112562592e+001dB,1.79998327350599e+002°)
1.38356637897177e+000	(4.28153112562433e+001dB,1.79998323494744e+002°)
1.38675582887188e+000	(4.28153112562273e+001dB,1.79998319630000e+002°)
1.38995263121334e+000	(4.28153112562113e+001dB,1.79998315756347e+002°)
1.39315680294529e+000	(4.28153112561951e+001dB,1.79998311873764e+002°)
1.39636836105593e+000	(4.28153112561790e+001dB,1.79998307982231e+002°)
1.39958732257261e+000	(4.28153112561626e+001dB,1.79998304081728e+002°)
1.40281370456195e+000	(4.28153112561462e+001dB,1.79998300172232e+002°)
1.40604752412990e+000	(4.28153112561299e+001dB,1.79998296253725e+002°)
