time	V(n006)
2.493488719993624e-005	-2.133009e+000
2.523488719993624e-005	-2.378746e+000
2.553488719993624e-005	-2.606988e+000
2.583488719993623e-005	-2.817733e+000
2.613488719993623e-005	-3.010983e+000
2.643488719993623e-005	-3.186736e+000
2.673488719993622e-005	-3.344994e+000
2.703488719993622e-005	-3.485756e+000
2.733488719993622e-005	-3.615546e+000
2.763488719993622e-005	-3.736095e+000
2.793488719993621e-005	-3.847404e+000
2.823488719993621e-005	-3.949471e+000
2.853488719993621e-005	-4.042298e+000
2.883488719993620e-005	-4.125884e+000
2.913488719993620e-005	-4.200230e+000
2.943488719993620e-005	-4.268780e+000
2.973488719993620e-005	-4.332450e+000
3.003488719993620e-005	-4.391239e+000
3.033488719993620e-005	-4.445148e+000
3.063488719993620e-005	-4.494176e+000
3.093488719993620e-005	-4.538323e+000
3.123488719993620e-005	-4.577590e+000
3.153488719993621e-005	-4.613795e+000
3.183488719993622e-005	-4.647423e+000
3.213488719993623e-005	-4.678474e+000
3.243488719993623e-005	-4.706946e+000
3.273488719993624e-005	-4.732841e+000
3.303488719993625e-005	-4.756158e+000
3.333488719993626e-005	-4.776898e+000
3.363488719993626e-005	-4.796020e+000
3.393488719993627e-005	-4.813782e+000
3.423488719993628e-005	-4.830181e+000
3.453488719993628e-005	-4.845220e+000
3.483488719993629e-005	-4.858896e+000
3.513488719993630e-005	-4.871212e+000
3.543488719993631e-005	-4.882165e+000
3.573488719993631e-005	-4.892265e+000
3.603488719993632e-005	-4.901646e+000
3.633488719993633e-005	-4.910308e+000
3.663488719993634e-005	-4.918251e+000
3.693488719993634e-005	-4.925474e+000
3.723488719993635e-005	-4.931978e+000
3.753488719993636e-005	-4.937764e+000
3.783488719993636e-005	-4.943098e+000
3.813488719993637e-005	-4.948053e+000
3.843488719993638e-005	-4.952627e+000
3.873488719993639e-005	-4.956823e+000
3.903488719993639e-005	-4.960638e+000
3.933488719993640e-005	-4.964073e+000
3.963488719993641e-005	-4.967129e+000
3.985376188565978e-005	-4.969223e+000
4.007263657138315e-005	-4.971203e+000
4.029151125710652e-005	-4.973067e+000
4.051038594282989e-005	-4.974816e+000
4.072926062855326e-005	-4.976450e+000
4.094813531427663e-005	-4.977969e+000
4.116701000000000e-005	-4.979373e+000
4.116702000000000e-005	-4.979357e+000
4.136771388570519e-005	-4.394335e+000
4.156840777141038e-005	-3.839227e+000
4.176910165711557e-005	-3.314035e+000
4.196979554282075e-005	-2.818757e+000
4.217048942852594e-005	-2.353395e+000
4.237118331423113e-005	-1.917948e+000
4.257187719993632e-005	-1.512416e+000
4.277187719993632e-005	-1.128289e+000
4.287187719993632e-005	-9.448075e-001
4.297187719993633e-005	-7.668192e-001
4.307187719993633e-005	-5.941600e-001
4.317187719993633e-005	-4.266701e-001
4.327187719993633e-005	-2.641950e-001
4.337187719993634e-005	-1.065844e-001
4.347187719993634e-005	4.630738e-002
