Freq.	V(out)/V(in)
1.14815362149688e-004	(1.13009447279593e+002dB,1.75503752558806e+002°)
1.17489755493953e-004	(1.13008189603077e+002dB,1.75399465987522e+002°)
1.20226443461741e-004	(1.13006873044338e+002dB,1.75292781889826e+002°)
1.23026877081238e-004	(1.13005494865735e+002dB,1.75183646661040e+002°)
1.25892541179416e-004	(1.13004052204173e+002dB,1.75072005605648e+002°)
1.28824955169313e-004	(1.13002542065531e+002dB,1.74957802922883e+002°)
1.31825673855640e-004	(1.13000961318859e+002dB,1.74840981692708e+002°)
1.34896288259165e-004	(1.12999306690334e+002dB,1.74721483862280e+002°)
1.38038426460288e-004	(1.12997574756970e+002dB,1.74599250232954e+002°)
1.41253754462275e-004	(1.12995761940071e+002dB,1.74474220447878e+002°)
1.44543977074592e-004	(1.12993864498428e+002dB,1.74346332980279e+002°)
1.47910838816820e-004	(1.12991878521236e+002dB,1.74215525122495e+002°)
1.51356124843620e-004	(1.12989799920737e+002dB,1.74081732975851e+002°)
1.54881661891248e-004	(1.12987624424573e+002dB,1.73944891441458e+002°)
1.58489319246111e-004	(1.12985347567842e+002dB,1.73804934212047e+002°)
1.62181009735893e-004	(1.12982964684855e+002dB,1.73661793764913e+002°)
1.65958690743756e-004	(1.12980470900578e+002dB,1.73515401356114e+002°)
1.69824365246174e-004	(1.12977861121748e+002dB,1.73365687016002e+002°)
1.73780082874937e-004	(1.12975130027676e+002dB,1.73212579546241e+002°)
1.77827941003892e-004	(1.12972272060702e+002dB,1.73056006518428e+002°)
1.81970085860998e-004	(1.12969281416317e+002dB,1.72895894274457e+002°)
1.86208713666286e-004	(1.12966152032933e+002dB,1.72732167928777e+002°)
1.90546071796324e-004	(1.12962877581301e+002dB,1.72564751372704e+002°)
1.94984459975804e-004	(1.12959451453572e+002dB,1.72393567280945e+002°)
1.99526231496887e-004	(1.12955866751993e+002dB,1.72218537120513e+002°)
2.04173794466952e-004	(1.12952116277232e+002dB,1.72039581162221e+002°)
2.08929613085403e-004	(1.12948192516341e+002dB,1.71856618494955e+002°)
2.13796208950222e-004	(1.12944087630341e+002dB,1.71669567042911e+002°)
2.18776162394955e-004	(1.12939793441440e+002dB,1.71478343586044e+002°)
2.23872113856833e-004	(1.12935301419870e+002dB,1.71282863783933e+002°)
2.29086765276777e-004	(1.12930602670369e+002dB,1.71083042203306e+002°)
2.34422881531991e-004	(1.12925687918285e+002dB,1.70878792349491e+002°)
2.39883291901948e-004	(1.12920547495327e+002dB,1.70670026702026e+002°)
2.45470891568502e-004	(1.12915171324962e+002dB,1.70456656754733e+002°)
2.51188643150957e-004	(1.12909548907476e+002dB,1.70238593060517e+002°)
2.57039578276885e-004	(1.12903669304694e+002dB,1.70015745281201e+002°)
2.63026799189537e-004	(1.12897521124402e+002dB,1.69788022242693e+002°)
2.69153480392691e-004	(1.12891092504462e+002dB,1.69555331995816e+002°)
2.75422870333816e-004	(1.12884371096656e+002dB,1.69317581883115e+002°)
2.81838293126444e-004	(1.12877344050289e+002dB,1.69074678611995e+002°)
2.88403150312660e-004	(1.12869997995556e+002dB,1.68826528334527e+002°)
2.95120922666637e-004	(1.12862319026743e+002dB,1.68573036734274e+002°)
3.01995172040200e-004	(1.12854292685258e+002dB,1.68314109120519e+002°)
3.09029543251358e-004	(1.12845903942573e+002dB,1.68049650530238e+002°)
3.16227766016837e-004	(1.12837137183090e+002dB,1.67779565838209e+002°)
3.23593656929627e-004	(1.12827976187011e+002dB,1.67503759875626e+002°)
3.31131121482590e-004	(1.12818404113254e+002dB,1.67222137557593e+002°)
3.38844156139201e-004	(1.12808403482485e+002dB,1.66934604019871e+002°)
3.46736850452530e-004	(1.12797956160335e+002dB,1.66641064765250e+002°)
3.54813389233574e-004	(1.12787043340882e+002dB,1.66341425819901e+002°)
3.63078054770100e-004	(1.12775645530485e+002dB,1.66035593900065e+002°)
3.71535229097171e-004	(1.12763742532051e+002dB,1.65723476589410e+002°)
3.80189396320560e-004	(1.12751313429850e+002dB,1.65404982527374e+002°)
3.89045144994279e-004	(1.12738336574970e+002dB,1.65080021608788e+002°)
3.98107170553496e-004	(1.12724789571548e+002dB,1.64748505195038e+002°)
4.07380277804111e-004	(1.12710649263875e+002dB,1.64410346337003e+002°)
4.16869383470334e-004	(1.12695891724531e+002dB,1.64065460009964e+002°)
4.26579518801591e-004	(1.12680492243678e+002dB,1.63713763360617e+002°)
4.36515832240164e-004	(1.12664425319664e+002dB,1.63355175966289e+002°)
4.46683592150961e-004	(1.12647664651095e+002dB,1.62989620106399e+002°)
4.57088189614873e-004	(1.12630183130542e+002dB,1.62617021046113e+002°)
4.67735141287196e-004	(1.12611952840053e+002dB,1.62237307332101e+002°)
4.78630092322636e-004	(1.12592945048658e+002dB,1.61850411100193e+002°)
4.89778819368444e-004	(1.12573130212047e+002dB,1.61456268394653e+002°)
5.01187233627270e-004	(1.12552477974612e+002dB,1.61054819498696e+002°)
5.12861383991363e-004	(1.12530957174073e+002dB,1.60646009275738e+002°)
5.24807460249770e-004	(1.12508535848856e+002dB,1.60229787520794e+002°)
5.37031796370250e-004	(1.12485181248457e+002dB,1.59806109321268e+002°)
5.49540873857622e-004	(1.12460859846994e+002dB,1.59374935426282e+002°)
5.62341325190347e-004	(1.12435537360136e+002dB,1.58936232623515e+002°)
5.75439937337154e-004	(1.12409178765636e+002dB,1.58489974122423e+002°)
5.88843655355586e-004	(1.12381748327655e+002dB,1.58036139942492e+002°)
6.02559586074355e-004	(1.12353209625070e+002dB,1.57574717305076e+002°)
6.16595001861479e-004	(1.12323525583964e+002dB,1.57105701027163e+002°)
6.30957344480190e-004	(1.12292658514444e+002dB,1.56629093915282e+002°)
6.45654229034653e-004	(1.12260570151980e+002dB,1.56144907157550e+002°)
6.60693448007593e-004	(1.12227221703372e+002dB,1.55653160711751e+002°)
6.76082975391979e-004	(1.12192573897489e+002dB,1.55153883687108e+002°)
6.91830970918933e-004	(1.12156587040858e+002dB,1.54647114717313e+002°)
7.07945784384135e-004	(1.12119221078181e+002dB,1.54132902322179e+002°)
7.24435960074987e-004	(1.12080435657814e+002dB,1.53611305255180e+002°)
7.41310241300914e-004	(1.12040190202204e+002dB,1.53082392833984e+002°)
7.58577575029180e-004	(1.11998443983258e+002dB,1.52546245251012e+002°)
7.76247116628688e-004	(1.11955156202555e+002dB,1.52002953860939e+002°)
7.94328234724278e-004	(1.11910286076295e+002dB,1.51452621442000e+002°)
8.12830516164095e-004	(1.11863792924799e+002dB,1.50895362427955e+002°)
8.31763771102667e-004	(1.11815636266358e+002dB,1.50331303107500e+002°)
8.51138038202372e-004	(1.11765775915160e+002dB,1.49760581788022e+002°)
8.70963589956076e-004	(1.11714172082968e+002dB,1.49183348920574e+002°)
8.91250938133741e-004	(1.11660785484187e+002dB,1.48599767183130e+002°)
9.12010839355905e-004	(1.11605577443882e+002dB,1.48010011519265e+002°)
9.33254300796986e-004	(1.11548510008286e+002dB,1.47414269129620e+002°)
9.54992586021431e-004	(1.11489546057246e+002dB,1.46812739413747e+002°)
9.77237220955805e-004	(1.11428649418051e+002dB,1.46205633860171e+002°)
9.99999999999995e-004	(1.11365784980012e+002dB,1.45593175882874e+002°)
1.02329299228075e-003	(1.11300918809122e+002dB,1.44975600602710e+002°)
1.04712854805089e-003	(1.11234018262106e+002dB,1.44353154572686e+002°)
1.07151930523760e-003	(1.11165052099139e+002dB,1.43726095446486e+002°)
1.09647819614318e-003	(1.11093990594454e+002dB,1.43094691590046e+002°)
1.12201845430196e-003	(1.11020805644099e+002dB,1.42459221636511e+002°)
1.14815362149688e-003	(1.10945470870054e+002dB,1.41819973985401e+002°)
1.17489755493952e-003	(1.10867961719928e+002dB,1.41177246247342e+002°)
1.20226443461741e-003	(1.10788255561489e+002dB,1.40531344636250e+002°)
1.23026877081237e-003	(1.10706331771267e+002dB,1.39882583311391e+002°)
1.25892541179416e-003	(1.10622171816525e+002dB,1.39231283672270e+002°)
1.28824955169313e-003	(1.10535759329919e+002dB,1.38577773609778e+002°)
1.31825673855640e-003	(1.10447080176224e+002dB,1.37922386717557e+002°)
1.34896288259165e-003	(1.10356122510551e+002dB,1.37265461467931e+002°)
1.38038426460288e-003	(1.10262876827559e+002dB,1.36607340357201e+002°)
1.41253754462275e-003	(1.10167336001224e+002dB,1.35948369025431e+002°)
1.44543977074592e-003	(1.10069495314817e+002dB,1.35288895356163e+002°)
1.47910838816820e-003	(1.09969352480825e+002dB,1.34629268561721e+002°)
1.51356124843620e-003	(1.09866907650633e+002dB,1.33969838259960e+002°)
1.54881661891247e-003	(1.09762163413880e+002dB,1.33310953548393e+002°)
1.58489319246110e-003	(1.09655124787506e+002dB,1.32652962081678e+002°)
1.62181009735892e-003	(1.09545799194567e+002dB,1.31996209158400e+002°)
1.65958690743755e-003	(1.09434196433027e+002dB,1.31341036822966e+002°)
1.69824365246173e-003	(1.09320328634797e+002dB,1.30687782988271e+002°)
1.73780082874937e-003	(1.09204210215385e+002dB,1.30036780584520e+002°)
1.77827941003891e-003	(1.09085857814584e+002dB,1.29388356739305e+002°)
1.81970085860997e-003	(1.08965290228741e+002dB,1.28742831993671e+002°)
1.86208713666286e-003	(1.08842528335148e+002dB,1.28100519558495e+002°)
1.90546071796324e-003	(1.08717595009213e+002dB,1.27461724615043e+002°)
1.94984459975803e-003	(1.08590515035079e+002dB,1.26826743663100e+002°)
1.99526231496887e-003	(1.08461315010419e+002dB,1.26195863919555e+002°)
2.04173794466952e-003	(1.08330023246140e+002dB,1.25569362769797e+002°)
2.08929613085403e-003	(1.08196669661779e+002dB,1.24947507273730e+002°)
2.13796208950222e-003	(1.08061285677348e+002dB,1.24330553727731e+002°)
2.18776162394954e-003	(1.07923904102420e+002dB,1.23718747283277e+002°)
2.23872113856833e-003	(1.07784559023209e+002dB,1.23112321622531e+002°)
2.29086765276776e-003	(1.07643285688406e+002dB,1.22511498690632e+002°)
2.34422881531991e-003	(1.07500120394486e+002dB,1.21916488484012e+002°)
2.39883291901948e-003	(1.07355100371191e+002dB,1.21327488893609e+002°)
2.45470891568501e-003	(1.07208263667840e+002dB,1.20744685601462e+002°)
2.51188643150956e-003	(1.07059649041090e+002dB,1.20168252028836e+002°)
2.57039578276885e-003	(1.06909295844714e+002dB,1.19598349333681e+002°)
2.63026799189536e-003	(1.06757243921918e+002dB,1.19035126454990e+002°)
2.69153480392690e-003	(1.06603533500680e+002dB,1.18478720201385e+002°)
2.75422870333815e-003	(1.06448205092510e+002dB,1.17929255381072e+002°)
2.81838293126444e-003	(1.06291299395019e+002dB,1.17386844970184e+002°)
2.88403150312659e-003	(1.06132857198594e+002dB,1.16851590316410e+002°)
2.95120922666637e-003	(1.05972919297452e+002dB,1.16323581374764e+002°)
3.01995172040200e-003	(1.05811526405269e+002dB,1.15802896972320e+002°)
3.09029543251357e-003	(1.05648719075564e+002dB,1.15289605098740e+002°)
3.16227766016836e-003	(1.05484537626942e+002dB,1.14783763219476e+002°)
3.23593656929626e-003	(1.05319022073265e+002dB,1.14285418608576e+002°)
3.31131121482589e-003	(1.05152212058794e+002dB,1.13794608698124e+002°)
3.38844156139200e-003	(1.04984146798285e+002dB,1.13311361441458e+002°)
3.46736850452529e-003	(1.04814865022004e+002dB,1.12835695687413e+002°)
3.54813389233573e-003	(1.04644404925590e+002dB,1.12367621563021e+002°)
3.63078054770099e-003	(1.04472804124663e+002dB,1.11907140862186e+002°)
3.71535229097170e-003	(1.04300099614060e+002dB,1.11454247438093e+002°)
3.80189396320559e-003	(1.04126327731560e+002dB,1.11008927597187e+002°)
3.89045144994278e-003	(1.03951524125922e+002dB,1.10571160492804e+002°)
3.98107170553494e-003	(1.03775723729082e+002dB,1.10140918516642e+002°)
4.07380277804110e-003	(1.03598960732311e+002dB,1.09718167686476e+002°)
4.16869383470332e-003	(1.03421268566141e+002dB,1.09302868028644e+002°)
4.26579518801590e-003	(1.03242679883861e+002dB,1.08894973954023e+002°)
4.36515832240163e-003	(1.03063226548378e+002dB,1.08494434626344e+002°)
4.46683592150960e-003	(1.02882939622234e+002dB,1.08101194321867e+002°)
4.57088189614872e-003	(1.02701849360573e+002dB,1.07715192779549e+002°)
4.67735141287195e-003	(1.02519985206856e+002dB,1.07336365541004e+002°)
4.78630092322635e-003	(1.02337375791120e+002dB,1.06964644279638e+002°)
4.89778819368443e-003	(1.02154048930577e+002dB,1.06599957118511e+002°)
5.01187233627269e-003	(1.01970031632368e+002dB,1.06242228936520e+002°)
5.12861383991361e-003	(1.01785350098288e+002dB,1.05891381662672e+002°)
5.24807460249769e-003	(1.01600029731287e+002dB,1.05547334558225e+002°)
5.37031796370249e-003	(1.01414095143589e+002dB,1.05210004486632e+002°)
5.49540873857621e-003	(1.01227570166262e+002dB,1.04879306171236e+002°)
5.62341325190345e-003	(1.01040477860074e+002dB,1.04555152440787e+002°)
5.75439937337153e-003	(1.00852840527495e+002dB,1.04237454462840e+002°)
5.88843655355585e-003	(1.00664679725704e+002dB,1.03926121965234e+002°)
6.02559586074353e-003	(1.00476016280468e+002dB,1.03621063445803e+002°)
6.16595001861478e-003	(1.00286870300764e+002dB,1.03322186370585e+002°)
6.30957344480189e-003	(1.00097261194045e+002dB,1.03029397360787e+002°)
6.45654229034651e-003	(9.99072076820268e+001dB,1.02742602368802e+002°)
6.60693448007591e-003	(9.97167278169035e+001dB,1.02461706843591e+002°)
6.76082975391977e-003	(9.95258389979060e+001dB,1.02186615885784e+002°)
6.91830970918931e-003	(9.93345579881091e+001dB,1.01917234392836e+002°)
7.07945784384132e-003	(9.91429009314177e+001dB,1.01653467194605e+002°)
7.24435960074984e-003	(9.89508833696603e+001dB,1.01395219179723e+002°)
7.41310241300912e-003	(9.87585202597245e+001dB,1.01142395413138e+002°)
7.58577575029178e-003	(9.85658259906800e+001dB,1.00894901245188e+002°)
7.76247116628686e-003	(9.83728144008335e+001dB,1.00652642412599e+002°)
7.94328234724275e-003	(9.81794987946720e+001dB,1.00415525131769e+002°)
8.12830516164093e-003	(9.79858919596516e+001dB,1.00183456184706e+002°)
8.31763771102664e-003	(9.77920061827945e+001dB,9.99563429979897e+001°)
8.51138038202370e-003	(9.75978532670637e+001dB,9.97340937151015e+001°)
8.70963589956074e-003	(9.74034445474840e+001dB,9.95166172624739e+001°)
8.91250938133739e-003	(9.72087909069886e+001dB,9.93038234095984e+001°)
9.12010839355903e-003	(9.70139027919659e+001dB,9.90956228235169e+001°)
9.33254300796984e-003	(9.68187902274924e+001dB,9.88919271180128e+001°)
9.54992586021428e-003	(9.66234628322341e+001dB,9.86926488978100e+001°)
9.77237220955803e-003	(9.64279298330050e+001dB,9.84977017980739e+001°)
9.99999999999992e-003	(9.62322000789742e+001dB,9.83070005194966e+001°)
1.02329299228075e-002	(9.60362820555109e+001dB,9.81204608592413e+001°)
1.04712854805089e-002	(9.58401838976649e+001dB,9.79379997380031e+001°)
1.07151930523760e-002	(9.56439134032770e+001dB,9.77595352234377e+001°)
1.09647819614318e-002	(9.54474780457182e+001dB,9.75849865501953e+001°)
1.12201845430195e-002	(9.52508849862560e+001dB,9.74142741367850e+001°)
1.14815362149687e-002	(9.50541410860495e+001dB,9.72473195994873e+001°)
1.17489755493952e-002	(9.48572529177753e+001dB,9.70840457635176e+001°)
1.20226443461740e-002	(9.46602267768859e+001dB,9.69243766716369e+001°)
1.23026877081237e-002	(9.44630686925058e+001dB,9.67682375903922e+001°)
1.25892541179416e-002	(9.42657844379694e+001dB,9.66155550141627e+001°)
1.28824955169312e-002	(9.40683795410056e+001dB,9.64662566671752e+001°)
1.31825673855640e-002	(9.38708592935762e+001dB,9.63202715036454e+001°)
1.34896288259164e-002	(9.36732287613733e+001dB,9.61775297061912e+001°)
1.38038426460287e-002	(9.34754927929834e+001dB,9.60379626826575e+001°)
1.41253754462274e-002	(9.32776560287252e+001dB,9.59015030614814e+001°)
1.44543977074592e-002	(9.30797229091690e+001dB,9.57680846857216e+001°)
1.47910838816820e-002	(9.28816976833443e+001dB,9.56376426058656e+001°)
1.51356124843620e-002	(9.26835844166455e+001dB,9.55101130715251e+001°)
1.54881661891247e-002	(9.24853869984418e+001dB,9.53854335221176e+001°)
1.58489319246110e-002	(9.22871091494009e+001dB,9.52635425766325e+001°)
1.62181009735892e-002	(9.20887544285339e+001dB,9.51443800225677e+001°)
1.65958690743755e-002	(9.18903262399704e+001dB,9.50278868041216e+001°)
1.69824365246173e-002	(9.16918278394708e+001dB,9.49140050097167e+001°)
1.73780082874936e-002	(9.14932623406855e+001dB,9.48026778589283e+001°)
1.77827941003891e-002	(9.12946327211680e+001dB,9.46938496888849e+001°)
1.81970085860997e-002	(9.10959418281500e+001dB,9.45874659402034e+001°)
1.86208713666285e-002	(9.08971923840871e+001dB,9.44834731425177e+001°)
1.90546071796323e-002	(9.06983869919825e+001dB,9.43818188996551e+001°)
1.94984459975803e-002	(9.04995281404955e+001dB,9.42824518745103e+001°)
1.99526231496886e-002	(9.03006182088443e+001dB,9.41853217736648e+001°)
2.04173794466951e-002	(9.01016594715080e+001dB,9.40903793317942e+001°)
2.08929613085402e-002	(8.99026541027374e+001dB,9.39975762959040e+001°)
2.13796208950221e-002	(8.97036041808795e+001dB,9.39068654094307e+001°)
2.18776162394953e-002	(8.95045116925238e+001dB,9.38182003962429e+001°)
2.23872113856832e-002	(8.93053785364770e+001dB,9.37315359445732e+001°)
2.29086765276775e-002	(8.91062065275717e+001dB,9.36468276909108e+001°)
2.34422881531990e-002	(8.89069974003166e+001dB,9.35640322038811e+001°)
2.39883291901947e-002	(8.87077528123930e+001dB,9.34831069681363e+001°)
2.45470891568501e-002	(8.85084743480048e+001dB,9.34040103682810e+001°)
2.51188643150956e-002	(8.83091635210869e+001dB,9.33267016728511e+001°)
2.57039578276884e-002	(8.81098217783775e+001dB,9.32511410183672e+001°)
2.63026799189536e-002	(8.79104505023604e+001dB,9.31772893934775e+001°)
2.69153480392689e-002	(8.77110510140817e+001dB,9.31051086232065e+001°)
2.75422870333814e-002	(8.75116245758467e+001dB,9.30345613533247e+001°)
2.81838293126443e-002	(8.73121723938006e+001dB,9.29656110348495e+001°)
2.88403150312658e-002	(8.71126956203995e+001dB,9.28982219086909e+001°)
2.95120922666636e-002	(8.69131953567742e+001dB,9.28323589904513e+001°)
3.01995172040199e-002	(8.67136726549930e+001dB,9.27679880553889e+001°)
3.09029543251356e-002	(8.65141285202263e+001dB,9.27050756235523e+001°)
3.16227766016835e-002	(8.63145639128176e+001dB,9.26435889450943e+001°)
3.23593656929625e-002	(8.61149797502651e+001dB,9.25834959857702e+001°)
3.31131121482588e-002	(8.59153769091166e+001dB,9.25247654126280e+001°)
3.38844156139200e-002	(8.57157562267829e+001dB,9.24673665798918e+001°)
3.46736850452529e-002	(8.55161185032715e+001dB,9.24112695150473e+001°)
3.54813389233572e-002	(8.53164645028450e+001dB,9.23564449051279e+001°)
3.63078054770098e-002	(8.51167949556070e+001dB,9.23028640832078e+001°)
3.71535229097169e-002	(8.49171105590184e+001dB,9.22504990151030e+001°)
3.80189396320558e-002	(8.47174119793478e+001dB,9.21993222862813e+001°)
3.89045144994277e-002	(8.45176998530579e+001dB,9.21493070889849e+001°)
3.98107170553494e-002	(8.43179747881307e+001dB,9.21004272095632e+001°)
4.07380277804109e-002	(8.41182373653355e+001dB,9.20526570160196e+001°)
4.16869383470332e-002	(8.39184881394402e+001dB,9.20059714457706e+001°)
4.26579518801589e-002	(8.37187276403691e+001dB,9.19603459936167e+001°)
4.36515832240162e-002	(8.35189563743108e+001dB,9.19157566999261e+001°)
4.46683592150959e-002	(8.33191748247756e+001dB,9.18721801390299e+001°)
4.57088189614871e-002	(8.31193834536079e+001dB,9.18295934078263e+001°)
