Freq.	V(vin)/I(R3)
1.00000000000000e+001	(1.09707688701013e+002dB,1.79937275022485e+002°)
1.25892541179417e+001	(1.09707683677750e+002dB,1.79921033974141e+002°)
1.58489319246111e+001	(1.09707675716427e+002dB,1.79900587747757e+002°)
1.99526231496888e+001	(1.09707663098615e+002dB,1.79874847557764e+002°)
2.51188643150958e+001	(1.09707643100816e+002dB,1.79842442746035e+002°)
3.16227766016838e+001	(1.09707611406652e+002dB,1.79801647839403e+002°)
3.98107170553497e+001	(1.09707561175322e+002dB,1.79750290761812e+002°)
5.01187233627272e+001	(1.09707481565371e+002dB,1.79685637362642e+002°)
6.30957344480194e+001	(1.09707355395474e+002dB,1.79604246210820e+002°)
7.94328234724282e+001	(1.09707155438133e+002dB,1.79501786119268e+002°)
1.00000000000000e+002	(1.09706838548375e+002dB,1.79372807075645e+002°)
1.25892541179417e+002	(1.09706336365379e+002dB,1.79210453165090e+002°)
1.58489319246111e+002	(1.09705540593124e+002dB,1.79006103760436e+002°)
1.99526231496888e+002	(1.09704279715941e+002dB,1.78748926985604e+002°)
2.51188643150958e+002	(1.09702282205837e+002dB,1.78425327866745e+002°)
3.16227766016838e+002	(1.09699118487384e+002dB,1.78018274085072e+002°)
3.98107170553498e+002	(1.09694109652172e+002dB,1.77506487790057e+002°)
5.01187233627273e+002	(1.09686184512926e+002dB,1.76863508481144e+002°)
6.30957344480194e+002	(1.09673657356594e+002dB,1.76056671145407e+002°)
7.94328234724282e+002	(1.09653886354660e+002dB,1.75046127460241e+002°)
1.00000000000000e+003	(1.09622758260489e+002dB,1.73784204574617e+002°)
1.25892541179417e+003	(1.09573934656422e+002dB,1.72215707659634e+002°)
1.58489319246111e+003	(1.09497805762239e+002dB,1.70280308723683e+002°)
1.99526231496888e+003	(1.09380169634007e+002dB,1.67918968233496e+002°)
2.51188643150958e+003	(1.09200861697631e+002dB,1.65087226728636e+002°)
3.16227766016838e+003	(1.08932992739815e+002dB,1.61778347433859e+002°)
3.98107170553498e+003	(1.08544095018045e+002dB,1.58056684886898e+002°)
5.01187233627273e+003	(1.08000894151186e+002dB,1.54093720140704e+002°)
6.30957344480194e+003	(1.07278558414205e+002dB,1.50186934495428e+002°)
7.94328234724283e+003	(1.06372317469879e+002dB,1.46736044904739e+002°)
1.00000000000000e+004	(1.05305974466234e+002dB,1.44167815792519e+002°)
1.25892541179417e+004	(1.04132115914906e+002dB,1.42834392446996e+002°)
1.58489319246112e+004	(1.02923555263853e+002dB,1.42927194752132e+002°)
1.99526231496888e+004	(1.01759659867403e+002dB,1.44432748193191e+002°)
2.51188643150958e+004	(1.00711360080144e+002dB,1.47135691130792e+002°)
3.16227766016839e+004	(9.98278907684158e+001dB,1.50668874532958e+002°)
3.98107170553498e+004	(9.91291964938019e+001dB,1.54603467549298e+002°)
5.01187233627273e+004	(9.86073464048553e+001dB,1.58549583134618e+002°)
6.30957344480195e+004	(9.82357919796319e+001dB,1.62225590191475e+002°)
7.94328234724283e+004	(9.79809363665316e+001dB,1.65475338735431e+002°)
1.00000000000000e+005	(9.78108496307246e+001dB,1.68245631582306e+002°)
1.25892541179417e+005	(9.76994928348737e+001dB,1.70549687627695e+002°)
1.58489319246112e+005	(9.76275268821426e+001dB,1.72434884315344e+002°)
1.99526231496888e+005	(9.75814148903900e+001dB,1.73960989482453e+002°)
2.51188643150959e+005	(9.75520330978949e+001dB,1.75187924608731e+002°)
3.16227766016839e+005	(9.75333787740386e+001dB,1.76169998467302e+002°)
3.98107170553498e+005	(9.75215627670752e+001dB,1.76953873118946e+002°)
5.01187233627273e+005	(9.75140897010725e+001dB,1.77578430826204e+002°)
6.30957344480195e+005	(9.75093681074212e+001dB,1.78075482937822e+002°)
7.94328234724283e+005	(9.75063862654285e+001dB,1.78470766461471e+002°)
1.00000000000000e+006	(9.75045013602576e+001dB,1.78784966107973e+002°)
1.25892541179417e+006	(9.75033054453656e+001dB,1.79034650251776e+002°)
1.58489319246112e+006	(9.75025432900536e+001dB,1.79233058531107e+002°)
1.99526231496888e+006	(9.75020579202813e+001dB,1.79390723386031e+002°)
2.51188643150959e+006	(9.75017503747657e+001dB,1.79516000792085e+002°)
3.00000000000000e+006	(9.75015931240424e+001dB,1.79594737177966e+002°)
