v3	V(vo)
3.500000000000000e-001	-7.275000e-003
3.600000000000000e-001	4.926485e-001
3.700000000000000e-001	9.926033e-001
3.800000000000000e-001	1.492558e+000
3.900000000000000e-001	1.992513e+000
4.000000000000000e-001	2.492468e+000
4.100000000000000e-001	2.992423e+000
4.200000000000000e-001	3.492378e+000
4.300000000000001e-001	3.992332e+000
4.400000000000001e-001	4.492277e+000
4.500000000000000e-001	4.986443e+000
