frequency,MAG,PHA
20.000000000000004,12.5631578947368,48.8421052631579
21.956875341184983,13.3888888888889,50.0
24.105218737416855,13.4526315789474,51.3684210526316
26.463764144472915,14.055,52.0
29.053078518935628,14.5368421052632,52.5263157894737
31.89574116589642,14.88,53.0
35.01654063471449,15.3526315789474,52.9473684210526
38.44269087979822,15.7684210526316,52.2105263157895
42.20406857137191,16.3029411764706,51.9411764705882
46.3334736256218,16.830303030303,50.0909090909091
50.866915226093,17.4424242424242,49.0
55.843925830497405,17.9472222222222,46.0
61.307905901130546,18.3514285714286,42.0
67.30650236501116,18.8057142857143,36.0
73.89202410398606,18.8529411764706,29.9411764705882
81.0,19.1360655737705,23.0
81.12189809795288,19.1688524590164,23.0
89.05917019885312,19.2,16.0
97.77305490227971,19.0344262295082,9.75409836065574
107.33953891080954,18.8507692307692,4.0
117.84204375224591,18.5096774193548,0.0
129.37215323092656,18.3,-1.50793650793651
142.03041205560675,18.0258064516129,-3.0
155.92720260810475,17.7737704918033,-3.0
171.1837074982924,17.565,-2.0
187.93296629909383,17.3220338983051,-0.322033898305085
206.3210356764162,17.12109375,0.5
226.50826303056257,16.831914893617,1.78014184397163
248.67068475551991,16.5908396946565,5.97709923664122
273.00156130920277,16.5585185185185,8.74814814814815
299.71306248075155,16.4748091603053,11.9389312977099
329.0381175507325,16.3143939393939,14.6136363636364
361.2324464779804,16.6290076335878,18.030534351145
396.5767898254143,16.8384615384615,21.6076923076923
435.3793568701967,17.0242774566474,23.8323699421965
477.9785132462101,17.4279069767442,26.8779069767442
524.7457315555987,17.7470238095238,29.2738095238095
576.0888306792597,18.1909090909091,31.8666666666667
632.4555320336759,18.5546012269938,32.5123456790123
694.3373637853119,18.874375,32.225
762.2739470680555,19.2772151898734,31.6687898089172
836.857701580317,19.8598540145985,29.0535279805353
918.7390115954796,20.3222477064221,25.1284403669725
1008.6318974342719,20.5971631205675,20.0283687943262
1107.3202418553597,20.8046948356808,14.0
1170.0,20.8358851674642,10.0287081339713
1215.664625659446,20.7990566037736,7.06146572104019
1334.609832114639,20.6815789473683,1.3621103117506
1465.1930856430463,20.4870503597122,-2.88968824940048
1608.553096611526,20.2043795620437,-5.19221411192214
1765.9399910988186,19.8987922705312,-6.72946859903381
1938.7262122285047,19.5891566265062,-6.79277108433735
2128.4184881294495,19.2002159827213,-6.12958963282937
2336.670970886585,19.0138084632517,-5.38392857142857
2565.2996610561227,18.968,-3.13333333333333
2816.298243529667,18.9056689342403,-1.06818181818182
3091.8554728389577,18.8187214611872,0.132723112128146
3394.374259504275,18.9614349775784,2.82062780269058
3726.49262386312,19.0986842105265,3.90769230769231
4091.106700100395,19.3523706896551,5.96120689655172
4491.395991079548,19.6069284064666,6.15704387990762
4930.851094201584,20.054641350211,6.41983122362869
5413.304140066483,20.3504716981131,3.98584905660377
5942.96220936802,20.8563131313131,0.616161616161616
6524.44401942334,21.2508641975309,-4.46913580246913
7162.8202002509115,21.5980148883376,-13.029776674938
7863.657511411541,21.5984962406016,-22.0502512562814
8633.067385191802,21.4155294117646,-31.9835294117647
8900.0,21.3792452830187,-34.688679245283
9477.759219435313,21.0716981132077,-39.177304964539
10405.098884745375,20.4695443645084,-45.4028776978417
11423.17295625287,19.7125890736342,-50.0952380952381
12540.859230061984,19.1254854368932,-53.036496350365
13767.904139291022,18.3777777777777,-54.9259259259259
15115.007744789877,17.4647921760391,-55.3333333333333
16593.917041669833,16.4228116710875,-55.156862745098
18217.528395295467,16.0854271356784,-53.0276381909548
20000.000000000004,15.1888888888889,-52.1912144702843
