Freq.	V(vo)
1.00000000000000e+003	(1.88877232266102e+001dB,-6.33726377696141e-001°)
1.25892541179417e+003	(1.88874450514209e+001dB,-7.97798197336135e-001°)
1.58489319246111e+003	(1.88870042097224e+001dB,-1.00433641594946e+000°)
1.99526231496888e+003	(1.88863056137895e+001dB,-1.26432078137196e+000°)
2.51188643150958e+003	(1.88851986425409e+001dB,-1.59155818521044e+000°)
3.16227766016838e+003	(1.88834447854739e+001dB,-2.00339899703684e+000°)
3.98107170553497e+003	(1.88806665502514e+001dB,-2.52162333382868e+000°)
5.01187233627272e+003	(1.88762669586029e+001dB,-3.17352594551498e+000°)
6.30957344480193e+003	(1.88693031351922e+001dB,-3.99322089539554e+000°)
7.94328234724282e+003	(1.88582888973673e+001dB,-5.02316359191519e+000°)
1.00000000000000e+004	(1.88408891650079e+001dB,-6.31583113374644e+000°)
1.25892541179417e+004	(1.88134535551469e+001dB,-7.93538148011179e+000°)
1.58489319246111e+004	(1.87703207486087e+001dB,-9.95887529900909e+000°)
1.99526231496888e+004	(1.87028198993800e+001dB,-1.24762149856927e+001°)
2.51188643150958e+004	(1.85979284342208e+001dB,-1.55872580431987e+001°)
3.16227766016838e+004	(1.84366752132299e+001dB,-1.93936380229036e+001°)
3.98107170553497e+004	(1.81926937118667e+001dB,-2.39821473236818e+001°)
5.01187233627273e+004	(1.78318864476264e+001dB,-2.93975403660810e+001°)
6.30957344480194e+004	(1.73147515866419e+001dB,-3.56078305731106e+001°)
7.94328234724282e+004	(1.66027469769697e+001dB,-4.24758277402513e+001°)
1.00000000000000e+005	(1.56680106386806e+001dB,-4.97604931866159e+001°)
1.25892541179417e+005	(1.45022392230001e+001dB,-5.71648250059430e+001°)
1.58489319246111e+005	(1.31190887907861e+001dB,-6.44167103519527e+001°)
1.99526231496888e+005	(1.15481798451888e+001dB,-7.13412737316384e+001°)
2.51188643150958e+005	(9.82450746468375e+000dB,-7.78907502227705e+001°)
3.16227766016838e+005	(7.97878113735508e+000dB,-8.41311339692451e+001°)
3.98107170553498e+005	(6.03146240598401e+000dB,-9.02067311555307e+001°)
5.01187233627273e+005	(3.99013234413750e+000dB,-9.63014215276651e+001°)
6.30957344480194e+005	(1.84878850662010e+000dB,-1.02602883985215e+002°)
7.94328234724282e+005	(-4.11636863885480e-001dB,-1.09267177638727e+002°)
1.00000000000000e+006	(-2.82098038517539e+000dB,-1.16380528778317e+002°)
