Freq.	V(vo)
1.00000000000000e+003	(4.08172238471247e+000dB,-1.15458462636065e-001°)
1.25892541179417e+003	(4.08171774488342e+000dB,-1.45353572512380e-001°)
1.58489319246111e+003	(4.08171039125251e+000dB,-1.82989266012464e-001°)
1.99526231496888e+003	(4.08169873653936e+000dB,-2.30369757021855e-001°)
2.51188643150958e+003	(4.08168026507996e+000dB,-2.90018181509328e-001°)
3.16227766016838e+003	(4.08165098983029e+000dB,-3.65110939912509e-001°)
3.98107170553497e+003	(4.08160459178822e+000dB,-4.59646804546093e-001°)
5.01187233627272e+003	(4.08153105610308e+000dB,-5.78659774038592e-001°)
6.30957344480193e+003	(4.08141451053904e+000dB,-7.28486963024267e-001°)
7.94328234724282e+003	(4.08122979988252e+000dB,-9.17105699320344e-001°)
1.00000000000000e+004	(4.08093705727615e+000dB,-1.15455759294519e+000°)
1.25892541179417e+004	(4.08047310170038e+000dB,-1.45348178649887e+000°)
1.58489319246111e+004	(4.07973780726123e+000dB,-1.82978503883143e+000°)
1.99526231496888e+004	(4.07857250841189e+000dB,-2.30348283881580e+000°)
2.51188643150958e+004	(4.07672579576176e+000dB,-2.89975337377181e+000°)
3.16227766016838e+004	(4.07379935946110e+000dB,-3.65025455953131e+000°)
3.98107170553497e+004	(4.06916229103995e+000dB,-4.59476245852908e+000°)
5.01187233627273e+004	(4.06181559917010e+000dB,-5.78319478310731e+000°)
6.30957344480194e+004	(4.05017833455166e+000dB,-7.27808027954960e+000°)
7.94328234724282e+004	(4.03175077653548e+000dB,-9.15751191167170e+000°)
1.00000000000000e+005	(4.00258608653510e+000dB,-1.15185548203098e+001°)
1.25892541179417e+005	(3.95646686053435e+000dB,-1.44809204971124e+001°)
1.58489319246111e+005	(3.88363573697807e+000dB,-1.81903710347328e+001°)
1.99526231496888e+005	(3.76887559064593e+000dB,-2.28206013367237e+001°)
2.51188643150958e+005	(3.58870535339628e+000dB,-2.85709502550128e+001°)
3.16227766016838e+005	(3.30755134811979e+000dB,-3.56547863953134e+001°)
3.98107170553498e+005	(2.87322936212761e+000dB,-4.42696724918920e+001°)
5.01187233627273e+005	(2.21343018339974e+000dB,-5.45373810298823e+001°)
6.30957344480194e+005	(1.23753694346674e+000dB,-6.64077877445902e+001°)
7.94328234724282e+005	(-1.49546331945941e-001dB,-7.95518798938560e+001°)
1.00000000000000e+006	(-2.01895268401338e+000dB,-9.33253028820047e+001°)
