Freq.	V(n002)
1.01064818408279e+002	(-1.08841624577044e+002dB,1.79844574345654e+002°)
1.01088092122091e+002	(-1.08837624434228e+002dB,1.79844538552130e+002°)
1.01111371195490e+002	(-1.08833624291345e+002dB,1.79844502750363e+002°)
1.01134655629712e+002	(-1.08829624148397e+002dB,1.79844466940350e+002°)
1.01157945425989e+002	(-1.08825624005382e+002dB,1.79844431122089e+002°)
1.01181240585558e+002	(-1.08821623862302e+002dB,1.79844395295579e+002°)
1.01204541109654e+002	(-1.08817623719156e+002dB,1.79844359460818e+002°)
1.01227846999511e+002	(-1.08813623575944e+002dB,1.79844323617804e+002°)
1.01251158256365e+002	(-1.08809623432666e+002dB,1.79844287766535e+002°)
1.01274474881453e+002	(-1.08805623289322e+002dB,1.79844251907009e+002°)
1.01297796876010e+002	(-1.08801623145912e+002dB,1.79844216039224e+002°)
1.01321124241273e+002	(-1.08797623002436e+002dB,1.79844180163178e+002°)
1.01344456978479e+002	(-1.08793622858894e+002dB,1.79844144278869e+002°)
1.01367795088864e+002	(-1.08789622715286e+002dB,1.79844108386297e+002°)
1.01391138573667e+002	(-1.08785622571611e+002dB,1.79844072485457e+002°)
1.01414487434125e+002	(-1.08781622427871e+002dB,1.79844036576350e+002°)
1.01437841671476e+002	(-1.08777622284064e+002dB,1.79844000658972e+002°)
1.01461201286958e+002	(-1.08773622140191e+002dB,1.79843964733321e+002°)
1.01484566281809e+002	(-1.08769621996252e+002dB,1.79843928799397e+002°)
1.01507936657269e+002	(-1.08765621852246e+002dB,1.79843892857197e+002°)
1.01531312414576e+002	(-1.08761621708174e+002dB,1.79843856906719e+002°)
1.01554693554969e+002	(-1.08757621564036e+002dB,1.79843820947961e+002°)
1.01578080079690e+002	(-1.08753621419831e+002dB,1.79843784980922e+002°)
1.01601471989976e+002	(-1.08749621275560e+002dB,1.79843749005599e+002°)
1.01624869287069e+002	(-1.08745621131222e+002dB,1.79843713021990e+002°)
1.01648271972209e+002	(-1.08741620986818e+002dB,1.79843677030094e+002°)
1.01671680046637e+002	(-1.08737620842348e+002dB,1.79843641029909e+002°)
1.01695093511594e+002	(-1.08733620697811e+002dB,1.79843605021432e+002°)
1.01718512368321e+002	(-1.08729620553207e+002dB,1.79843569004663e+002°)
1.01741936618060e+002	(-1.08725620408537e+002dB,1.79843532979598e+002°)
1.01765366262053e+002	(-1.08721620263800e+002dB,1.79843496946236e+002°)
1.01788801301542e+002	(-1.08717620118996e+002dB,1.79843460904575e+002°)
1.01812241737769e+002	(-1.08713619974126e+002dB,1.79843424854614e+002°)
1.01835687571978e+002	(-1.08709619829189e+002dB,1.79843388796350e+002°)
1.01859138805411e+002	(-1.08705619684185e+002dB,1.79843352729781e+002°)
1.01882595439312e+002	(-1.08701619539114e+002dB,1.79843316654906e+002°)
1.01906057474924e+002	(-1.08697619393977e+002dB,1.79843280571722e+002°)
1.01929524913492e+002	(-1.08693619248772e+002dB,1.79843244480228e+002°)
1.01952997756260e+002	(-1.08689619103501e+002dB,1.79843208380422e+002°)
1.01976476004471e+002	(-1.08685618958163e+002dB,1.79843172272301e+002°)
1.01999959659371e+002	(-1.08681618812758e+002dB,1.79843136155865e+002°)
1.02023448722206e+002	(-1.08677618667286e+002dB,1.79843100031110e+002°)
1.02046943194219e+002	(-1.08673618521747e+002dB,1.79843063898036e+002°)
1.02070443076658e+002	(-1.08669618376141e+002dB,1.79843027756639e+002°)
1.02093948370767e+002	(-1.08665618230468e+002dB,1.79842991606919e+002°)
1.02117459077794e+002	(-1.08661618084727e+002dB,1.79842955448873e+002°)
1.02140975198984e+002	(-1.08657617938920e+002dB,1.79842919282500e+002°)
1.02164496735585e+002	(-1.08653617793046e+002dB,1.79842883107797e+002°)
1.02188023688843e+002	(-1.08649617647104e+002dB,1.79842846924763e+002°)
1.02211556060006e+002	(-1.08645617501095e+002dB,1.79842810733395e+002°)
1.02235093850322e+002	(-1.08641617355019e+002dB,1.79842774533692e+002°)
1.02258637061039e+002	(-1.08637617208875e+002dB,1.79842738325652e+002°)
1.02282185693404e+002	(-1.08633617062664e+002dB,1.79842702109272e+002°)
1.02305739748666e+002	(-1.08629616916386e+002dB,1.79842665884552e+002°)
1.02329299228075e+002	(-1.08625616770041e+002dB,1.79842629651489e+002°)
1.02352864132878e+002	(-1.08621616623628e+002dB,1.79842593410081e+002°)
1.02376434464327e+002	(-1.08617616477147e+002dB,1.79842557160326e+002°)
1.02400010223669e+002	(-1.08613616330599e+002dB,1.79842520902222e+002°)
1.02423591412156e+002	(-1.08609616183984e+002dB,1.79842484635767e+002°)
1.02447178031037e+002	(-1.08605616037301e+002dB,1.79842448360960e+002°)
1.02470770081564e+002	(-1.08601615890550e+002dB,1.79842412077799e+002°)
1.02494367564986e+002	(-1.08597615743732e+002dB,1.79842375786281e+002°)
1.02517970482555e+002	(-1.08593615596847e+002dB,1.79842339486405e+002°)
1.02541578835522e+002	(-1.08589615449893e+002dB,1.79842303178168e+002°)
1.02565192625140e+002	(-1.08585615302872e+002dB,1.79842266861570e+002°)
1.02588811852659e+002	(-1.08581615155783e+002dB,1.79842230536607e+002°)
1.02612436519333e+002	(-1.08577615008627e+002dB,1.79842194203278e+002°)
1.02636066626414e+002	(-1.08573614861403e+002dB,1.79842157861581e+002°)
1.02659702175154e+002	(-1.08569614714110e+002dB,1.79842121511515e+002°)
1.02683343166808e+002	(-1.08565614566750e+002dB,1.79842085153076e+002°)
1.02706989602627e+002	(-1.08561614419323e+002dB,1.79842048786264e+002°)
1.02730641483867e+002	(-1.08557614271827e+002dB,1.79842012411076e+002°)
1.02754298811780e+002	(-1.08553614124263e+002dB,1.79841976027510e+002°)
1.02777961587622e+002	(-1.08549613976631e+002dB,1.79841939635565e+002°)
1.02801629812646e+002	(-1.08545613828932e+002dB,1.79841903235238e+002°)
1.02825303488109e+002	(-1.08541613681164e+002dB,1.79841866826528e+002°)
1.02848982615264e+002	(-1.08537613533328e+002dB,1.79841830409433e+002°)
1.02872667195367e+002	(-1.08533613385424e+002dB,1.79841793983950e+002°)
1.02896357229674e+002	(-1.08529613237452e+002dB,1.79841757550078e+002°)
1.02920052719442e+002	(-1.08525613089412e+002dB,1.79841721107815e+002°)
1.02943753665926e+002	(-1.08521612941304e+002dB,1.79841684657159e+002°)
1.02967460070382e+002	(-1.08517612793127e+002dB,1.79841648198108e+002°)
1.02991171934069e+002	(-1.08513612644882e+002dB,1.79841611730659e+002°)
1.03014889258242e+002	(-1.08509612496569e+002dB,1.79841575254813e+002°)
1.03038612044161e+002	(-1.08505612348188e+002dB,1.79841538770565e+002°)
1.03062340293081e+002	(-1.08501612199738e+002dB,1.79841502277914e+002°)
1.03086074006261e+002	(-1.08497612051220e+002dB,1.79841465776859e+002°)
1.03109813184961e+002	(-1.08493611902633e+002dB,1.79841429267397e+002°)
1.03133557830437e+002	(-1.08489611753978e+002dB,1.79841392749527e+002°)
1.03157307943950e+002	(-1.08485611605254e+002dB,1.79841356223246e+002°)
1.03181063526758e+002	(-1.08481611456462e+002dB,1.79841319688553e+002°)
1.03204824580121e+002	(-1.08477611307602e+002dB,1.79841283145445e+002°)
1.03228591105299e+002	(-1.08473611158673e+002dB,1.79841246593921e+002°)
1.03252363103551e+002	(-1.08469611009675e+002dB,1.79841210033979e+002°)
1.03276140576139e+002	(-1.08465610860608e+002dB,1.79841173465617e+002°)
1.03299923524322e+002	(-1.08461610711473e+002dB,1.79841136888832e+002°)
1.03323711949362e+002	(-1.08457610562270e+002dB,1.79841100303624e+002°)
1.03347505852520e+002	(-1.08453610412997e+002dB,1.79841063709989e+002°)
1.03371305235057e+002	(-1.08449610263656e+002dB,1.79841027107927e+002°)
1.03395110098236e+002	(-1.08445610114246e+002dB,1.79840990497434e+002°)
1.03418920443318e+002	(-1.08441609964767e+002dB,1.79840953878510e+002°)
1.03442736271566e+002	(-1.08437609815220e+002dB,1.79840917251152e+002°)
1.03466557584242e+002	(-1.08433609665603e+002dB,1.79840880615358e+002°)
1.03490384382610e+002	(-1.08429609515917e+002dB,1.79840843971127e+002°)
1.03514216667933e+002	(-1.08425609366163e+002dB,1.79840807318456e+002°)
1.03538054441474e+002	(-1.08421609216340e+002dB,1.79840770657343e+002°)
1.03561897704497e+002	(-1.08417609066447e+002dB,1.79840733987788e+002°)
1.03585746458267e+002	(-1.08413608916486e+002dB,1.79840697309786e+002°)
1.03609600704047e+002	(-1.08409608766455e+002dB,1.79840660623337e+002°)
1.03633460443103e+002	(-1.08405608616355e+002dB,1.79840623928439e+002°)
1.03657325676699e+002	(-1.08401608466187e+002dB,1.79840587225090e+002°)
1.03681196406101e+002	(-1.08397608315949e+002dB,1.79840550513287e+002°)
1.03705072632575e+002	(-1.08393608165641e+002dB,1.79840513793029e+002°)
1.03728954357386e+002	(-1.08389608015265e+002dB,1.79840477064315e+002°)
1.03752841581800e+002	(-1.08385607864819e+002dB,1.79840440327141e+002°)
1.03776734307084e+002	(-1.08381607714304e+002dB,1.79840403581506e+002°)
1.03800632534505e+002	(-1.08377607563720e+002dB,1.79840366827408e+002°)
1.03824536265330e+002	(-1.08373607413066e+002dB,1.79840330064845e+002°)
1.03848445500826e+002	(-1.08369607262343e+002dB,1.79840293293815e+002°)
1.03872360242261e+002	(-1.08365607111551e+002dB,1.79840256514317e+002°)
1.03896280490902e+002	(-1.08361606960689e+002dB,1.79840219726347e+002°)
