Frequency,Channel 1 Magnitude (dB),MAG,pha
100,0.005178800910215785,-94.18671516349393,165.1779760496114
109.6478196143185,0.005129102142531225,-94.86280378848716,145.3547797428571
120.2264434617413,0.005078978477647861,-91.94396554605673,-165.192592583358
131.8256738556407,0.005303298653843493,-104.8734770254555,-56.4308607665098
144.5439770745928,0.00503369665720562,-89.80104883141695,-143.8744158665676
158.4893192461114,0.005217373108635001,-97.24418379744078,179.9199574482862
173.7800828749376,0.005018798801960621,-92.58091836993188,-165.0940827067345
190.5460717963248,0.005120001814588934,-90.75504110108912,-143.2392353897565
208.9296130854039,0.005152736529001478,-95.85685694049025,153.0755182475933
229.0867652767772,0.004968220549727225,-90.26856827681672,-147.5519737348088
251.1886431509579,0.004823458946999914,-97.98495496216417,-128.7418613001034
275.4228703338166,0.004905211271477704,-96.97448600384745,156.5362559798208
301.9951720402016,0.005273815421984141,-88.3753671332164,-159.5914273127813
331.1311214825911,0.005008698090630629,-84.96879665894073,-167.2607180031194
363.0780547701014,0.004956347886654849,-88.38097533246646,-120.2838066959307
398.1071705534973,0.004594896802947193,-91.56504431031273,-154.1366013157541
436.5158322401661,0.004371938926523367,-85.81288273038959,-165.0303714162077
478.6300923226385,0.004705970854500733,-84.67386250177491,-175.9336438743933
524.8074602497722,0.004802803822106437,-82.04840083158092,-156.4832539270471
575.4399373371566,0.004467526263287911,-81.74473617221607,179.7454287065578
630.957344480193,0.004859074409590382,-81.32840956290062,-168.6090862536857
691.8309709189363,0.004856544610630009,-80.93719393808993,-170.3466082300753
758.5775750291837,0.004382991392469778,-80.31450337609897,179.1403036828659
831.7637711026708,0.004442690534969469,-76.92889447028895,179.0776470640578
912.0108393559096,0.004836175171221204,-75.43941870182162,-179.3287326477945
1000,0.005072806114621713,-74.29289308939485,-179.5593920022164
1096.478196143185,0.004661917868841009,-72.12007529112478,-178.0392263209538
1202.264434617413,0.004856475203725744,-70.4837757067186,-176.8238146821797
1318.256738556408,0.005298129639877946,-69.7694517317705,175.197696413622
1445.439770745928,0.004892099880776579,-68.29992454739579,-176.7630493098344
1584.893192461114,0.005720034444572148,-66.63087109777004,177.4559988364516
1737.800828749376,0.005103155651355887,-64.09728279882566,-178.360219932431
1905.460717963248,0.004505130416285689,-62.45359242206388,178.5315244386089
2089.296130854041,0.00468764459502263,-61.4907058193982,178.8194425184764
2290.867652767774,0.005559140856919486,-59.69521421101838,177.6770295724955
2511.886431509579,0.005303681349945846,-58.01793531920531,177.4230094381171
2754.228703338166,0.006166358226204256,-56.49623854042645,176.8481936830736
3019.951720402016,0.005654645690440666,-54.85400399481619,177.9001699060403
3311.311214825911,0.006708590602551756,-53.37578703123921,176.3168950563671
3630.780547701014,0.00830985765346964,-51.6683507631957,176.1646755840076
3981.071705534973,0.00670657679685176,-49.97049934050174,175.886117972978
4365.158322401657,0.008832669468688902,-48.41399118499903,175.9006103276952
4786.30092322638,0.009059736227993331,-46.63500035383411,174.7544488310717
5248.074602497722,0.00818821459217778,-44.99933955282125,174.5428538160762
5754.399373371567,0.01143840143846906,-43.30587278600107,173.4846235190749
6309.57344480193,0.01210790276492605,-41.58384274369105,172.8747418382009
6918.309709189362,0.006601771592378049,-39.80046497665995,171.9880778567324
7585.775750291836,0.01439250943549778,-38.02154873600032,171.2185955082399
8317.637711026709,0.01398088564604994,-36.1950546480701,170.3512432217039
9120.108393559096,0.009221619140513089,-34.32983207676224,169.3547682351722
10000,0.01520246024162501,-32.40620902956061,168.0883813834035
10964.78196143185,0.02296435443782215,-30.40493240904497,166.6485786450905
12022.64434617413,0.02203330810291789,-28.28643296742466,164.9509436430272
13182.56738556407,0.0234267300935833,-26.05184456515945,162.8811288169234
14454.39770745928,0.01789675245334608,-23.65213396188224,160.3854100720101
15848.93192461114,0.02676824930163343,-21.03371278949714,157.1140701103569
17378.00828749376,0.02737895217787015,-18.1315078464585,152.8453450978023
19054.60717963246,0.02943956372736741,-14.83608234545196,146.8083898841833
20892.96130854039,0.03158648995004701,-10.97996480078974,137.5458975897116
22908.67652767772,0.03238730181713889,-6.422056353689766,121.4444953969847
25118.86431509579,0.02277218733104654,-1.623607029307114,90.6140084886943
27542.28703338166,0.03767797561336329,0.7903532978614319,44.87396087454687
30199.51720402016,0.03905368898859002,0.6798295105708192,6.656667303829593
33113.11214825911,0.0425661377529398,0.7007572537630152,-26.26902229657556
36307.80547701014,0.04521024828471806,0.2313175853396308,-67.60412550136459
39810.71705534973,0.04642289039528127,-3.148027109745353,-108.6797093798703
43651.58322401661,0.05044565395885977,-7.840229383893598,-133.5006482708257
47863.00923226385,0.05045030889921356,-12.09640253540108,-147.2893405557282
52480.74602497728,0.05908848523941097,-15.72679081752475,-155.7868817118101
