Frequency,Channel 1 Magnitude (dB),MAG,pha
100,0.01401761916772081,-88.21308074512413,-176.4835187498186
106.3326571637162,0.01389413205616984,-92.44486761385288,-170.2254633521761
113.0663397949639,0.01431662521518815,-88.80686357800853,-171.4505322512588
120.2264434617413,0.01433558113251196,-95.99963297201822,137.4645235458322
127.8399719463023,0.01416761342616032,-91.74684849219,-157.2520522702647
135.9356390878525,0.01389455941177362,-87.06744111774846,-155.5272493109277
144.5439770745928,0.01428751384963396,-86.906596022556,-172.2569781898046
153.6974515935271,0.01406994865881394,-89.95771500561293,-171.948270764932
163.4305842723138,0.01432350421029795,-87.25461353458724,164.4708919118661
173.7800828749376,0.01413014220888429,-93.05766173150619,-179.3692899882384
184.7849797422291,0.01394126450278107,-84.01999031492326,-178.6517828926993
196.4867789993468,0.01381549998225686,-85.8841136306672,-178.5621561138848
208.9296130854039,0.01397699262133969,-87.02637253999667,-179.4360473850138
222.1604091955812,0.01402267692324895,-82.48345994405034,-169.5045307850251
236.2290662634463,0.0139839167612417,-80.61989758823186,-175.2927328714309
251.1886431509579,0.0141302776705065,-80.46767861121423,177.4359236912603
267.0955587558985,0.01386159343599182,-79.41319958197779,176.1414405430353
284.0098047914214,0.0143119677126528,-77.53857181439523,-179.8722380447102
301.9951720402016,0.01419081584409222,-77.44505698878858,177.961674534201
321.1194909364824,0.0140149052087599,-76.02462435735697,179.5037088923127
341.4548873833601,0.01351730622912598,-75.05636492033182,179.9432018577267
363.0780547701014,0.01332203488376717,-75.11860653844666,-178.874349982879
386.0705432153815,0.01380289425837696,-73.77016408770371,176.1241650312332
410.5190671273079,0.01337437209066127,-73.11128425291497,179.3227730119034
436.5158322401661,0.0137539726208065,-71.4224564129065,175.9137728452467
464.1588833612777,0.01314645150959662,-70.68783927665034,179.3254532512706
493.5524741394807,0.01299418463872963,-69.98519481516476,176.3618577871795
524.8074602497722,0.01313333825275291,-68.87584908786694,176.239489074492
558.0417174769964,0.01310802131122468,-67.1992102201084,179.7538512590276
593.3805862753281,0.01327534775641985,-66.79296199439777,174.1942057287373
630.957344480193,0.01269633454816887,-65.43615924186007,172.9278763484143
670.9137099554112,0.0127132321459329,-64.85392599575965,176.0259928021896
713.4003750712565,0.01259805507704305,-63.30887780415692,171.8577593362565
758.5775750291837,0.01251809797782915,-62.05916386490812,174.396080399609
806.6156921766136,0.0125054639116947,-61.05185520582887,174.4606194851922
857.6958985908947,0.01216479720115046,-60.17655486889719,173.6348453268284
912.0108393559096,0.01246690864308463,-59.26792346610473,172.4345386948537
969.7653591082495,0.01187957517252901,-58.1972222060126,170.7184463801856
1031.177274593056,0.01200522587139738,-57.16808716901824,170.6447560298287
1096.478196143185,0.01145997759831337,-56.00095542463088,169.3139197332957
1165.914401179831,0.01060743069557006,-54.85846911525827,168.8405623923109
1239.747763028944,0.01005039477952148,-53.91669164159056,167.9548421956968
1318.256738556408,0.01053631220707351,-52.8520482289281,167.8080102989481
1401.737418346769,0.01007511515761692,-51.77947667979234,167.7573686513785
1490.504643386196,0.00933197000746974,-50.81482034312738,166.218001315278
1584.893192461114,0.008726665124884422,-49.68761443702857,165.408735315975
1685.259044750751,0.008068720096418411,-48.68263041252764,164.7825627754732
1791.980722375334,0.006347665643510867,-47.4646237020085,164.2138064309572
1905.460717963248,0.00699318503069585,-46.50504422036266,163.2407959763011
2026.127012621143,0.005087907491783156,-45.46005983117431,161.8552152082037
2154.434690031882,0.004433209813555321,-44.44785730927285,160.427463269451
2290.867652767774,0.003825687578459771,-43.35261997598067,159.5971556700748
2435.940447292027,0.003080896894559238,-42.35719353530438,158.6270622057096
2590.200204531322,0.0004198077396820811,-41.31112194878674,157.126682577025
2754.228703338166,0.0003335869064846906,-40.3066299012453,155.53725641589
2928.644564625237,-0.001544232511664701,-39.25363575568105,154.016531458432
3114.105584446758,-0.003081815744588687,-38.23567281160708,152.5846442720147
3311.311214825911,-0.004543200401694517,-37.23482442096788,150.7710232050046
3521.005201684521,-0.00582782849320818,-36.19494142443187,149.1654848959608
3743.978389823811,-0.007155717975495223,-35.1936107412624,147.3419341962216
3981.071705534973,-0.009216554432399738,-34.16131873365557,145.3261281276134
4233.179328088211,-0.01161975448335828,-33.15889323098551,143.2667528732091
4501.252062061337,-0.01264334020620261,-32.16174604880456,141.0956996841971
4786.30092322638,-0.01527399428450753,-31.16913059482356,138.8968523283533
5089.400951518093,-0.01622143190467066,-30.17706011898798,136.4517908258443
5411.695265464637,-0.02320680267385787,-29.20960370514127,133.9306941372592
5754.399373371567,-0.01968876291095544,-28.23485723507309,131.2125697122524
6118.805757518219,-0.02274617868755916,-27.28194017588021,128.5113471928052
6506.288748655574,-0.03639977651726452,-26.33127933865932,125.6483113369725
6918.309709189362,-0.03368101876866739,-25.39663725058644,122.5960372602578
7356.422544596414,-0.02697637348189857,-24.46681187882243,119.4012566274841
7822.279563860029,-0.02826076739679764,-23.54595902010972,116.105653023092
8317.637711026709,-0.03273090254295662,-22.64158418423374,112.6838145824361
8844.365191385999,-0.0328190925329697,-21.7361334757252,109.1050671589252
9404.448517263523,-0.03135868548548234,-20.84685275117341,105.4041732127633
10000,-0.03645726743033585,-19.96140587066618,101.5319719732287
10633.26571637162,-0.04274010181909946,-19.07882614820255,97.53248535829124
11306.63397949639,-0.03679850534922657,-18.1995404910277,93.38211358009988
12022.64434617413,-0.03535082507972666,-17.31534876076377,89.06610667565781
12783.99719463023,-0.03566181989159541,-16.43002942092666,84.56323883565017
13593.56390878525,-0.03708270668365113,-15.5235101379862,79.88433538762528
14454.39770745928,-0.04351048218159961,-14.5984985712565,74.95054090533837
15369.74515935271,-0.03911645496880091,-13.63807522251294,69.71124435801499
16343.05842723138,-0.03667893866094665,-12.62873241290607,64.11821660254904
17378.00828749376,-0.03540574997708334,-11.55717265842481,57.98613695833441
18478.49797422291,-0.0372703824192014,-10.40037502692412,51.10837073714059
19648.67789993468,-0.03533230758949667,-9.137674129227522,43.12960924539328
20892.96130854039,-0.03511759060057945,-7.752007855339189,33.42256450018574
22216.04091955812,-0.03692138617705414,-6.267395113221465,20.98640934227218
23622.90662634463,-0.03899692108272183,-4.828013774917273,4.350563292673641
25118.86431509579,-0.04276484711771797,-3.85336824794001,-17.4465317640072
26709.55587558985,-0.04794944814085425,-3.924665621885613,-42.17941048149662
28400.98047914214,-0.02981903541482602,-5.118122495751971,-64.73539397544258
30199.51720402016,-0.02879021840977491,-6.929271167719521,-82.34936107472198
32111.94909364824,-0.03362865226177907,-8.893623988290793,-95.44752329439416
34145.488738336,-0.02565970536068828,-10.80427829783849,-105.4289824013078
36307.80547701014,-0.02402821045104848,-12.6042629088729,-113.2604541911527
38607.05432153811,-0.02243448258956733,-14.28490681368403,-119.7092588210328
41051.90671273079,-0.02003751973251793,-15.86149343835445,-125.1199691036949
43651.58322401661,-0.01890153350615684,-17.35936907821184,-129.8615309632724
46415.88833612778,-0.01710179506885929,-18.77261727143727,-134.0658365453643
49355.24741394806,-0.01188651574949001,-20.14132349268785,-137.9080521208308
52480.74602497728,-0.01021739638338897,-21.45598475044666,-141.3749627244859
55804.17174769963,-0.006796973784055419,-22.71337867633031,-144.6066806777371
59338.05862753281,-0.01276534196658144,-23.97028459438602,-147.5182034862936
63095.73444801931,-0.003840214630405665,-25.18128424847216,-150.3646323355455
67091.37099554112,-0.01339337255706749,-26.37490879657665,-153.1219878914526
71340.03750712564,-0.008614540728164723,-27.51956537639738,-155.5153828066462
75857.75750291836,0.005215917557439401,-28.6565036843973,-157.8813651227408
80661.56921766135,0.01043475524049314,-29.81533976614364,-160.310739048721
85769.58985908938,0.01334350308606632,-30.92093077741598,-162.4718973109195
91201.08393559097,0.0120261498707043,-32.04788374181771,-164.5016504784556
96976.53591082495,0.01886626689738351,-33.15997625473573,-166.7348561151192
103117.7274593055,0.02250031255675396,-34.23395395482856,-168.6551220086905
109647.8196143185,0.02293435958939241,-35.35072785009848,-170.4510980684062
116591.4401179832,0.02580885528300594,-36.40442561991956,-172.2599236768926
123974.7763028944,0.02566654687067115,-37.52512311622809,-174.2351301543963
131825.6738556407,0.02354013459216185,-38.55457595358552,-175.9578707142569
140173.7418346769,0.0283930691368908,-39.64257814644944,-178.4566553371052
149050.4643386196,0.01961720049397062,-40.66188688351205,179.9968670178353
158489.3192461114,0.02505026376491507,-41.66519797968029,178.7932594279703
168525.9044750751,0.01985358606377646,-42.65551880691248,176.4062852014359
179198.0722375334,0.01870021432355656,-43.41495078925192,175.2885582254641
190546.0717963246,0.01608015144973461,-44.64478115903223,172.7011810894159
202612.7012621143,0.009730652641520897,-45.46101338886729,172.4958284319264
215443.4690031885,0.009096965035623482,-46.28341158417905,169.5414944643503
229086.7652767772,0.005441798770721586,-47.47289501703561,168.3495445432103
243594.0447292027,-0.001265589718468525,-48.26900921993773,163.7789814746696
259020.0204531325,-0.004948478540148048,-48.94445900626515,165.2377520894978
275422.8703338166,-0.02316557611805893,-50.04694408239398,162.810965493143
292864.4564625237,-0.01993162654450484,-50.77356530862859,159.7569206976962
311410.5584446759,-0.03958262959411867,-51.25461795947142,157.6507249261134
331131.1214825911,-0.03234162630538668,-52.77662345093934,157.4700878343677
352100.5201684521,-0.03652109144856013,-52.79665109986926,156.0146486789944
374397.838982381,-0.04392954980422074,-53.27719755606068,154.0297006209007
