Freq.	Impedancia MAG	Impedancia PHA
0.01	1768388256.576576	-89.9999893223227
0.0102329299228075	1728134825.427778	-89.9999890500862
0.010471285480509	1688797674.2379975	-89.9999887957761
0.0107151930523761	1650355945.9289849	-89.9999885587171
0.0109647819614318	1612789258.1875334	-89.9999882981812
0.0112201845430196	1576077692.6585693	-89.9999880162719
0.0114815362149688	1540201784.3841074	-89.9999877149889
0.0117489755493953	1505142511.4827065	-89.9999874336313
0.0120226443461741	1470881285.0638103	-89.9999871714481
0.0123026877081238	1437399939.3716645	-89.9999868562788
0.0125892541179417	1404680722.1536226	-89.9999865272012
0.0128824955169313	1372706285.2476025	-89.9999862199154
0.0131825673855641	1341459675.383942	-89.9999859002671
0.0134896288259165	1310924325.196488	-89.999985569737
0.0138038426460288	1281084044.438388	-89.9999851978953
0.0141253754462275	1251923011.3978012	-89.9999849126746
0.0144543977074593	1223425764.5090125	-89.999984556909
0.0147910838816821	1195577194.154531	-89.9999841954494
0.0151356124843621	1168362534.6537201	-89.9999838294156
0.0154881661891248	1141767356.4338844	-89.9999834598641
0.0158489319246111	1115777558.3795123	-89.9999830600654
0.0162181009735893	1090379360.355655	-89.9999826599441
0.0165958690743756	1065559295.9015352	-89.9999822603388
0.0169824365246174	1041304205.0904471	-89.9999818361615
0.0173780082874937	1017601227.5521885	-89.9999814152014
0.0177827941003892	994437795.6543227	-89.9999809981074
0.0181970085860998	971801627.8386493	-89.9999805130418
0.0186208713666287	949680722.109375	-89.9999800835025
0.0190546071796325	928063349.6694775	-89.9999796144335
0.0194984459975804	906938048.7019377	-89.9999791545031
0.0199526231496888	886293618.2925676	-89.9999786600059
0.0204173794466953	866119112.4910992	-89.9999781988218
0.0208929613085404	846403834.5075154	-89.9999776855646
0.0213796208950223	827137331.0404667	-89.9999771453115
0.0218776162394955	808309386.7347891	-89.999976601046
0.0223872113856834	789910018.7652047	-89.9999760541449
0.0229086765276777	771929471.5432581	-89.999975505904
0.0234422881531992	754358211.5448214	-89.9999749387963
0.0239883291901949	737186922.2552572	-89.9999743735627
0.0245470891568503	720406499.2297777	-89.9999737575433
0.0251188643150958	704008045.2658126	-89.9999731653535
0.0257039578276886	687982865.6860956	-89.9999725111505
0.0263026799189538	672322463.7282952	-89.9999718839288
0.0269153480392691	657018536.0400034	-89.9999712178766
0.0275422870333816	642062968.2761858	-89.9999705488528
0.0281838293126445	627447830.7968589	-89.9999698628366
0.028840315031266	613165374.4626769	-89.9999691471316
0.0295120922666638	599208026.5262332	-89.9999684498466
0.0301995172040201	585568386.6169121	-89.9999676984403
0.0309029543251359	572239222.8170892	-89.9999669407135
0.0316227766016838	559213467.8276855	-89.999966178638
0.0323593656929628	546484215.2209892	-89.9999653869114
0.0331131121482591	534044715.77877474	-89.9999645824029
0.0338844156139202	521888373.913788	-89.9999637676151
0.0346736850452531	510008744.17265534	-89.999962932236
0.0354813389233575	498399527.81844896	-89.9999620545874
0.0363078054770101	487054569.49098957	-89.9999611634864
0.0371535229097172	475967853.9432037	-89.9999602616531
0.0380189396320561	465133502.85175776	-89.9999593400955
0.038904514499428	454545771.70029175	-89.9999583907258
0.0398107170553497	444199046.73360956	-89.9999574283819
0.0407380277804112	434087841.9811731	-89.9999564343325
0.0416869383470335	424206796.34838516	-89.9999554127295
0.0426579518801592	414550670.77406365	-89.9999543778026
0.0436515832240165	405114345.45261335	-89.999953322497
0.0446683592150962	395892817.1194443	-89.9999522306648
0.0457088189614874	386881196.398173	-89.999951116592
0.0467735141287197	378074705.20820993	-89.999949984045
0.0478630092322637	369468674.2313586	-89.9999488182194
0.0489778819368445	361058540.4360793	-89.9999476237248
0.0501187233627271	352839844.65811557	-89.9999464049211
0.0512861383991364	344808229.23617834	-89.9999451573608
0.0524807460249771	336959435.70149446	-89.9999438771472
0.0537031796370252	329289302.51976675	-89.9999425608994
0.0549540873857623	321793762.88489425	-89.9999412297067
0.0562341325190348	314468842.5625473	-89.9999398638559
0.0575439937337156	307310657.78301424	-89.9999384608243
0.0588843655355588	300315413.18197393	-89.9999370259672
0.0602559586074356	293479399.7881496	-89.9999355643481
0.0616595001861481	286798993.0567508	-89.9999340664981
0.0630957344480192	280270650.94770294	-89.9999325309416
0.0645654229034654	273890912.0476094	-89.9999309565363
0.0660693448007594	267656393.73445833	-89.9999293424489
0.067608297539198	261563790.38411644	-89.9999276946323
0.0691830970918935	255609871.61764228	-89.9999260187132
0.0707945784384136	249791480.58852503	-89.999924295178
0.0724435960074988	244105532.30876765	-89.9999225246706
0.0741310241300916	238549012.01335907	-89.9999207258055
0.0758577575029182	233118973.56168845	-89.9999188809938
0.077624711662869	227812537.87549657	-89.9999169857619
0.0794328234724279	222626891.41233984	-89.9999150528872
0.0812830516164097	217559284.67382613	-89.9999130726253
0.0831763771102669	212607030.7478084	-89.9999110574788
0.0851138038202374	207767503.88365498	-89.999908982934
0.0870963589956078	203038138.10018867	-89.9999068622502
0.0891250938133743	198416425.8250706	-89.9999046929911
0.0912010839355907	193899916.56527683	-89.9999024683898
0.0933254300796988	189486215.6078148	-89.999900196696
0.0954992586021433	185172982.75003576	-89.999897871904
0.0977237220955808	180957931.05874258	-89.9998954978249
0.0999999999999997	176838825.65775958	-89.9998930562507
0.102329299228075	172813482.54287747	-89.9998905695675
0.10471285480509	168879767.42389715	-89.9998880207057
0.10715193052376	165035594.5930119	-89.9998854067355
0.109647819614318	161278925.81886482	-89.9998827453707
0.112201845430196	157607769.26596588	-89.9998800099855
0.114815362149688	154020178.4385172	-89.9998772149503
0.117489755493953	150514251.14839193	-89.9998743587533
0.12022644346174101	147088128.50649956	-89.999871429402
0.12302687708123801	143739993.93728286	-89.9998684342083
0.125892541179416	140468072.21549094	-89.9998653732326
0.128824955169313	137270628.52488714	-89.999862233263
0.13182567385564	134145967.53853357	-89.9998590260036
0.134896288259165	131092432.51978447	-89.9998557429739
0.138038426460288	128108404.44397137	-89.9998523832255
0.141253754462275	125192301.13992453	-89.9998489463201
0.144543977074592	122342576.45104237	-89.9998454262107
0.14791083881682002	119557719.4156042	-89.9998418237796
0.15135612484362	116836253.46551968	-89.999838137386
0.15488166189124802	114176735.64354628	-89.9998343716751
0.15848931924611098	111577755.83810548	-89.9998305119342
0.162181009735892	109037936.03572872	-89.999826564219
0.16595869074375502	106555929.59031303	-89.9998225239564
0.169824365246174	104130420.50921252	-89.9998183900771
0.173780082874937	101760122.7553945	-89.9998141596
0.17782794100389201	99443779.56560393	-89.9998098328148
0.18197008586099803	97180162.784044	-89.9998054032836
0.18620871366628602	94968072.21112357	-89.9998008704218
0.190546071796324	92806334.96712919	-89.9997962319655
0.194984459975804	90693804.87038183	-89.9997914841848
0.19952623149688697	88629361.82945053	-89.9997866264857
0.20417379446695202	86611911.24930938	-89.9997816589407
0.20892961308540303	84640383.45095615	-89.9997765696173
0.21379620895022197	82713733.1042561	-89.9997713688486
0.21877616239495395	80830938.67369333	-89.9997660425955
0.223872113856833	78991001.87673855	-89.9997605905186
0.229086765276776	77192947.15454808	-89.9997550149234
0.23442288153199103	75435821.154708	-89.9997493111112
0.23988329190194801	73718692.22576347	-89.9997434700202
0.245470891568502	72040649.92321011	-89.9997374948797
0.251188643150957	70400804.52681623	-89.9997313806402
0.257039578276885	68798286.56885494	-89.9997251234716
0.263026799189537	67232246.37307715	-89.9997187206755
0.26915348039269	65701853.60425738	-89.9997121689702
0.275422870333815	64206296.827877514	-89.9997054645973
0.281838293126444	62744783.079953305	-89.9996986034204
0.288403150312659	61316537.446542814	-89.9996915825387
0.295120922666637	59920802.65290628	-89.999684400197
0.3019951720402	58556838.66198114	-89.9996770469687
0.30902954325135806	57223922.282005474	-89.999669525153
0.316227766016837	55921346.78307116	-89.999661828066
0.32359365692962705	54648421.52240717	-89.9996539505881
0.33113112148259005	53404471.57819126	-89.9996458890522
0.338844156139201	52188837.39170316	-89.9996376411379
0.34673685045253	51000874.41759451	-89.9996292007015
0.354813389233574	49839952.782183506	-89.9996205644499
0.36307805477009997	48705456.94944659	-89.9996117256315
0.37153522909717107	47596785.39467654	-89.9996026827617
0.3801893963205589	46513350.28553982	-89.9995934263819
0.389045144994279	45454577.170400925	-89.9995839558245
0.398107170553495	44419904.67373941	-89.9995742639511
0.407380277804111	43408784.19850703	-89.999564349797
0.4168693834703329	42420679.635238975	-89.9995542010805
0.426579518801591	41455067.07781687	-89.999543818199
0.436515832240164	40511434.54568114	-89.9995331917517
0.446683592150961	39589281.71237282	-89.9995223184527
0.457088189614873	38688119.64025381	-89.9995111918753
0.46773514128719607	37807470.5212693	-89.9994998066297
0.47863009232263604	36946867.423595265	-89.9994881555702
0.4897788193684439	36105854.04407771	-89.9994762336594
0.50118723362727	35283984.46629098	-89.9994640325526
0.512861383991362	34480822.92411005	-89.9994515487612
0.52480746024977	33695943.57064988	-89.9994387731468
0.53703179637025	32928930.252488483	-89.9994257006344
0.549540873857622	32179376.289015513	-89.9994123234535
0.5623413251903461	31446884.25679058	-89.9993986354331
0.5754399373371539	30731065.778849773	-89.9993846265693
0.588843655355586	30031541.31876102	-89.9993702932522
0.6025595860743549	29347939.979392707	-89.9993556259797
0.616595001861479	28679899.30626607	-89.9993406165209
0.6309573444801899	28027065.095373742	-89.9993252571845
0.645654229034652	27389091.205378994	-89.9993095408626
0.660693448007592	26765639.37408058	-89.9992934577429
0.676082975391978	26156379.039059117	-89.9992770002681
0.691830970918933	25560987.16242634	-89.9992601598207
0.7079457843841339	24979148.059528355	-89.9992429263314
0.7244359600749859	24410553.231568087	-89.9992252915913
0.7413102413009129	23854901.202044424	-89.9992072456071
0.758577575029179	23311897.356893558	-89.9991887809756
0.7762471166286871	22781253.788291838	-89.9991698847901
0.7943282347242769	22262689.14199524	-89.999150549893
0.812830516164095	21755928.468161598	-89.9991307635541
0.831763771102666	21260703.0755764	-89.9991105161476
0.851138038202372	20776750.389178768	-89.9990897968158
0.870963589956076	20303813.810851082	-89.9990685952579
0.89125093813374	19841642.58335908	-89.9990469008223
0.912010839355904	19389991.65740048	-89.9990247002794
0.9332543007969859	18948621.561675873	-89.9990019820266
0.95499258602143	18517298.275916014	-89.9989787360645
0.977237220955805	18095793.106809743	-89.998954946774
0.999999999999994	17683882.566732787	-89.9989306046901
1.0232929922807499	17281348.255266655	-89.9989056948165
1.04712854805089	16887976.743392967	-89.9988802057979
1.0715193052376	16503559.460325312	-89.9988541223056
1.09647819614318	16127892.582935615	-89.9988274312649
1.12201845430196	15760776.927670768	-89.9988001190447
1.14815362149688	15402017.844951123	-89.9987721701691
1.17489755493952	15051425.115963805	-89.9987435703292
1.2022644346174098	14708812.851801459	-89.998714304254
1.23026877081237	14373999.39490655	-89.9986843563696
1.25892541179416	14046807.222753972	-89.9986537110348
1.2882495516931298	13727062.853721412	-89.9986223520719
1.3182567385564	13414596.755113577	-89.9985902630358
1.34896288259165	13109243.253268883	-89.9985574261556
1.3803842646028799	12810840.445718668	-89.9985238236596
1.41253754462275	12519230.115344401	-89.9984894389363
1.44543977074592	12234257.646487413	-89.9984542532909
1.4791083881682	11955771.94297544	-89.9984182481935
1.5135612484362	11683625.348000677	-89.9983814046327
1.5488166189124701	11417673.565836068	-89.9983437028483
1.5848931924611003	11157775.585327659	-89.9983051226685
1.62181009735892	10903793.605124488	-89.9982656435447
1.6595869074375502	10655592.960619971	-89.9982252453888
1.69824365246173	10413042.052546887	-89.998183906204
1.73780082874936	10176012.277201898	-89.9981416040909
1.7782794100389099	9944377.95826285	-89.9980983165341
1.8197008586099699	9718016.280145295	-89.9980540205201
1.8620871366628602	9496807.222893449	-89.9980086928902
