Freq.	V(v4)
1.00018153678180e+002	(7.11721455980360e-003dB,-1.40064304789309e+000°)
1.00036310652011e+002	(7.12000923095206e-003dB,-1.40089841021146e+000°)
1.00054470922000e+002	(7.12280491864823e-003dB,-1.40115381948500e+000°)
1.00072634488747e+002	(7.12560162323223e-003dB,-1.40140927572255e+000°)
1.00090801352849e+002	(7.12839934507885e-003dB,-1.40166477893297e+000°)
1.00108971514905e+002	(7.13119808455903e-003dB,-1.40192032912510e+000°)
1.00127144975513e+002	(7.13399784204372e-003dB,-1.40217592630782e+000°)
1.00145321735274e+002	(7.13679861792312e-003dB,-1.40243157048995e+000°)
1.00163501794784e+002	(7.13960041255469e-003dB,-1.40268726168040e+000°)
1.00181685154645e+002	(7.14240322628430e-003dB,-1.40294299988798e+000°)
1.00199871815454e+002	(7.14520705951952e-003dB,-1.40319878512160e+000°)
1.00218061777811e+002	(7.14801191261972e-003dB,-1.40345461739009e+000°)
1.00236255042315e+002	(7.15081778595583e-003dB,-1.40371049670233e+000°)
1.00254451609565e+002	(7.15362467988723e-003dB,-1.40396642306720e+000°)
1.00272651480163e+002	(7.15643259481567e-003dB,-1.40422239649354e+000°)
1.00290854654706e+002	(7.15924153108320e-003dB,-1.40447841699026e+000°)
1.00309061133794e+002	(7.16205148907423e-003dB,-1.40473448456622e+000°)
1.00327270918029e+002	(7.16486246916162e-003dB,-1.40499059923029e+000°)
1.00345484008009e+002	(7.16767447173364e-003dB,-1.40524676099135e+000°)
1.00363700404335e+002	(7.17048749711306e-003dB,-1.40550296985828e+000°)
1.00381920107606e+002	(7.17330154572860e-003dB,-1.40575922583995e+000°)
1.00400143118424e+002	(7.17611661792807e-003dB,-1.40601552894527e+000°)
1.00418369437389e+002	(7.17893271407662e-003dB,-1.40627187918310e+000°)
1.00436599065101e+002	(7.18174983457023e-003dB,-1.40652827656234e+000°)
1.00454832002162e+002	(7.18456797975284e-003dB,-1.40678472109188e+000°)
1.00473068249170e+002	(7.18738715003007e-003dB,-1.40704121278061e+000°)
1.00491307806729e+002	(7.19020734574971e-003dB,-1.40729775163739e+000°)
1.00509550675438e+002	(7.19302856729233e-003dB,-1.40755433767116e+000°)
1.00527796855899e+002	(7.19585081504040e-003dB,-1.40781097089080e+000°)
1.00546046348712e+002	(7.19867408937256e-003dB,-1.40806765130521e+000°)
1.00564299154480e+002	(7.20149839062697e-003dB,-1.40832437892328e+000°)
1.00582555273804e+002	(7.20432371922080e-003dB,-1.40858115375391e+000°)
1.00600814707284e+002	(7.20715007550761e-003dB,-1.40883797580601e+000°)
1.00619077455524e+002	(7.20997745986605e-003dB,-1.40909484508849e+000°)
1.00637343519124e+002	(7.21280587266510e-003dB,-1.40935176161024e+000°)
1.00655612898686e+002	(7.21563531428723e-003dB,-1.40960872538018e+000°)
1.00673885594813e+002	(7.21846578510337e-003dB,-1.40986573640722e+000°)
1.00692161608107e+002	(7.22129728549020e-003dB,-1.41012279470027e+000°)
1.00710440939169e+002	(7.22412981583021e-003dB,-1.41037990026824e+000°)
1.00728723588601e+002	(7.22696337647311e-003dB,-1.41063705312005e+000°)
1.00747009557008e+002	(7.22979796782258e-003dB,-1.41089425326462e+000°)
1.00765298844990e+002	(7.23263359023795e-003dB,-1.41115150071086e+000°)
1.00783591453151e+002	(7.23547024410363e-003dB,-1.41140879546770e+000°)
1.00801887382092e+002	(7.23830792979439e-003dB,-1.41166613754407e+000°)
1.00820186632418e+002	(7.24114664768306e-003dB,-1.41192352694886e+000°)
1.00838489204731e+002	(7.24398639814247e-003dB,-1.41218096369104e+000°)
1.00856795099634e+002	(7.24682718154739e-003dB,-1.41243844777951e+000°)
1.00875104317731e+002	(7.24966899829377e-003dB,-1.41269597922322e+000°)
1.00893416859624e+002	(7.25251184873133e-003dB,-1.41295355803108e+000°)
1.00911732725916e+002	(7.25535573326564e-003dB,-1.41321118421203e+000°)
1.00930051917213e+002	(7.25820065223872e-003dB,-1.41346885777501e+000°)
1.00948374434116e+002	(7.26104660605229e-003dB,-1.41372657872896e+000°)
1.00966700277230e+002	(7.26389359508304e-003dB,-1.41398434708283e+000°)
1.00985029447159e+002	(7.26674161970187e-003dB,-1.41424216284553e+000°)
1.01003361944506e+002	(7.26959068029509e-003dB,-1.41450002602602e+000°)
1.01021697769876e+002	(7.27244077721626e-003dB,-1.41475793663324e+000°)
1.01040036923872e+002	(7.27529191085748e-003dB,-1.41501589467614e+000°)
1.01058379407100e+002	(7.27814408161085e-003dB,-1.41527390016367e+000°)
1.01076725220163e+002	(7.28099728982798e-003dB,-1.41553195310478e+000°)
1.01095074363666e+002	(7.28385153590290e-003dB,-1.41579005350842e+000°)
1.01113426838213e+002	(7.28670682022192e-003dB,-1.41604820138353e+000°)
1.01131782644410e+002	(7.28956314313666e-003dB,-1.41630639673908e+000°)
1.01150141782860e+002	(7.29242050505077e-003dB,-1.41656463958403e+000°)
1.01168504254170e+002	(7.29527890633323e-003dB,-1.41682292992734e+000°)
1.01186870058943e+002	(7.29813834736455e-003dB,-1.41708126777796e+000°)
1.01205239197785e+002	(7.30099882852141e-003dB,-1.41733965314486e+000°)
1.01223611671302e+002	(7.30386035018241e-003dB,-1.41759808603699e+000°)
1.01241987480099e+002	(7.30672291271843e-003dB,-1.41785656646333e+000°)
1.01260366624781e+002	(7.30958651653313e-003dB,-1.41811509443285e+000°)
1.01278749105953e+002	(7.31245116198197e-003dB,-1.41837366995450e+000°)
1.01297134924222e+002	(7.31531684946089e-003dB,-1.41863229303729e+000°)
1.01315524080194e+002	(7.31818357933500e-003dB,-1.41889096369015e+000°)
1.01333916574473e+002	(7.32105135199637e-003dB,-1.41914968192208e+000°)
1.01352312407667e+002	(7.32392016781589e-003dB,-1.41940844774206e+000°)
1.01370711580382e+002	(7.32679002717601e-003dB,-1.41966726115906e+000°)
1.01389114093222e+002	(7.32966093045724e-003dB,-1.41992612218205e+000°)
1.01407519946796e+002	(7.33253287804973e-003dB,-1.42018503082003e+000°)
1.01425929141709e+002	(7.33540587031665e-003dB,-1.42044398708198e+000°)
1.01444341678569e+002	(7.33827990765394e-003dB,-1.42070299097688e+000°)
1.01462757557981e+002	(7.34115499043248e-003dB,-1.42096204251373e+000°)
1.01481176780552e+002	(7.34403111903855e-003dB,-1.42122114170152e+000°)
1.01499599346890e+002	(7.34690829385075e-003dB,-1.42148028854922e+000°)
1.01518025257601e+002	(7.34978651525728e-003dB,-1.42173948306583e+000°)
1.01536454513293e+002	(7.35266578362710e-003dB,-1.42199872526036e+000°)
1.01554887114573e+002	(7.35554609934650e-003dB,-1.42225801514180e+000°)
1.01573323062048e+002	(7.35842746280370e-003dB,-1.42251735271915e+000°)
1.01591762356325e+002	(7.36130987436763e-003dB,-1.42277673800141e+000°)
1.01610204998012e+002	(7.36419333443808e-003dB,-1.42303617099758e+000°)
1.01628650987718e+002	(7.36707784338592e-003dB,-1.42329565171667e+000°)
1.01647100326049e+002	(7.36996340158008e-003dB,-1.42355518016767e+000°)
1.01665553013613e+002	(7.37285000943962e-003dB,-1.42381475635960e+000°)
1.01684009051019e+002	(7.37573766730649e-003dB,-1.42407438030148e+000°)
1.01702468438875e+002	(7.37862637559203e-003dB,-1.42433405200230e+000°)
1.01720931177789e+002	(7.38151613466903e-003dB,-1.42459377147108e+000°)
1.01739397268368e+002	(7.38440694491799e-003dB,-1.42485353871685e+000°)
1.01757866711223e+002	(7.38729880671942e-003dB,-1.42511335374862e+000°)
1.01776339506960e+002	(7.39019172046344e-003dB,-1.42537321657540e+000°)
1.01794815656190e+002	(7.39308568652477e-003dB,-1.42563312720622e+000°)
1.01813295159520e+002	(7.39598070531859e-003dB,-1.42589308565010e+000°)
1.01831778017560e+002	(7.39887677717723e-003dB,-1.42615309191606e+000°)
1.01850264230919e+002	(7.40177390252164e-003dB,-1.42641314601313e+000°)
1.01868753800205e+002	(7.40467208171883e-003dB,-1.42667324795033e+000°)
1.01887246726028e+002	(7.40757131515701e-003dB,-1.42693339773671e+000°)
1.01905743008997e+002	(7.41047160321666e-003dB,-1.42719359538128e+000°)
1.01924242649722e+002	(7.41337294630332e-003dB,-1.42745384089308e+000°)
1.01942745648813e+002	(7.41627534477822e-003dB,-1.42771413428116e+000°)
1.01961252006878e+002	(7.41917879903148e-003dB,-1.42797447555453e+000°)
1.01979761724528e+002	(7.42208330945322e-003dB,-1.42823486472226e+000°)
1.01998274802372e+002	(7.42498887642008e-003dB,-1.42849530179336e+000°)
1.02016791241021e+002	(7.42789550032989e-003dB,-1.42875578677690e+000°)
1.02035311041085e+002	(7.43080318154964e-003dB,-1.42901631968192e+000°)
1.02053834203174e+002	(7.43371192046753e-003dB,-1.42927690051743e+000°)
1.02072360727898e+002	(7.43662171750065e-003dB,-1.42953752929253e+000°)
1.02090890615867e+002	(7.43953257298902e-003dB,-1.42979820601625e+000°)
1.02109423867693e+002	(7.44244448734973e-003dB,-1.43005893069761e+000°)
1.02127960483986e+002	(7.44535746094785e-003dB,-1.43031970334571e+000°)
1.02146500465357e+002	(7.44827149419663e-003dB,-1.43058052396959e+000°)
1.02165043812416e+002	(7.45118658744570e-003dB,-1.43084139257830e+000°)
1.02183590525774e+002	(7.45410274110252e-003dB,-1.43110230918091e+000°)
1.02202140606044e+002	(7.45701995558033e-003dB,-1.43136327378648e+000°)
1.02220694053835e+002	(7.45993823119602e-003dB,-1.43162428640405e+000°)
1.02239250869759e+002	(7.46285756840521e-003dB,-1.43188534704272e+000°)
1.02257811054428e+002	(7.46577796756332e-003dB,-1.43214645571152e+000°)
1.02276374608454e+002	(7.46869942904699e-003dB,-1.43240761241955e+000°)
1.02294941532447e+002	(7.47162195328100e-003dB,-1.43266881717587e+000°)
1.02313511827020e+002	(7.47454554060535e-003dB,-1.43293006998955e+000°)
1.02332085492784e+002	(7.47747019144100e-003dB,-1.43319137086966e+000°)
1.02350662530352e+002	(7.48039590617032e-003dB,-1.43345271982529e+000°)
1.02369242940335e+002	(7.48332268517572e-003dB,-1.43371411686550e+000°)
1.02387826723347e+002	(7.48625052883574e-003dB,-1.43397556199936e+000°)
1.02406413879998e+002	(7.48917943755398e-003dB,-1.43423705523599e+000°)
1.02425004410902e+002	(7.49210941171667e-003dB,-1.43449859658443e+000°)
1.02443598316672e+002	(7.49504045171585e-003dB,-1.43476018605381e+000°)
1.02462195597919e+002	(7.49797255790693e-003dB,-1.43502182365318e+000°)
1.02480796255257e+002	(7.50090573072819e-003dB,-1.43528350939163e+000°)
1.02499400289298e+002	(7.50383997053118e-003dB,-1.43554524327827e+000°)
1.02518007700656e+002	(7.50677527772527e-003dB,-1.43580702532219e+000°)
1.02536618489943e+002	(7.50971165268514e-003dB,-1.43606885553248e+000°)
1.02555232657773e+002	(7.51264909581823e-003dB,-1.43633073391822e+000°)
1.02573850204759e+002	(7.51558760749151e-003dB,-1.43659266048853e+000°)
1.02592471131515e+002	(7.51852718810278e-003dB,-1.43685463525251e+000°)
1.02611095438654e+002	(7.52146783804791e-003dB,-1.43711665821923e+000°)
1.02629723126790e+002	(7.52440955771892e-003dB,-1.43737872939783e+000°)
1.02648354196536e+002	(7.52735234749242e-003dB,-1.43764084879740e+000°)
1.02666988648507e+002	(7.53029620777390e-003dB,-1.43790301642705e+000°)
1.02685626483316e+002	(7.53324113893227e-003dB,-1.43816523229589e+000°)
1.02704267701578e+002	(7.53618714137688e-003dB,-1.43842749641302e+000°)
1.02722912303907e+002	(7.53913421549396e-003dB,-1.43868980878756e+000°)
1.02741560290917e+002	(7.54208236166589e-003dB,-1.43895216942863e+000°)
1.02760211663222e+002	(7.54503158028467e-003dB,-1.43921457834534e+000°)
1.02778866421437e+002	(7.54798187177317e-003dB,-1.43947703554682e+000°)
1.02797524566178e+002	(7.55093323646364e-003dB,-1.43973954104216e+000°)
1.02816186098057e+002	(7.55388567478857e-003dB,-1.44000209484051e+000°)
1.02834851017692e+002	(7.55683918712647e-003dB,-1.44026469695099e+000°)
1.02853519325695e+002	(7.55979377388284e-003dB,-1.44052734738271e+000°)
1.02872191022684e+002	(7.56274943542849e-003dB,-1.44079004614481e+000°)
1.02890866109272e+002	(7.56570617216506e-003dB,-1.44105279324642e+000°)
1.02909544586075e+002	(7.56866398448648e-003dB,-1.44131558869667e+000°)
1.02928226453709e+002	(7.57162287277897e-003dB,-1.44157843250469e+000°)
1.02946911712789e+002	(7.57458283744226e-003dB,-1.44184132467961e+000°)
1.02965600363931e+002	(7.57754387886254e-003dB,-1.44210426523059e+000°)
1.02984292407750e+002	(7.58050599742991e-003dB,-1.44236725416673e+000°)
1.03002987844863e+002	(7.58346919354984e-003dB,-1.44263029149721e+000°)
1.03021686675885e+002	(7.58643346759892e-003dB,-1.44289337723114e+000°)
1.03040388901433e+002	(7.58939881997301e-003dB,-1.44315651137767e+000°)
1.03059094522123e+002	(7.59236525107373e-003dB,-1.44341969394597e+000°)
1.03077803538571e+002	(7.59533276129887e-003dB,-1.44368292494517e+000°)
1.03096515951394e+002	(7.59830135101536e-003dB,-1.44394620438442e+000°)
1.03115231761208e+002	(7.60127102063833e-003dB,-1.44420953227286e+000°)
1.03133950968630e+002	(7.60424177056362e-003dB,-1.44447290861968e+000°)
1.03152673574276e+002	(7.60721360117166e-003dB,-1.44473633343400e+000°)
1.03171399578764e+002	(7.61018651287179e-003dB,-1.44499980672497e+000°)
1.03190128982711e+002	(7.61316050603287e-003dB,-1.44526332850178e+000°)
1.03208861786733e+002	(7.61613558108543e-003dB,-1.44552689877358e+000°)
1.03227597991449e+002	(7.61911173838871e-003dB,-1.44579051754954e+000°)
1.03246337597475e+002	(7.62208897834818e-003dB,-1.44605418483880e+000°)
1.03265080605428e+002	(7.62506730137124e-003dB,-1.44631790065055e+000°)
1.03283827015927e+002	(7.62804670784023e-003dB,-1.44658166499395e+000°)
1.03302576829589e+002	(7.63102719815680e-003dB,-1.44684547787817e+000°)
1.03321330047032e+002	(7.63400877271869e-003dB,-1.44710933931237e+000°)
1.03340086668873e+002	(7.63699143190440e-003dB,-1.44737324930574e+000°)
1.03358846695732e+002	(7.63997517611747e-003dB,-1.44763720786745e+000°)
1.03377610128225e+002	(7.64296000576723e-003dB,-1.44790121500669e+000°)
1.03396376966971e+002	(7.64594592122254e-003dB,-1.44816527073261e+000°)
1.03415147212589e+002	(7.64893292289464e-003dB,-1.44842937505442e+000°)
1.03433920865697e+002	(7.65192101118323e-003dB,-1.44869352798130e+000°)
1.03452697926914e+002	(7.65491018649568e-003dB,-1.44895772952242e+000°)
1.03471478396858e+002	(7.65790044918930e-003dB,-1.44922197968698e+000°)
1.03490262276148e+002	(7.66089179969074e-003dB,-1.44948627848416e+000°)
1.03509049565402e+002	(7.66388423839198e-003dB,-1.44975062592315e+000°)
1.03527840265241e+002	(7.66687776568692e-003dB,-1.45001502201315e+000°)
1.03546634376284e+002	(7.66987238196175e-003dB,-1.45027946676334e+000°)
1.03565431899148e+002	(7.67286808764120e-003dB,-1.45054396018295e+000°)
1.03584232834455e+002	(7.67586488310182e-003dB,-1.45080850228114e+000°)
1.03603037182822e+002	(7.67886276873174e-003dB,-1.45107309306713e+000°)
1.03621844944871e+002	(7.68186174495375e-003dB,-1.45133773255010e+000°)
1.03640656121220e+002	(7.68486181213283e-003dB,-1.45160242073929e+000°)
1.03659470712490e+002	(7.68786297070914e-003dB,-1.45186715764387e+000°)
1.03678288719300e+002	(7.69086522104766e-003dB,-1.45213194327307e+000°)
1.03697110142271e+002	(7.69386856354613e-003dB,-1.45239677763610e+000°)
1.03715934982022e+002	(7.69687299862350e-003dB,-1.45266166074216e+000°)
1.03734763239174e+002	(7.69987852665825e-003dB,-1.45292659260047e+000°)
1.03753594914347e+002	(7.70288514805774e-003dB,-1.45319157322022e+000°)
1.03772430008161e+002	(7.70589286323513e-003dB,-1.45345660261066e+000°)
1.03791268521239e+002	(7.70890167255156e-003dB,-1.45372168078102e+000°)
