frequency,imp,pha
100,220000,-60
200,90000,-88
300,56000,-90
500,12000,-91
1000,11000,-92
2000,4000,-45
3000,2000,-36
5000,4000,-40
10000,5200,-70
20000,2700,-80
30000,1600,-72
50000,1000,-76
100000,567,-87
200000,284,-88
300000,189,-88
500000,112,-87
1000000,54,-87
2000000,22,-85
