frequency;MAG;PHA
100235.7997699789;-5.6;5.0
109776.6574083898;-5.60000000000001;4.7536231884058
120225.65330364446;-5.6;6.3134328358209
131669.2278078361;-5.58507462686568;6.29850746268657
144202.04902297983;-5.5;7.09090909090909
157927.7959522464;-5.5;7.10769230769231
172960.01619477605;-5.4;8.265625
189423.06527941898;-5.4;8.23809523809524
207453.13540815192;-5.30000000000001;8.44444444444444
227199.38211953858;-5.27377049180328;9.42622950819672
248825.15819267635;-5.19999999999999;10.6833333333333
272509.36499921913;-5.09661016949152;10.7457627118644
298447.9324826704;-4.9;12.1379310344828
326855.44000822137;-4.8;12.8965517241379
357966.8914917713;-4.6;13.6666666666667
392039.65949307434;-4.4;15.1964285714286
429355.61435568705;-4.19818181818182;15.9818181818182
470223.4560072789;-3.9;16.6909090909091
514981.26771030575;-3.54423076923077;17.9615384615385
563999.3128892496;-3.2;19.4339622641509
617683.0981714174;-2.7;19.9019607843137
676476.7279806258;-2.2;20.4705882352941
740866.5784349763;-1.6;20.88
811385.3209414012;-0.899999999999999;19.8979591836735
888616.3287725672;-0.1;19.8979591836735
973198.5030799692;0.897916666666666;18.9791666666667
1065831.558266922;1.99787234042553;16.9574468085106
1167281.8104451462;3.3;13.5
1278388.5168606243;4.8;7.08695652173913
1400070.8187321709;6.5;-0.933333333333333
1533335.3449380843;8.10000000000001;-16.25
1679284.5394531111;9.09772727272728;-37.5909090909091
1839125.781425275;8.80232558139535;-61.4883720930233
2014181.373339304;7.5;-81.547619047619
2205899.479894731;5.69285714285714;-95.9512195121951
2415866.1080916133;3.9;-107.170731707317
2645818.2276303186;2.29;-115.7
2897658.1401651874;0.897499999999999;-122.475
3173469.2162831104;-0.353846153846154;-128.74358974359
3475533.1303928164;-1.41842105263158;-134.605263157895
3806348.736102084;-2.55789473684211;-138.763157894737
