Freq.	V(out)
1.09395636627209e+000	(-9.27103898631144e+001dB,9.00608910146340e+001°)
1.09647819614318e+000	(-9.26903898239695e+001dB,9.00610313826680e+001°)
1.09900583943252e+000	(-9.26703897846439e+001dB,9.00611720742820e+001°)
1.10153930954141e+000	(-9.26503897451368e+001dB,9.00613130902219e+001°)
1.10407861990207e+000	(-9.26303897054473e+001dB,9.00614544312354e+001°)
1.10662378397766e+000	(-9.26103896655747e+001dB,9.00615960980718e+001°)
1.10917481526240e+000	(-9.25903896255180e+001dB,9.00617380914821e+001°)
1.11173172728159e+000	(-9.25703895852764e+001dB,9.00618804122193e+001°)
1.11429453359173e+000	(-9.25503895448490e+001dB,9.00620230610378e+001°)
1.11686324778056e+000	(-9.25303895042351e+001dB,9.00621660386940e+001°)
1.11943788346715e+000	(-9.25103894634337e+001dB,9.00623093459459e+001°)
1.12201845430196e+000	(-9.24903894224439e+001dB,9.00624529835533e+001°)
1.12460497396692e+000	(-9.24703893812650e+001dB,9.00625969522777e+001°)
1.12719745617551e+000	(-9.24503893398960e+001dB,9.00627412528823e+001°)
1.12979591467280e+000	(-9.24303892983360e+001dB,9.00628858861324e+001°)
1.13240036323556e+000	(-9.24103892565842e+001dB,9.00630308527946e+001°)
1.13501081567231e+000	(-9.23903892146397e+001dB,9.00631761536376e+001°)
1.13762728582343e+000	(-9.23703891725016e+001dB,9.00633217894316e+001°)
1.14024978756117e+000	(-9.23503891301689e+001dB,9.00634677609489e+001°)
1.14287833478977e+000	(-9.23303890876409e+001dB,9.00636140689633e+001°)
1.14551294144553e+000	(-9.23103890449166e+001dB,9.00637607142506e+001°)
1.14815362149688e+000	(-9.22903890019951e+001dB,9.00639076975882e+001°)
1.15080038894443e+000	(-9.22703889588755e+001dB,9.00640550197553e+001°)
1.15345325782109e+000	(-9.22503889155568e+001dB,9.00642026815331e+001°)
1.15611224219210e+000	(-9.22303888720382e+001dB,9.00643506837045e+001°)
1.15877735615512e+000	(-9.22103888283187e+001dB,9.00644990270540e+001°)
1.16144861384034e+000	(-9.21903887843974e+001dB,9.00646477123682e+001°)
1.16412602941049e+000	(-9.21703887402734e+001dB,9.00647967404354e+001°)
1.16680961706096e+000	(-9.21503886959457e+001dB,9.00649461120457e+001°)
1.16949939101987e+000	(-9.21303886514134e+001dB,9.00650958279910e+001°)
1.17219536554813e+000	(-9.21103886066755e+001dB,9.00652458890651e+001°)
1.17489755493953e+000	(-9.20903885617312e+001dB,9.00653962960635e+001°)
1.17760597352080e+000	(-9.20703885165794e+001dB,9.00655470497838e+001°)
1.18032063565173e+000	(-9.20503884712192e+001dB,9.00656981510251e+001°)
1.18304155572516e+000	(-9.20303884256496e+001dB,9.00658496005885e+001°)
1.18576874816716e+000	(-9.20103883798697e+001dB,9.00660013992771e+001°)
1.18850222743702e+000	(-9.19903883338784e+001dB,9.00661535478956e+001°)
1.19124200802737e+000	(-9.19703882876749e+001dB,9.00663060472507e+001°)
1.19398810446427e+000	(-9.19503882412581e+001dB,9.00664588981508e+001°)
1.19674053130724e+000	(-9.19303881946271e+001dB,9.00666121014064e+001°)
1.19949930314938e+000	(-9.19103881477808e+001dB,9.00667656578297e+001°)
1.20226443461741e+000	(-9.18903881007183e+001dB,9.00669195682349e+001°)
1.20503594037179e+000	(-9.18703880534386e+001dB,9.00670738334379e+001°)
1.20781383510678e+000	(-9.18503880059406e+001dB,9.00672284542565e+001°)
1.21059813355048e+000	(-9.18303879582234e+001dB,9.00673834315107e+001°)
1.21338885046497e+000	(-9.18103879102859e+001dB,9.00675387660220e+001°)
1.21618600064636e+000	(-9.17903878621272e+001dB,9.00676944586139e+001°)
1.21898959892486e+000	(-9.17703878137462e+001dB,9.00678505101119e+001°)
1.22179966016487e+000	(-9.17503877651419e+001dB,9.00680069213435e+001°)
1.22461619926504e+000	(-9.17303877163132e+001dB,9.00681636931377e+001°)
1.22743923115840e+000	(-9.17103876672591e+001dB,9.00683208263258e+001°)
1.23026877081238e+000	(-9.16903876179786e+001dB,9.00684783217409e+001°)
1.23310483322890e+000	(-9.16703875684707e+001dB,9.00686361802179e+001°)
1.23594743344451e+000	(-9.16503875187342e+001dB,9.00687944025938e+001°)
1.23879658653036e+000	(-9.16303874687682e+001dB,9.00689529897075e+001°)
1.24165230759241e+000	(-9.16103874185715e+001dB,9.00691119423997e+001°)
1.24451461177138e+000	(-9.15903873681431e+001dB,9.00692712615132e+001°)
1.24738351424294e+000	(-9.15703873174820e+001dB,9.00694309478926e+001°)
1.25025903021771e+000	(-9.15503872665870e+001dB,9.00695910023846e+001°)
1.25314117494141e+000	(-9.15303872154571e+001dB,9.00697514258377e+001°)
1.25602996369487e+000	(-9.15103871640912e+001dB,9.00699122191024e+001°)
1.25892541179416e+000	(-9.14903871124882e+001dB,9.00700733830313e+001°)
1.26182753459066e+000	(-9.14703870606470e+001dB,9.00702349184788e+001°)
1.26473634747115e+000	(-9.14503870085665e+001dB,9.00703968263013e+001°)
1.26765186585784e+000	(-9.14303869562456e+001dB,9.00705591073571e+001°)
1.27057410520854e+000	(-9.14103869036833e+001dB,9.00707217625068e+001°)
1.27350308101666e+000	(-9.13903868508783e+001dB,9.00708847926126e+001°)
1.27643880881134e+000	(-9.13703867978296e+001dB,9.00710481985388e+001°)
1.27938130415752e+000	(-9.13503867445360e+001dB,9.00712119811519e+001°)
1.28233058265602e+000	(-9.13303866909964e+001dB,9.00713761413202e+001°)
1.28528665994361e+000	(-9.13103866372097e+001dB,9.00715406799139e+001°)
1.28824955169313e+000	(-9.12903865831748e+001dB,9.00717055978054e+001°)
1.29121927361353e+000	(-9.12703865288904e+001dB,9.00718708958691e+001°)
1.29419584144998e+000	(-9.12503864743554e+001dB,9.00720365749813e+001°)
1.29717927098395e+000	(-9.12303864195687e+001dB,9.00722026360205e+001°)
1.30016957803328e+000	(-9.12103863645292e+001dB,9.00723690798670e+001°)
1.30316677845229e+000	(-9.11903863092356e+001dB,9.00725359074033e+001°)
1.30617088813183e+000	(-9.11703862536868e+001dB,9.00727031195139e+001°)
1.30918192299940e+000	(-9.11503861978816e+001dB,9.00728707170853e+001°)
1.31219989901920e+000	(-9.11303861418188e+001dB,9.00730387010059e+001°)
1.31522483219223e+000	(-9.11103860854972e+001dB,9.00732070721666e+001°)
1.31825673855640e+000	(-9.10903860289157e+001dB,9.00733758314598e+001°)
1.32129563418657e+000	(-9.10703859720729e+001dB,9.00735449797803e+001°)
1.32434153519466e+000	(-9.10503859149678e+001dB,9.00737145180250e+001°)
1.32739445772973e+000	(-9.10303858575992e+001dB,9.00738844470926e+001°)
1.33045441797808e+000	(-9.10103857999657e+001dB,9.00740547678840e+001°)
1.33352143216332e+000	(-9.09903857420662e+001dB,9.00742254813023e+001°)
1.33659551654643e+000	(-9.09703856838995e+001dB,9.00743965882526e+001°)
1.33967668742593e+000	(-9.09503856254642e+001dB,9.00745680896419e+001°)
1.34276496113786e+000	(-9.09303855667593e+001dB,9.00747399863796e+001°)
1.34586035405594e+000	(-9.09103855077833e+001dB,9.00749122793770e+001°)
1.34896288259164e+000	(-9.08903854485352e+001dB,9.00750849695476e+001°)
1.35207256319427e+000	(-9.08703853890136e+001dB,9.00752580578069e+001°)
1.35518941235103e+000	(-9.08503853292172e+001dB,9.00754315450725e+001°)
1.35831344658715e+000	(-9.08303852691448e+001dB,9.00756054322643e+001°)
1.36144468246594e+000	(-9.08103852087952e+001dB,9.00757797203042e+001°)
1.36458313658892e+000	(-9.07903851481670e+001dB,9.00759544101161e+001°)
1.36772882559584e+000	(-9.07703850872589e+001dB,9.00761295026263e+001°)
1.37088176616484e+000	(-9.07503850260698e+001dB,9.00763049987631e+001°)
1.37404197501251e+000	(-9.07303849645981e+001dB,9.00764808994568e+001°)
1.37720946889394e+000	(-9.07103849028428e+001dB,9.00766572056400e+001°)
1.38038426460288e+000	(-9.06903848408024e+001dB,9.00768339182476e+001°)
1.38356637897177e+000	(-9.06703847784756e+001dB,9.00770110382162e+001°)
1.38675582887188e+000	(-9.06503847158611e+001dB,9.00771885664851e+001°)
1.38995263121334e+000	(-9.06303846529576e+001dB,9.00773665039954e+001°)
1.39315680294529e+000	(-9.06103845897638e+001dB,9.00775448516904e+001°)
1.39636836105593e+000	(-9.05903845262783e+001dB,9.00777236105158e+001°)
1.39958732257261e+000	(-9.05703844624997e+001dB,9.00779027814192e+001°)
1.40281370456195e+000	(-9.05503843984268e+001dB,9.00780823653506e+001°)
1.40604752412990e+000	(-9.05303843340581e+001dB,9.00782623632620e+001°)
1.40928879842186e+000	(-9.05103842693923e+001dB,9.00784427761078e+001°)
1.41253754462274e+000	(-9.04903842044280e+001dB,9.00786236048445e+001°)
1.41579377995707e+000	(-9.04703841391639e+001dB,9.00788048504307e+001°)
1.41905752168908e+000	(-9.04503840735985e+001dB,9.00789865138274e+001°)
1.42232878712281e+000	(-9.04303840077305e+001dB,9.00791685959977e+001°)
