Freq.	V(outint)
2.29086765276776e+003	(-3.85102320311137e+000dB,-8.63299965898828e+001°)
2.34422881531991e+003	(-4.05021772486538e+000dB,-8.64137868620525e+001°)
2.39883291901947e+003	(-4.24944835515465e+000dB,-8.64956956612678e+001°)
2.45470891568501e+003	(-4.44871348084188e+000dB,-8.65757650887145e+001°)
2.51188643150956e+003	(-4.64801156031300e+000dB,-8.66540363583089e+001°)
2.57039578276885e+003	(-4.84734112035094e+000dB,-8.67305498127469e+001°)
2.63026799189536e+003	(-5.04670075314209e+000dB,-8.68053449394710e+001°)
2.69153480392690e+003	(-5.24608911341000e+000dB,-8.68784603865387e+001°)
2.75422870333815e+003	(-5.44550491567125e+000dB,-8.69499339783783e+001°)
2.81838293126443e+003	(-5.64494693160869e+000dB,-8.70198027314189e+001°)
2.88403150312659e+003	(-5.84441398755717e+000dB,-8.70881028695826e+001°)
2.95120922666636e+003	(-6.04390496209720e+000dB,-8.71548698396279e+001°)
3.01995172040199e+003	(-6.24341878375229e+000dB,-8.72201383263351e+001°)
3.09029543251357e+003	(-6.44295442878543e+000dB,-8.72839422675257e+001°)
3.16227766016836e+003	(-6.64251091909093e+000dB,-8.73463148689072e+001°)
3.23593656929626e+003	(-6.84208732017744e+000dB,-8.74072886187374e+001°)
3.31131121482589e+003	(-7.04168273923842e+000dB,-8.74668953023021e+001°)
3.38844156139200e+003	(-7.24129632330649e+000dB,-8.75251660162018e+001°)
3.46736850452529e+003	(-7.44092725748803e+000dB,-8.75821311824420e+001°)
3.54813389233573e+003	(-7.64057476327469e+000dB,-8.76378205623249e+001°)
3.63078054770099e+003	(-7.84023809692866e+000dB,-8.76922632701378e+001°)
3.71535229097170e+003	(-8.03991654793838e+000dB,-8.77454877866374e+001°)
3.80189396320558e+003	(-8.23960943754183e+000dB,-8.77975219723267e+001°)
3.89045144994278e+003	(-8.43931611731466e+000dB,-8.78483930805245e+001°)
3.98107170553494e+003	(-8.63903596781997e+000dB,-8.78981277702248e+001°)
4.07380277804110e+003	(-8.83876839731763e+000dB,-8.79467521187468e+001°)
4.16869383470332e+003	(-9.03851284053008e+000dB,-8.79942916341748e+001°)
4.26579518801589e+003	(-9.23826875746261e+000dB,-8.80407712675882e+001°)
4.36515832240162e+003	(-9.43803563227548e+000dB,-8.80862154250820e+001°)
4.46683592150960e+003	(-9.63781297220575e+000dB,-8.81306479795779e+001°)
4.57088189614871e+003	(-9.83760030653669e+000dB,-8.81740922824289e+001°)
4.67735141287194e+003	(-1.00373971856126e+001dB,-8.82165711748157e+001°)
4.78630092322634e+003	(-1.02372031798973e+001dB,-8.82581069989390e+001°)
4.89778819368442e+003	(-1.04370178790738e+001dB,-8.82987216090079e+001°)
5.01187233627268e+003	(-1.06368408911847e+001dB,-8.83384363820260e+001°)
5.12861383991361e+003	(-1.08366718418092e+001dB,-8.83772722283790e+001°)
5.24807460249768e+003	(-1.10365103732781e+001dB,-8.84152496022227e+001°)
5.37031796370248e+003	(-1.12363561439222e+001dB,-8.84523885116770e+001°)
5.49540873857620e+003	(-1.14362088273550e+001dB,-8.84887085288260e+001°)
5.62341325190344e+003	(-1.16360681117865e+001dB,-8.85242287995277e+001°)
