Freq.	V(outint)
6.45654229034654e+001	(1.00129011289834e+001dB,-7.87656598680403e+000°)
6.60693448007595e+001	(1.00090646723865e+001dB,-8.05765741027004e+000°)
6.76082975391980e+001	(1.00050510382108e+001dB,-8.24279973141653e+000°)
6.91830970918935e+001	(1.00008522191230e+001dB,-8.43207567630956e+000°)
7.07945784384136e+001	(9.99645986307762e+000dB,-8.62556910573042e+000°)
7.24435960074988e+001	(9.99186525718034e+000dB,-8.82336498935425e+000°)
7.41310241300916e+001	(9.98705931905677e+000dB,-9.02554937529697e+000°)
7.58577575029182e+001	(9.98203257733159e+000dB,-9.23220935826431e+000°)
7.76247116628690e+001	(9.97677516169311e+000dB,-9.44343304131918e+000°)
7.94328234724279e+001	(9.97127678390504e+000dB,-9.65930949285245e+000°)
8.12830516164097e+001	(9.96552672702401e+000dB,-9.87992870005364e+000°)
8.31763771102669e+001	(9.95951382675760e+000dB,-1.01053815153232e+001°)
8.51138038202374e+001	(9.95322645733041e+000dB,-1.03357596015925e+001°)
8.70963589956078e+001	(9.94665251506395e+000dB,-1.05711553632763e+001°)
8.91250938133743e+001	(9.93977940098050e+000dB,-1.08116618804888e+001°)
9.12010839355907e+001	(9.93259400636967e+000dB,-1.10573728336859e+001°)
9.33254300796988e+001	(9.92508269450408e+000dB,-1.13083824144180e+001°)
9.54992586021433e+001	(9.91723128528730e+000dB,-1.15647852415810e+001°)
9.77237220955808e+001	(9.90902503490477e+000dB,-1.18266762585807e+001°)
9.99999999999997e+001	(9.90044862305364e+000dB,-1.20941506316382e+001°)
1.02329299228075e+002	(9.89148613354319e+000dB,-1.23673036307868e+001°)
1.04712854805090e+002	(9.88212103694989e+000dB,-1.26462305100887e+001°)
1.07151930523760e+002	(9.87233617319740e+000dB,-1.29310263775681e+001°)
1.09647819614318e+002	(9.86211373719532e+000dB,-1.32217860462572e+001°)
1.12201845430196e+002	(9.85143525967710e+000dB,-1.35186038903385e+001°)
1.14815362149688e+002	(9.84028159084946e+000dB,-1.38215736836472e+001°)
1.17489755493953e+002	(9.82863288707783e+000dB,-1.41307884194265e+001°)
1.20226443461741e+002	(9.81646859260028e+000dB,-1.44463401364310e+001°)
1.23026877081238e+002	(9.80376742401729e+000dB,-1.47683197238537e+001°)
1.25892541179416e+002	(9.79050736120644e+000dB,-1.50968167098751e+001°)
1.28824955169313e+002	(9.77666562799446e+000dB,-1.54319190531938e+001°)
