time	V(vo)
5.906070356593503e-004	-3.733166e-001
5.916856436750046e-004	-3.747873e-001
5.929714531417360e-004	-3.764965e-001
5.939802127390878e-004	-3.778059e-001
5.946702041998778e-004	-3.786830e-001
5.952844085775510e-004	-3.794517e-001
5.960866956515505e-004	-3.804365e-001
5.969609713249259e-004	-3.814891e-001
5.975803760026694e-004	-3.822231e-001
5.982798139715323e-004	-3.830370e-001
5.990003945623301e-004	-3.838598e-001
5.998350370454169e-004	-3.847886e-001
6.015043220115907e-004	-3.865778e-001
6.039969398477091e-004	-3.891178e-001
6.068389371549311e-004	-3.918341e-001
6.100501523847127e-004	-3.946638e-001
6.151920368469946e-004	-3.987478e-001
6.225826767340601e-004	-4.040355e-001
6.256838075324600e-004	-4.060371e-001
6.283906828420615e-004	-4.076191e-001
6.317023911893287e-004	-4.094090e-001
6.343881683315313e-004	-4.107450e-001
6.374191116129297e-004	-4.121074e-001
6.424153102586599e-004	-4.140950e-001
6.486035768674965e-004	-4.161703e-001
6.583692018674965e-004	-4.187894e-001
6.681348268674965e-004	-4.208042e-001
6.779004518674965e-004	-4.222986e-001
6.876660768674965e-004	-4.234047e-001
6.974317018674965e-004	-4.242210e-001
7.071973268674965e-004	-4.248216e-001
7.169629518674965e-004	-4.252614e-001
7.267285768674965e-004	-4.255816e-001
7.364942018674965e-004	-4.258127e-001
7.462598268674966e-004	-4.259776e-001
7.560254518674966e-004	-4.260933e-001
7.657910768674966e-004	-4.261723e-001
7.755567018674966e-004	-4.262243e-001
7.853223268674966e-004	-4.262560e-001
7.950879518674966e-004	-4.262727e-001
8.146192018674966e-004	-4.262744e-001
8.243848268674966e-004	-4.262627e-001
8.341504518674966e-004	-4.262413e-001
8.439160768674966e-004	-4.262022e-001
8.536817018674967e-004	-4.261295e-001
8.596409276220666e-004	-4.260370e-001
8.660047826358335e-004	-4.258413e-001
8.724694589022763e-004	-4.255042e-001
8.780892987574539e-004	-4.250827e-001
8.813289436187227e-004	-4.247779e-001
8.834773079179599e-004	-4.245509e-001
8.859020261574752e-004	-4.242849e-001
8.869945449000547e-004	-4.241644e-001
8.878525154490266e-004	-4.240693e-001
8.888812729207037e-004	-4.239541e-001
8.904128211365519e-004	-4.237784e-001
8.912625146622112e-004	-4.236784e-001
8.918924369394312e-004	-4.236029e-001
8.925768581298624e-004	-4.235193e-001
8.934898662137725e-004	-4.234053e-001
8.944592240552367e-004	-4.232811e-001
8.956267450045461e-004	-4.231265e-001
8.970745627848135e-004	-4.229277e-001
8.984201302465061e-004	-4.227352e-001
9.000063535745644e-004	-4.224974e-001
9.018990655081492e-004	-4.221948e-001
9.056844893753187e-004	-4.215242e-001
9.125814268413448e-004	-4.201021e-001
9.223470518413448e-004	-4.176770e-001
9.321126768413448e-004	-4.147056e-001
9.418783018413448e-004	-4.110453e-001
9.516439268413448e-004	-4.065108e-001
9.614095518413449e-004	-4.007535e-001
9.711751768413449e-004	-3.929516e-001
9.809408018413449e-004	-3.818471e-001
9.865684741038466e-004	-3.723403e-001
9.898212655244313e-004	-3.636347e-001
9.939944288912641e-004	-3.477874e-001
9.958087299739790e-004	-3.387326e-001
9.984266437524402e-004	-3.226976e-001
1.000862925021737e-003	-3.051701e-001
1.005388296454185e-003	-2.668382e-001
1.010904073804293e-003	-2.133512e-001
1.014735881756082e-003	-1.719596e-001
1.017732387562390e-003	-1.373180e-001
1.020832168366409e-003	-1.006796e-001
1.024035966399876e-003	-6.354718e-002
1.028667185171552e-003	-1.279442e-002
1.033720300485785e-003	3.743368e-002
1.041177671303011e-003	1.014880e-001
1.050943296303011e-003	1.710970e-001
1.060708921303011e-003	2.267287e-001
1.070474546303011e-003	2.702284e-001
1.080240171303011e-003	3.041884e-001
1.090005796303011e-003	3.307312e-001
1.099771421303011e-003	3.515394e-001
1.109537046303011e-003	3.679172e-001
1.119302671303011e-003	3.812481e-001
1.123053602951528e-003	3.856204e-001
1.124870324408527e-003	3.875118e-001
1.126872114867197e-003	3.894680e-001
1.128676849867005e-003	3.911431e-001
1.130447528478220e-003	3.927038e-001
1.132135927328616e-003	3.941141e-001
1.134415372972716e-003	3.958963e-001
1.137969003834183e-003	3.984557e-001
1.141979521987316e-003	4.010588e-001
1.146702077305683e-003	4.037400e-001
1.153164905657812e-003	4.068418e-001
1.161670224258062e-003	4.101567e-001
1.171290901058241e-003	4.130829e-001
1.181056526058241e-003	4.153346e-001
1.190822151058241e-003	4.170192e-001
1.200587776058241e-003	4.182760e-001
1.210353401058241e-003	4.192117e-001
1.220119026058241e-003	4.199066e-001
1.229884651058241e-003	4.204202e-001
1.239650276058241e-003	4.207974e-001
1.249415901058241e-003	4.210714e-001
1.259181526058241e-003	4.212672e-001
1.268947151058241e-003	4.214030e-001
1.278712776058241e-003	4.214926e-001
1.288478401058241e-003	4.215460e-001
1.298244026058241e-003	4.215700e-001
1.308009651058241e-003	4.215692e-001
1.317775276058241e-003	4.215458e-001
1.327540901058241e-003	4.214990e-001
1.337306526058241e-003	4.214281e-001
1.343531705856131e-003	4.213652e-001
1.350112793013571e-003	4.212791e-001
1.354494227998761e-003	4.212083e-001
1.358940209536322e-003	4.211219e-001
1.362259209828977e-003	4.210463e-001
1.365094492295459e-003	4.209707e-001
1.367335460465129e-003	4.209004e-001
1.369386296192616e-003	4.208236e-001
1.371398942236843e-003	4.207297e-001
1.374899793792572e-003	4.205194e-001
1.379174867578308e-003	4.201724e-001
1.385928737912209e-003	4.194146e-001
1.394034018878876e-003	4.181671e-001
1.403799643878876e-003	4.161584e-001
1.413565268878876e-003	4.135616e-001
1.423330893878876e-003	4.102734e-001
1.433096518878876e-003	4.061419e-001
1.442862143878876e-003	4.008756e-001
1.452627768878876e-003	3.938225e-001
1.462393393878876e-003	3.835950e-001
1.470034664376511e-003	3.714831e-001
1.473795539365721e-003	3.618479e-001
1.477676427083212e-003	3.473455e-001
1.479608062614204e-003	3.378113e-001
1.482254615693623e-003	3.218169e-001
1.484737114378095e-003	3.041770e-001
1.489108993943374e-003	2.676502e-001
1.494483356704410e-003	2.162231e-001
1.498425923588260e-003	1.741463e-001
1.501447202394636e-003	1.395264e-001
1.504434573763793e-003	1.043553e-001
1.507592577530632e-003	6.770149e-002
1.512083206379295e-003	1.816920e-002
1.517034773935142e-003	-3.170743e-002
1.523932666780719e-003	-9.214080e-002
1.533698291780719e-003	-1.635360e-001
1.543463916780719e-003	-2.209000e-001
1.553229541780719e-003	-2.657988e-001
1.562995166780719e-003	-3.008736e-001
1.572760791780719e-003	-3.283039e-001
1.582526416780719e-003	-3.498237e-001
1.592292041780719e-003	-3.673013e-001
1.595886667944946e-003	-3.728507e-001
1.595891933510616e-003	-3.728581e-001
