time	V(vi_op)
1.095878448640997e-003	4.556548e+000
1.098105414547983e-003	4.557687e+000
1.100514363591402e-003	4.558907e+000
1.103198353746253e-003	4.560245e+000
1.108566334055955e-003	4.562869e+000
1.113698315575905e-003	4.565310e+000
1.121487596571113e-003	4.568882e+000
1.129060963135320e-003	4.572195e+000
1.138826588135320e-003	4.576220e+000
1.148592213135320e-003	4.579969e+000
1.158357838135320e-003	4.583414e+000
1.168123463135320e-003	4.586542e+000
1.187654713135320e-003	4.591800e+000
1.207185963135320e-003	4.595663e+000
1.226717213135320e-003	4.598074e+000
1.236482838135320e-003	4.598723e+000
1.246248463135320e-003	4.598997e+000
1.256014088135320e-003	4.598895e+000
1.265779713135320e-003	4.598417e+000
1.275545338135320e-003	4.597566e+000
1.285310963135320e-003	4.596355e+000
1.293835196705025e-003	4.595017e+000
1.300080659784420e-003	4.593870e+000
1.303800602342870e-003	4.593109e+000
1.307327937682958e-003	4.592332e+000
1.310790818495117e-003	4.591519e+000
1.315652987320430e-003	4.590299e+000
1.321793256612675e-003	4.588629e+000
1.330919700144843e-003	4.585907e+000
1.340685325144843e-003	4.582705e+000
1.350450950144843e-003	4.579195e+000
1.360216575144843e-003	4.575382e+000
1.369982200144843e-003	4.571282e+000
1.379747825144843e-003	4.566911e+000
1.389513450144843e-003	4.562284e+000
1.399279075144843e-003	4.557421e+000
1.409044700144843e-003	4.552337e+000
1.418810325144843e-003	4.547053e+000
1.428575950144843e-003	4.541589e+000
1.438341575144843e-003	4.535964e+000
1.448107200144843e-003	4.530202e+000
1.457872825144843e-003	4.524322e+000
1.467638450144843e-003	4.518347e+000
1.477404075144843e-003	4.512301e+000
1.485842211826330e-003	4.507036e+000
1.494658341033255e-003	4.501509e+000
1.501636469128721e-003	4.497128e+000
1.509308842678893e-003	4.492318e+000
1.519074467678893e-003	4.486220e+000
1.528840092678893e-003	4.480170e+000
1.538605717678893e-003	4.474192e+000
1.548371342678893e-003	4.468307e+000
1.558136967678893e-003	4.462539e+000
1.567902592678893e-003	4.456885e+000
1.572301258165235e-003	4.454380e+000
1.572327951621213e-003	4.454365e+000
1.572577090543677e-003	4.454225e+000
1.572861820740779e-003	4.454065e+000
1.573431281134983e-003	4.453746e+000
1.574570201923391e-003	4.453110e+000
1.575431049968044e-003	4.452630e+000
1.576180255610816e-003	4.452214e+000
1.577209218921728e-003	4.451644e+000
1.578313495464588e-003	4.451035e+000
1.579151938042108e-003	4.450574e+000
1.579899424758866e-003	4.450164e+000
1.580649474008039e-003	4.449754e+000
1.581547094127671e-003	4.449264e+000
1.582784009779037e-003	4.448593e+000
1.584980812681971e-003	4.447408e+000
1.587094151705966e-003	4.446278e+000
1.590457167443668e-003	4.444499e+000
1.594266938602083e-003	4.442513e+000
1.598719637465292e-003	4.440240e+000
1.606501988496086e-003	4.436376e+000
1.613687196292571e-003	4.432932e+000
1.621911170305298e-003	4.429142e+000
1.627192956873715e-003	4.426807e+000
1.633774410901858e-003	4.424011e+000
1.637749802489959e-003	4.422384e+000
