time	V(vin)
1.601275250372123e-003	-5.942487e-002
1.601908943306883e-003	-5.974463e-002
1.602502166706655e-003	-6.004311e-002
1.603092006405044e-003	-6.033906e-002
1.603777954858126e-003	-6.068220e-002
1.604442704213258e-003	-6.101365e-002
1.606384015586825e-003	-6.197550e-002
1.608311913462650e-003	-6.292158e-002
1.610470049297641e-003	-6.396969e-002
1.614253420104741e-003	-6.577859e-002
1.617809285403963e-003	-6.744485e-002
1.623431616619310e-003	-7.001044e-002
1.630082959457837e-003	-7.293253e-002
1.633076933498072e-003	-7.420659e-002
1.636197446439150e-003	-7.550654e-002
1.639163671431178e-003	-7.671531e-002
1.642346980485918e-003	-7.798289e-002
1.645587411234826e-003	-7.924117e-002
1.651536562434863e-003	-8.146540e-002
1.658256853968149e-003	-8.384088e-002
1.668022478968149e-003	-8.702534e-002
1.677788103968149e-003	-8.988225e-002
1.687553728968149e-003	-9.240086e-002
1.697319353968149e-003	-9.457171e-002
1.707084978968149e-003	-9.638660e-002
1.716850603968149e-003	-9.783872e-002
1.726616228968149e-003	-9.892260e-002
1.736381853968149e-003	-9.963416e-002
1.746147478968149e-003	-9.997071e-002
1.755913103968149e-003	-9.993099e-002
1.765678728968149e-003	-9.951515e-002
1.775444353968149e-003	-9.872478e-002
1.785209978968149e-003	-9.756281e-002
1.794975603968149e-003	-9.603365e-002
1.814506853968149e-003	-9.189808e-002
1.824272478968149e-003	-8.930725e-002
1.834038103968149e-003	-8.638028e-002
1.843803728968149e-003	-8.312820e-002
1.850860070848281e-003	-8.058288e-002
1.856673300636952e-003	-7.836676e-002
1.863089267778776e-003	-7.579962e-002
1.868442495290777e-003	-7.356326e-002
1.869300552533020e-003	-7.319690e-002
1.870158609775262e-003	-7.282846e-002
1.871016667017505e-003	-7.245794e-002
1.871874724259748e-003	-7.208535e-002
1.872732781501991e-003	-7.171068e-002
1.873590838744233e-003	-7.133393e-002
1.874448895986476e-003	-7.095511e-002
1.874557911585362e-003	-7.090682e-002
1.874775942783135e-003	-7.081015e-002
1.876084129969768e-003	-7.022738e-002
1.877828379551945e-003	-6.944297e-002
1.879843073638795e-003	-6.852655e-002
1.881830940276962e-003	-6.761158e-002
1.882779124307271e-003	-6.717143e-002
1.883885607352760e-003	-6.665479e-002
1.884904450306564e-003	-6.617621e-002
1.885883375215038e-003	-6.571383e-002
1.886526936995389e-003	-6.540850e-002
1.887261739191255e-003	-6.505857e-002
1.888163231172686e-003	-6.462736e-002
1.889163450321221e-003	-6.414651e-002
1.890383077783062e-003	-6.355675e-002
1.891913121247971e-003	-6.281162e-002
1.893376274742213e-003	-6.209363e-002
1.896919329095216e-003	-6.033339e-002
1.900756129419307e-003	-5.839351e-002
1.907624617365061e-003	-5.483682e-002
1.917390242365061e-003	-4.960576e-002
1.927155867365061e-003	-4.418799e-002
1.936921492365061e-003	-3.860391e-002
1.946687117365061e-003	-3.287453e-002
1.956452742365061e-003	-2.702142e-002
1.966218367365060e-003	-2.106661e-002
1.975983992365060e-003	-1.503250e-002
1.981893474559786e-003	-1.135214e-002
1.985162177766189e-003	-9.309379e-003
1.989123687379351e-003	-6.828471e-003
1.991015421323698e-003	-5.642179e-003
1.993643372434558e-003	-3.992925e-003
1.996039083437507e-003	-2.488460e-003
2.000281605873120e-003	1.769381e-004
2.005826946602731e-003	3.660361e-003
2.009819829008056e-003	6.166067e-003
2.012865259905872e-003	8.074680e-003
2.015861712893088e-003	9.949718e-003
2.019027539363140e-003	1.192690e-002
2.023513789339018e-003	1.472046e-002
2.028461148961007e-003	1.778751e-002
2.035378442714316e-003	2.204632e-002
2.045144067714316e-003	2.798603e-002
2.054909692714315e-003	3.382040e-002
2.064675317714315e-003	3.952748e-002
2.074440942714315e-003	4.508579e-002
2.084206567714315e-003	5.047441e-002
2.093972192714315e-003	5.567305e-002
2.103737817714314e-003	6.066215e-002
2.113503442714314e-003	6.542293e-002
2.117300114395007e-003	6.720831e-002
2.119227692959200e-003	6.810017e-002
2.121021813522264e-003	6.892131e-002
2.122427047224568e-003	6.955835e-002
2.124134756729425e-003	7.032522e-002
2.125899917811687e-003	7.110937e-002
2.128251081967107e-003	7.214025e-002
2.131191443569901e-003	7.340727e-002
2.134664520452449e-003	7.487155e-002
2.139211401361660e-003	7.673454e-002
2.145737268661471e-003	7.929858e-002
2.153274910531839e-003	8.209397e-002
2.161689470900513e-003	8.499682e-002
2.171455095900513e-003	8.806745e-002
2.181220720900513e-003	9.080661e-002
2.190986345900513e-003	9.320401e-002
2.200751970900512e-003	9.525059e-002
2.210517595900512e-003	9.693868e-002
2.220283220900512e-003	9.826192e-002
2.230048845900512e-003	9.921531e-002
2.239814470900511e-003	9.979528e-002
2.249580095900511e-003	9.999965e-002
2.259345720900511e-003	9.982764e-002
2.269111345900511e-003	9.927990e-002
2.278876970900511e-003	9.835850e-002
2.288642595900510e-003	9.706689e-002
2.298408220900510e-003	9.540995e-002
2.317939470900510e-003	9.102635e-002
2.327705095900510e-003	8.831619e-002
2.337470720900509e-003	8.527362e-002
2.347236345900509e-003	8.191011e-002
2.352333777174448e-003	8.003113e-002
2.358778372859693e-003	7.753832e-002
2.363105773300140e-003	7.579286e-002
2.367459105565424e-003	7.398040e-002
2.370519014243982e-003	7.267324e-002
2.372700024353842e-003	7.172511e-002
2.374816232992584e-003	7.079228e-002
2.377554381108721e-003	6.956674e-002
2.381782649103875e-003	6.763393e-002
2.386266223311731e-003	6.553232e-002
2.393648429992731e-003	6.195950e-002
2.403109054363281e-003	5.718702e-002
2.412874679363281e-003	5.204898e-002
2.422640304363281e-003	4.671505e-002
2.432405929363281e-003	4.120530e-002
2.442171554363281e-003	3.554045e-002
2.451937179363280e-003	2.974185e-002
2.461702804363280e-003	2.383129e-002
2.471468429363280e-003	1.783105e-002
2.476199719914318e-003	1.489848e-002
2.479082704540350e-003	1.310492e-002
2.482815471289971e-003	1.077639e-002
2.484695919280591e-003	9.601026e-003
2.487130873420161e-003	8.077103e-003
2.490290234573935e-003	6.097042e-003
2.494685268346960e-003	3.338724e-003
2.502605640606957e-003	-1.637099e-003
2.506243079834354e-003	-3.921637e-003
2.509757129340118e-003	-6.126746e-003
2.513377653369854e-003	-8.395533e-003
2.518453093637690e-003	-1.156846e-002
2.523960311799225e-003	-1.499790e-002
2.532614968032869e-003	-2.034946e-002
2.542380593032868e-003	-2.631493e-002
2.552146218032868e-003	-3.218136e-002
2.561911843032868e-003	-3.792666e-002
2.571677468032868e-003	-4.352922e-002
2.581443093032868e-003	-4.896794e-002
2.591208718032867e-003	-5.422236e-002
2.600974343032867e-003	-5.927270e-002
2.601031563491851e-003	-5.930165e-002
2.601260445327789e-003	-5.941739e-002
2.601565621109039e-003	-5.957150e-002
2.602175972671539e-003	-5.987909e-002
2.603037381379900e-003	-6.031169e-002
2.603926178133991e-003	-6.075620e-002
2.604562696326043e-003	-6.107337e-002
2.605246938111534e-003	-6.141323e-002
2.606182314262065e-003	-6.187599e-002
2.607116814713126e-003	-6.233619e-002
2.607742942976569e-003	-6.264332e-002
2.608347177325482e-003	-6.293880e-002
2.610149119556055e-003	-6.381457e-002
2.611906960443239e-003	-6.466101e-002
2.613884798026780e-003	-6.560396e-002
2.616639506061650e-003	-6.690038e-002
2.619413078683540e-003	-6.818542e-002
2.624667673534470e-003	-7.056288e-002
2.632123250696615e-003	-7.380359e-002
2.636159487763932e-003	-7.549090e-002
2.638904209679570e-003	-7.661063e-002
2.642984149013388e-003	-7.823288e-002
2.645473769053205e-003	-7.919760e-002
2.648830821551861e-003	-8.046772e-002
2.652819843571537e-003	-8.193036e-002
2.660431150369615e-003	-8.457763e-002
2.669351081742496e-003	-8.743352e-002
2.679116706742496e-003	-9.024501e-002
2.688882331742496e-003	-9.271684e-002
2.698647956742496e-003	-9.483971e-002
2.708413581742496e-003	-9.660562e-002
2.718179206742495e-003	-9.800793e-002
2.727944831742495e-003	-9.904136e-002
2.737710456742495e-003	-9.970202e-002
2.747476081742495e-003	-9.998742e-002
2.757241706742495e-003	-9.989650e-002
2.767007331742494e-003	-9.942959e-002
2.776772956742494e-003	-9.858844e-002
2.786538581742494e-003	-9.737623e-002
2.796304206742494e-003	-9.579752e-002
2.806069831742494e-003	-9.385826e-002
2.815835456742493e-003	-9.156572e-002
2.825601081742493e-003	-8.892856e-002
2.835366706742493e-003	-8.595669e-002
2.845132331742493e-003	-8.266129e-002
2.851450468065523e-003	-8.036266e-002
2.858580713321509e-003	-7.761668e-002
2.864246387836992e-003	-7.532340e-002
2.870337203325643e-003	-7.275166e-002
2.870361769672333e-003	-7.274107e-002
2.870558300445856e-003	-7.265628e-002
2.871232120240789e-003	-7.236473e-002
2.872130546634034e-003	-7.197398e-002
2.873927399420524e-003	-7.118561e-002
2.875994209178370e-003	-7.026759e-002
2.877774330549760e-003	-6.946740e-002
2.878733293344017e-003	-6.903272e-002
2.879807093942845e-003	-6.854302e-002
2.880766076075187e-003	-6.810304e-002
2.881685554500086e-003	-6.767886e-002
2.882404255450553e-003	-6.734573e-002
2.883211988190688e-003	-6.696970e-002
2.884017839809487e-003	-6.659283e-002
2.886482047069168e-003	-6.542983e-002
2.887889630157516e-003	-6.475846e-002
2.889370830118130e-003	-6.404650e-002
2.891136866421296e-003	-6.319039e-002
2.896408025168542e-003	-6.058928e-002
2.901309725115892e-003	-5.811078e-002
2.911075350115892e-003	-5.301098e-002
2.920840975115891e-003	-4.771166e-002
2.930606600115891e-003	-4.223276e-002
2.940372225115891e-003	-3.659490e-002
2.950137850115891e-003	-3.081931e-002
2.959903475115891e-003	-2.492773e-002
2.969669100115890e-003	-1.894232e-002
2.978403792332841e-003	-1.352770e-002
2.982147206718390e-003	-1.119373e-002
2.985823002475428e-003	-8.895895e-003
2.987776412327652e-003	-7.672758e-003
2.990400264834236e-003	-6.028035e-003
2.992823373045447e-003	-4.507680e-003
2.996965580603129e-003	-1.906466e-003
3.002412303456165e-003	1.515637e-003
3.006472868536390e-003	4.065902e-003
3.009531135325817e-003	5.985010e-003
3.012497070975553e-003	7.844075e-003
3.015658344515645e-003	9.822564e-003
3.020103047279019e-003	1.259756e-002
3.024901490268537e-003	1.558231e-002
3.031872003654649e-003	1.989219e-002
3.041637628654649e-003	2.586428e-002
3.051403253654648e-003	3.173903e-002
3.061168878654648e-003	3.749431e-002
3.070934503654648e-003	4.310847e-002
3.080700128654648e-003	4.856039e-002
3.090465753654648e-003	5.382954e-002
3.100231378654647e-003	5.889608e-002
3.109997003654647e-003	6.374095e-002
3.113538317642304e-003	6.543951e-002
3.115315429932055e-003	6.627972e-002
3.117068641621338e-003	6.710054e-002
3.118511758795803e-003	6.777008e-002
3.120142720572218e-003	6.852005e-002
3.121858961057706e-003	6.930147e-002
3.124113724361771e-003	7.031582e-002
3.126708494351117e-003	7.146566e-002
3.129894814033745e-003	7.285161e-002
3.134977285155869e-003	7.500166e-002
3.140244831892726e-003	7.714929e-002
3.147456705785075e-003	7.995213e-002
3.154589718683441e-003	8.256289e-002
3.164355343683441e-003	8.586731e-002
3.174120968683441e-003	8.884855e-002
3.183886593683440e-003	9.149539e-002
3.193652218683440e-003	9.379785e-002
3.203417843683440e-003	9.574728e-002
3.213183468683440e-003	9.733634e-002
3.222949093683440e-003	9.855905e-002
3.232714718683439e-003	9.941081e-002
3.242480343683439e-003	9.988841e-002
3.252245968683439e-003	9.999004e-002
3.262011593683439e-003	9.971534e-002
3.271777218683439e-003	9.906533e-002
3.281542843683438e-003	9.804247e-002
3.291308468683438e-003	9.665059e-002
3.301074093683438e-003	9.489494e-002
3.320605343683438e-003	9.032010e-002
3.330370968683437e-003	8.751814e-002
3.340136593683437e-003	8.438677e-002
3.349902218683437e-003	8.093780e-002
3.359317924621646e-003	7.732379e-002
3.364349916577602e-003	7.528060e-002
3.370178746279599e-003	7.281993e-002
3.374220253176670e-003	7.105626e-002
3.376976398234952e-003	6.982716e-002
