time	V(n005)
5.761823274635244e-004	-5.396087e-001
5.820862945219061e-004	-5.409762e-001
5.900066014790934e-004	-5.426968e-001
5.941970081952315e-004	-5.433901e-001
5.984183217261242e-004	-5.437873e-001
6.024191835172640e-004	-5.439703e-001
6.066646169594058e-004	-5.440697e-001
6.110857328698576e-004	-5.441303e-001
6.189629620566119e-004	-5.441923e-001
6.287285870566119e-004	-5.442326e-001
6.384942120566119e-004	-5.442500e-001
6.482598370566120e-004	-5.442557e-001
6.580254620566120e-004	-5.442560e-001
6.775567120566120e-004	-5.442492e-001
6.970879620566120e-004	-5.442379e-001
7.166192120566120e-004	-5.442222e-001
7.361504620566120e-004	-5.441914e-001
7.459160870566120e-004	-5.441587e-001
7.556817120566120e-004	-5.440942e-001
7.654473370566121e-004	-5.439453e-001
7.752129620566121e-004	-5.435880e-001
7.819474408631575e-004	-5.429766e-001
7.899613562652261e-004	-5.416196e-001
7.974706432497587e-004	-5.398126e-001
8.040747679928612e-004	-5.379423e-001
8.072105352893590e-004	-5.370983e-001
8.096345525574856e-004	-5.365973e-001
8.120394204648905e-004	-5.362322e-001
8.135382750516305e-004	-5.360249e-001
8.146642886390665e-004	-5.358334e-001
8.158353310138548e-004	-5.355831e-001
8.168472976533742e-004	-5.353413e-001
8.178099569759906e-004	-5.350938e-001
8.186243045273687e-004	-5.348716e-001
8.193417075076575e-004	-5.346660e-001
8.200901464793340e-004	-5.344418e-001
8.211184467991237e-004	-5.341205e-001
8.223225988234072e-004	-5.337270e-001
8.235388665765673e-004	-5.333101e-001
8.250554517328611e-004	-5.327665e-001
8.263223614611178e-004	-5.322924e-001
8.302984126304596e-004	-5.306874e-001
8.346505350340434e-004	-5.287247e-001
8.433547798412110e-004	-5.243289e-001
8.531204048412110e-004	-5.186592e-001
8.628860298412110e-004	-5.119857e-001
8.726516548412110e-004	-5.039961e-001
8.824172798412110e-004	-4.942074e-001
8.921829048412110e-004	-4.817962e-001
9.019485298412110e-004	-4.652585e-001
9.117141548412110e-004	-4.414614e-001
9.214797798412110e-004	-4.045307e-001
9.312454048412110e-004	-3.468361e-001
9.410110298412111e-004	-2.637506e-001
9.507766548412111e-004	-1.572245e-001
9.605422798412111e-004	-3.292609e-002
9.703079048412111e-004	1.036650e-001
9.800735298412110e-004	2.443250e-001
9.898391548412110e-004	3.684088e-001
9.982870916897071e-004	4.404948e-001
1.005754437893775e-003	4.731949e-001
1.013658433873735e-003	4.902604e-001
1.023424058873735e-003	5.026560e-001
1.033189683873735e-003	5.111791e-001
1.042955308873735e-003	5.176784e-001
1.052720933873735e-003	5.229850e-001
1.062486558873735e-003	5.274559e-001
1.072252183873735e-003	5.312848e-001
1.082017808873735e-003	5.346178e-001
1.085733451696233e-003	5.356627e-001
1.087722117106163e-003	5.360541e-001
1.089671577821001e-003	5.363067e-001
1.091673793758804e-003	5.364951e-001
1.093620823147880e-003	5.366377e-001
1.095878448640997e-003	5.367758e-001
1.098105414547983e-003	5.368904e-001
1.100514363591402e-003	5.369962e-001
1.103198353746253e-003	5.370980e-001
1.108566334055955e-003	5.372693e-001
1.113698315575905e-003	5.374004e-001
1.121487596571113e-003	5.375537e-001
1.129060963135320e-003	5.376664e-001
1.138826588135320e-003	5.377719e-001
1.148592213135320e-003	5.378479e-001
1.158357838135320e-003	5.379007e-001
1.168123463135320e-003	5.379362e-001
