time	V(p001)
3.093788972683945e-004	2.534827e+000
3.191445222683945e-004	2.346814e+000
3.289101472683945e-004	2.146158e+000
3.386757722683945e-004	1.933748e+000
3.484413972683945e-004	1.710499e+000
3.582070222683945e-004	1.477353e+000
3.679726472683945e-004	1.235280e+000
3.777382722683945e-004	9.852654e-001
3.875038972683946e-004	7.283062e-001
3.972695222683946e-004	4.654281e-001
4.070351472683946e-004	1.977369e-001
4.168007722683946e-004	-7.357885e-002
4.265663972683946e-004	-3.473322e-001
4.363320222683946e-004	-6.223912e-001
4.460976472683946e-004	-8.976376e-001
4.558632722683946e-004	-1.171930e+000
4.641061161518860e-004	-1.401607e+000
4.726574255284670e-004	-1.637404e+000
4.798669036006259e-004	-1.833989e+000
4.877378928687326e-004	-2.045658e+000
4.975035178687327e-004	-2.303567e+000
5.072691428687327e-004	-2.555400e+000
5.170347678687327e-004	-2.799859e+000
5.268003928687327e-004	-3.035944e+000
5.365660178687327e-004	-3.262623e+000
5.380043630966554e-004	-3.295932e+000
5.394427083245781e-004	-3.328882e+000
5.408810535525009e-004	-3.361474e+000
5.423193987804235e-004	-3.393708e+000
5.437577440083462e-004	-3.425583e+000
5.451960892362689e-004	-3.457101e+000
5.466344344641917e-004	-3.488260e+000
5.469396102454417e-004	-3.494825e+000
5.475499618079417e-004	-3.507902e+000
5.487706649329417e-004	-3.533894e+000
5.502863493808304e-004	-3.565927e+000
5.518725864107041e-004	-3.599169e+000
5.527217455715653e-004	-3.616813e+000
5.533788772019481e-004	-3.630394e+000
5.540650034938470e-004	-3.644524e+000
5.549822840073401e-004	-3.662663e+000
5.556882987067767e-004	-3.674104e+000
5.566231305973057e-004	-3.685036e+000
5.574984454801855e-004	-3.693298e+000
5.584215879998020e-004	-3.701183e+000
5.602678730390349e-004	-3.716128e+000
5.633423616245628e-004	-3.742337e+000
5.666486134474926e-004	-3.776820e+000
5.704881141554526e-004	-3.827394e+000
5.761823274635244e-004	-3.913731e+000
5.820862945219061e-004	-4.007530e+000
5.900066014790934e-004	-4.127917e+000
5.941970081952315e-004	-4.176447e+000
5.984183217261242e-004	-4.203346e+000
6.024191835172640e-004	-4.214815e+000
6.066646169594058e-004	-4.220562e+000
6.110857328698576e-004	-4.223996e+000
6.189629620566119e-004	-4.227585e+000
6.287285870566119e-004	-4.229990e+000
6.384942120566119e-004	-4.231047e+000
6.482598370566120e-004	-4.231383e+000
6.580254620566120e-004	-4.231366e+000
6.775567120566120e-004	-4.230831e+000
6.970879620566120e-004	-4.229989e+000
7.166192120566120e-004	-4.228810e+000
7.361504620566120e-004	-4.226487e+000
7.459160870566120e-004	-4.224013e+000
7.556817120566120e-004	-4.219114e+000
7.654473370566121e-004	-4.207805e+000
7.752129620566121e-004	-4.180704e+000
7.819474408631575e-004	-4.134964e+000
7.899613562652261e-004	-4.035897e+000
7.974706432497587e-004	-3.908802e+000
8.040747679928612e-004	-3.782382e+000
8.072105352893590e-004	-3.727637e+000
8.096345525574856e-004	-3.696631e+000
8.120394204648905e-004	-3.674974e+000
8.135382750516305e-004	-3.662706e+000
8.146642886390665e-004	-3.650985e+000
8.158353310138548e-004	-3.635385e+000
8.168472976533742e-004	-3.620290e+000
8.178099569759906e-004	-3.604863e+000
8.186243045273687e-004	-3.591044e+000
8.193417075076575e-004	-3.578304e+000
8.200901464793340e-004	-3.564478e+000
8.211184467991237e-004	-3.544770e+000
8.223225988234072e-004	-3.520808e+000
8.235388665765673e-004	-3.495650e+000
8.250554517328611e-004	-3.463180e+000
8.263223614611178e-004	-3.435203e+000
8.302984126304596e-004	-3.343073e+000
8.346505350340434e-004	-3.236277e+000
8.433547798412110e-004	-3.012944e+000
8.531204048412110e-004	-2.751722e+000
8.628860298412110e-004	-2.480840e+000
8.726516548412110e-004	-2.201982e+000
8.824172798412110e-004	-1.916495e+000
8.921829048412110e-004	-1.625534e+000
9.019485298412110e-004	-1.330165e+000
9.117141548412110e-004	-1.031423e+000
9.214797798412110e-004	-7.303243e-001
9.312454048412110e-004	-4.279093e-001
