Freq.	V(outder)/V(VIN)
5.88843655355586e+002	(-1.04666016435914e+001dB,-9.00026794281478e+001°)
6.02559586074355e+002	(-1.02665959881832e+001dB,-9.00027418400833e+001°)
6.16595001861479e+002	(-1.00665900662399e+001dB,-9.00028057057821e+001°)
6.30957344480190e+002	(-9.86658386519972e+000dB,-9.00028710591069e+001°)
6.45654229034652e+002	(-9.66657737190875e+000dB,-9.00029379347091e+001°)
6.60693448007592e+002	(-9.46657057259320e+000dB,-9.00030063680474e+001°)
6.76082975391978e+002	(-9.26656345283008e+000dB,-9.00030763954064e+001°)
6.91830970918933e+002	(-9.06655599751659e+000dB,-9.00031480539158e+001°)
7.07945784384134e+002	(-8.86654819083816e+000dB,-9.00032213815702e+001°)
7.24435960074986e+002	(-8.66654001623478e+000dB,-9.00032964172493e+001°)
7.41310241300914e+002	(-8.46653145636596e+000dB,-9.00033732007384e+001°)
7.58577575029180e+002	(-8.26652249307391e+000dB,-9.00034517727496e+001°)
7.76247116628688e+002	(-8.06651310734502e+000dB,-9.00035321749432e+001°)
7.94328234724277e+002	(-7.86650327926946e+000dB,-9.00036144499500e+001°)
8.12830516164095e+002	(-7.66649298799907e+000dB,-9.00036986413938e+001°)
8.31763771102666e+002	(-7.46648221170297e+000dB,-9.00037847939147e+001°)
8.51138038202372e+002	(-7.26647092752134e+000dB,-9.00038729531924e+001°)
8.70963589956076e+002	(-7.06645911151690e+000dB,-9.00039631659708e+001°)
8.91250938133741e+002	(-6.86644673862411e+000dB,-9.00040554800826e+001°)
9.12010839355905e+002	(-6.66643378259594e+000dB,-9.00041499444747e+001°)
9.33254300796986e+002	(-6.46642021594826e+000dB,-9.00042466092341e+001°)
9.54992586021431e+002	(-6.26640600990146e+000dB,-9.00043455256147e+001°)
9.77237220955805e+002	(-6.06639113431940e+000dB,-9.00044467460641e+001°)
9.99999999999994e+002	(-5.86637555764544e+000dB,-9.00045503242517e+001°)
1.02329299228075e+003	(-5.66635924683551e+000dB,-9.00046563150971e+001°)
1.04712854805089e+003	(-5.46634216728797e+000dB,-9.00047647747992e+001°)
1.07151930523760e+003	(-5.26632428277013e+000dB,-9.00048757608659e+001°)
1.09647819614318e+003	(-5.06630555534146e+000dB,-9.00049893321447e+001°)
1.12201845430196e+003	(-4.86628594527300e+000dB,-9.00051055488542e+001°)
1.14815362149688e+003	(-4.66626541096301e+000dB,-9.00052244726153e+001°)
1.17489755493952e+003	(-4.46624390884878e+000dB,-9.00053461664846e+001°)
1.20226443461741e+003	(-4.26622139331406e+000dB,-9.00054706949875e+001°)
1.23026877081237e+003	(-4.06619781659231e+000dB,-9.00055981241525e+001°)
1.25892541179416e+003	(-3.86617312866530e+000dB,-9.00057285215461e+001°)
1.28824955169313e+003	(-3.66614727715692e+000dB,-9.00058619563089e+001°)
1.31825673855640e+003	(-3.46612020722200e+000dB,-9.00059984991919e+001°)
1.34896288259165e+003	(-3.26609186142991e+000dB,-9.00061382225945e+001°)
1.38038426460288e+003	(-3.06606217964264e+000dB,-9.00062812006023e+001°)
1.41253754462275e+003	(-2.86603109888710e+000dB,-9.00064275090270e+001°)
1.44543977074592e+003	(-2.66599855322146e+000dB,-9.00065772254461e+001°)
1.47910838816820e+003	(-2.46596447359512e+000dB,-9.00067304292444e+001°)
1.51356124843620e+003	(-2.26592878770215e+000dB,-9.00068872016560e+001°)
1.54881661891247e+003	(-2.06589141982769e+000dB,-9.00070476258073e+001°)
1.58489319246110e+003	(-1.86585229068723e+000dB,-9.00072117867613e+001°)
1.62181009735892e+003	(-1.66581131725823e+000dB,-9.00073797715623e+001°)
1.65958690743755e+003	(-1.46576841260381e+000dB,-9.00075516692826e+001°)
1.69824365246173e+003	(-1.26572348568815e+000dB,-9.00077275710694e+001°)
1.73780082874936e+003	(-1.06567644118309e+000dB,-9.00079075701933e+001°)
1.77827941003891e+003	(-8.65627179265661e-001dB,-9.00080917620976e+001°)
1.81970085860997e+003	(-6.65575595406095e-001dB,-9.00082802444494e+001°)
1.86208713666286e+003	(-4.65521580145727e-001dB,-9.00084731171905e+001°)
1.90546071796323e+003	(-2.65465018864488e-001dB,-9.00086704825916e+001°)
1.94984459975803e+003	(-6.54057915373562e-002dB,-9.00088724453055e+001°)
1.99526231496887e+003	(1.34656227520632e-001dB,-9.00090791124234e+001°)
2.04173794466952e+003	(3.34721169921480e-001dB,-9.00092905935311e+001°)
2.08929613085403e+003	(5.34789173483889e-001dB,-9.00095070007676e+001°)
2.13796208950222e+003	(7.34860382526195e-001dB,-9.00097284488845e+001°)
2.18776162394954e+003	(9.34934948173075e-001dB,-9.00099550553066e+001°)
2.23872113856832e+003	(1.13501302867683e+000dB,-9.00101869401946e+001°)
2.29086765276776e+003	(1.33509478975377e+000dB,-9.00104242265088e+001°)
2.34422881531991e+003	(1.53518040493657e+000dB,-9.00106670400739e+001°)
2.39883291901947e+003	(1.73527005594325e+000dB,-9.00109155096464e+001°)
2.45470891568501e+003	(1.93536393306365e+000dB,-9.00111697669827e+001°)
2.51188643150956e+003	(2.13546223556407e+000dB,-9.00114299469087e+001°)
2.57039578276885e+003	(2.33556517211123e+000dB,-9.00116961873919e+001°)
2.63026799189536e+003	(2.53567296121612e+000dB,-9.00119686296142e+001°)
2.69153480392690e+003	(2.73578583169892e+000dB,-9.00122474180471e+001°)
2.75422870333815e+003	(2.93590402317598e+000dB,-9.00125327005284e+001°)
2.81838293126443e+003	(3.13602778656977e+000dB,-9.00128246283404e+001°)
2.88403150312659e+003	(3.33615738464304e+000dB,-9.00131233562904e+001°)
2.95120922666636e+003	(3.53629309255820e+000dB,-9.00134290427932e+001°)
3.01995172040199e+003	(3.73643519846327e+000dB,-9.00137418499546e+001°)
3.09029543251357e+003	(3.93658400410561e+000dB,-9.00140619436579e+001°)
3.16227766016836e+003	(4.13673982547464e+000dB,-9.00143894936518e+001°)
3.23593656929626e+003	(4.33690299347515e+000dB,-9.00147246736408e+001°)
3.31131121482589e+003	(4.53707385463245e+000dB,-9.00150676613772e+001°)
3.38844156139200e+003	(4.73725277183099e+000dB,-9.00154186387556e+001°)
3.46736850452529e+003	(4.93744012508807e+000dB,-9.00157777919095e+001°)
3.54813389233573e+003	(5.13763631236423e+000dB,-9.00161453113104e+001°)
3.63078054770099e+003	(5.33784175041214e+000dB,-9.00165213918686e+001°)
3.71535229097170e+003	(5.53805687566577e+000dB,-9.00169062330370e+001°)
3.80189396320558e+003	(5.73828214517189e+000dB,-9.00173000389173e+001°)
3.89045144994278e+003	(5.93851803756577e+000dB,-9.00177030183680e+001°)
3.98107170553494e+003	(6.13876505409329e+000dB,-9.00181153851159e+001°)
4.07380277804110e+003	(6.33902371968173e+000dB,-9.00185373578692e+001°)
4.16869383470332e+003	(6.53929458406145e+000dB,-9.00189691604343e+001°)
4.26579518801589e+003	(6.73957822294102e+000dB,-9.00194110218346e+001°)
4.36515832240162e+003	(6.93987523923832e+000dB,-9.00198631764320e+001°)
4.46683592150960e+003	(7.14018626437032e+000dB,-9.00203258640521e+001°)
4.57088189614871e+003	(7.34051195960435e+000dB,-9.00207993301114e+001°)
4.67735141287194e+003	(7.54085301747387e+000dB,-9.00212838257479e+001°)
4.78630092322634e+003	(7.74121016326182e+000dB,-9.00217796079548e+001°)
4.89778819368442e+003	(7.94158415655478e+000dB,-9.00222869397175e+001°)
5.01187233627268e+003	(8.14197579287151e+000dB,-9.00228060901531e+001°)
5.12861383991361e+003	(8.34238590536931e+000dB,-9.00233373346540e+001°)
5.24807460249768e+003	(8.54281536663205e+000dB,-9.00238809550348e+001°)
5.37031796370248e+003	(8.74326509054393e+000dB,-9.00244372396818e+001°)
5.49540873857620e+003	(8.94373603425294e+000dB,-9.00250064837070e+001°)
5.62341325190344e+003	(9.14422920022858e+000dB,-9.00255889891054e+001°)
5.75439937337152e+003	(9.34474563841835e+000dB,-9.00261850649158e+001°)
5.88843655355584e+003	(9.54528644850790e+000dB,-9.00267950273856e+001°)
6.02559586074353e+003	(9.74585278228981e+000dB,-9.00274192001397e+001°)
6.16595001861477e+003	(9.94644584614650e+000dB,-9.00280579143525e+001°)
6.30957344480188e+003	(1.01470669036527e+001dB,-9.00287115089254e+001°)
6.45654229034650e+003	(1.03477172783034e+001dB,-9.00293803306670e+001°)
6.60693448007590e+003	(1.05483983563740e+001dB,-9.00300647344787e+001°)
6.76082975391976e+003	(1.07491115899178e+001dB,-9.00307650835440e+001°)
6.91830970918931e+003	(1.09498584999095e+001dB,-9.00314817495228e+001°)
7.07945784384132e+003	(1.11506406795406e+001dB,-9.00322151127496e+001°)
7.24435960074984e+003	(1.13514597976747e+001dB,-9.00329655624373e+001°)
7.41310241300911e+003	(1.15523176024708e+001dB,-9.00337334968852e+001°)
7.58577575029177e+003	(1.17532159251827e+001dB,-9.00345193236920e+001°)
7.76247116628685e+003	(1.19541566841440e+001dB,-9.00353234599743e+001°)
7.94328234724275e+003	(1.21551418889466e+001dB,-9.00361463325898e+001°)
8.12830516164092e+003	(1.23561736448249e+001dB,-9.00369883783659e+001°)
8.31763771102664e+003	(1.25572541572530e+001dB,-9.00378500443344e+001°)
8.51138038202369e+003	(1.27583857367690e+001dB,-9.00387317879706e+001°)
8.70963589956073e+003	(1.29595708040347e+001dB,-9.00396340774394e+001°)
8.91250938133738e+003	(1.31608118951459e+001dB,-9.00405573918466e+001°)
9.12010839355902e+003	(1.33621116672036e+001dB,-9.00415022214960e+001°)
9.33254300796983e+003	(1.35634729041608e+001dB,-9.00424690681537e+001°)
9.54992586021428e+003	(1.37648985229593e+001dB,-9.00434584453174e+001°)
9.77237220955802e+003	(1.39663915799708e+001dB,-9.00444708784934e+001°)
9.99999999999991e+003	(1.41679552777583e+001dB,-9.00455069054795e+001°)
1.02329299228075e+004	(1.43695929721753e+001dB,-9.00465670766554e+001°)
1.04712854805089e+004	(1.45713081798200e+001dB,-9.00476519552793e+001°)
1.07151930523760e+004	(1.47731045858624e+001dB,-9.00487621177925e+001°)
1.09647819614318e+004	(1.49749860522662e+001dB,-9.00498981541311e+001°)
1.12201845430195e+004	(1.51769566264246e+001dB,-9.00510606680452e+001°)
1.14815362149687e+004	(1.53790205502328e+001dB,-9.00522502774261e+001°)
1.17489755493952e+004	(1.55811822696212e+001dB,-9.00534676146415e+001°)
1.20226443461740e+004	(1.57834464445737e+001dB,-9.00547133268787e+001°)
1.23026877081237e+004	(1.59858179596576e+001dB,-9.00559880764966e+001°)
1.25892541179416e+004	(1.61883019350932e+001dB,-9.00572925413862e+001°)
1.28824955169312e+004	(1.63909037383933e+001dB,-9.00586274153402e+001°)
1.31825673855640e+004	(1.65936289966032e+001dB,-9.00599934084315e+001°)
1.34896288259164e+004	(1.67964836091760e+001dB,-9.00613912474015e+001°)
1.38038426460287e+004	(1.69994737615173e+001dB,-9.00628216760578e+001°)
1.41253754462274e+004	(1.72026059392392e+001dB,-9.00642854556821e+001°)
1.44543977074591e+004	(1.74058869431624e+001dB,-9.00657833654487e+001°)
1.47910838816819e+004	(1.76093239051098e+001dB,-9.00673162028527e+001°)
1.51356124843619e+004	(1.78129243045379e+001dB,-9.00688847841499e+001°)
1.54881661891247e+004	(1.80166959860542e+001dB,-9.00704899448081e+001°)
1.58489319246110e+004	(1.82206471778733e+001dB,-9.00721325399689e+001°)
1.62181009735891e+004	(1.84247865112666e+001dB,-9.00738134449228e+001°)
1.65958690743755e+004	(1.86291230410657e+001dB,-9.00755335555956e+001°)
1.69824365246173e+004	(1.88336662672827e+001dB,-9.00772937890480e+001°)
1.73780082874936e+004	(1.90384261579153e+001dB,-9.00790950839883e+001°)
1.77827941003891e+004	(1.92434131730098e+001dB,-9.00809384012984e+001°)
1.81970085860997e+004	(1.94486382900594e+001dB,-9.00828247245743e+001°)
1.86208713666285e+004	(1.96541130308222e+001dB,-9.00847550606805e+001°)
1.90546071796323e+004	(1.98598494896476e+001dB,-9.00867304403199e+001°)
1.94984459975803e+004	(2.00658603634088e+001dB,-9.00887519186186e+001°)
1.99526231496886e+004	(2.02721589831436e+001dB,-9.00908205757277e+001°)
2.04173794466951e+004	(2.04787593475157e+001dB,-9.00929375174409e+001°)
2.08929613085402e+004	(2.06856761582170e+001dB,-9.00951038758297e+001°)
2.13796208950221e+004	(2.08929248574392e+001dB,-9.00973208098968e+001°)
2.18776162394953e+004	(2.11005216675549e+001dB,-9.00995895062475e+001°)
2.23872113856832e+004	(2.13084836331596e+001dB,-9.01019111797812e+001°)
2.29086765276775e+004	(2.15168286656359e+001dB,-9.01042870744029e+001°)
2.34422881531990e+004	(2.17255755904178e+001dB,-9.01067184637551e+001°)
2.39883291901947e+004	(2.19347441971454e+001dB,-9.01092066519725e+001°)
2.45470891568501e+004	(2.21443552929176e+001dB,-9.01117529744594e+001°)
2.51188643150956e+004	(2.23544307588660e+001dB,-9.01143587986906e+001°)
2.57039578276884e+004	(2.25649936102971e+001dB,-9.01170255250375e+001°)
2.63026799189536e+004	(2.27760680606655e+001dB,-9.01197545876212e+001°)
2.69153480392689e+004	(2.29876795896694e+001dB,-9.01225474551921e+001°)
2.75422870333814e+004	(2.31998550157838e+001dB,-9.01254056320390e+001°)
2.81838293126443e+004	(2.34126225735741e+001dB,-9.01283306589287e+001°)
2.88403150312658e+004	(2.36260119961691e+001dB,-9.01313241140780e+001°)
2.95120922666636e+004	(2.38400546033037e+001dB,-9.01343876141588e+001°)
3.01995172040199e+004	(2.40547833953823e+001dB,-9.01375228153398e+001°)
3.09029543251356e+004	(2.42702331540598e+001dB,-9.01407314143662e+001°)
3.16227766016835e+004	(2.44864405498830e+001dB,-9.01440151496796e+001°)
3.23593656929625e+004	(2.47034442575907e+001dB,-9.01473758025809e+001°)
