Freq.	V(outder)
4.16869383470331e+004	(3.51657024018713e+001dB,4.53319759336607e+001°)
4.26579518801588e+004	(3.53197559287574e+001dB,4.43118648204115e+001°)
4.36515832240161e+004	(3.54714514689868e+001dB,4.32707133556211e+001°)
4.46683592150958e+004	(3.56206725484656e+001dB,4.22083419421743e+001°)
4.57088189614870e+004	(3.57672982516998e+001dB,4.11245970542875e+001°)
4.67735141287193e+004	(3.59112032681755e+001dB,4.00193541010323e+001°)
4.78630092322633e+004	(3.60522579746043e+001dB,3.88925204169417e+001°)
4.89778819368441e+004	(3.61903285571033e+001dB,3.77440383647634e+001°)
5.01187233627267e+004	(3.63252771774040e+001dB,3.65738885312733e+001°)
5.12861383991359e+004	(3.64569621871279e+001dB,3.53820929925577e+001°)
5.24807460249767e+004	(3.65852383940104e+001dB,3.41687186203809e+001°)
5.37031796370247e+004	(3.67099573836841e+001dB,3.29338803962399e+001°)
5.49540873857619e+004	(3.68309679002373e+001dB,3.16777446945810e+001°)
5.62341325190343e+004	(3.69481162882196e+001dB,3.04005324915453e+001°)
5.75439937337151e+004	(3.70612469980813e+001dB,2.91025224506697e+001°)
5.88843655355583e+004	(3.71702031561777e+001dB,2.77840538323877e+001°)
6.02559586074351e+004	(3.72748271994596e+001dB,2.64455291701544e+001°)
6.16595001861475e+004	(3.73749615738035e+001dB,2.50874166527856e+001°)
6.30957344480186e+004	(3.74704494936175e+001dB,2.37102521503912e+001°)
6.45654229034648e+004	(3.75611357589136e+001dB,2.23146408203397e+001°)
6.60693448007589e+004	(3.76468676244937e+001dB,2.09012582302373e+001°)
6.76082975391974e+004	(3.77274957142860e+001dB,1.94708509371630e+001°)
6.91830970918929e+004	(3.78028749722363e+001dB,1.80242364665252e+001°)
7.07945784384130e+004	(3.78728656395648e+001dB,1.65623026400297e+001°)
7.24435960074982e+004	(3.79373342466908e+001dB,1.50860062104123e+001°)
7.41310241300909e+004	(3.79961546067820e+001dB,1.35963707707643e+001°)
7.58577575029175e+004	(3.80492087967556e+001dB,1.20944839183435e+001°)
7.76247116628683e+004	(3.80963881107182e+001dB,1.05814936664880e+001°)
7.94328234724272e+004	(3.81375939703309e+001dB,9.05860411331713e+000°)
8.12830516164090e+004	(3.81727387764841e+001dB,7.52707039189312e+000°)
8.31763771102661e+004	(3.82017466869864e+001dB,5.98819294292953e+000°)
8.51138038202367e+004	(3.82245543057483e+001dB,4.44331116740572e+000°)
8.70963589956071e+004	(3.82411112701616e+001dB,2.89379653198156e+000°)
8.91250938133735e+004	(3.82513807250322e+001dB,1.34104521429837e+000°)
9.12010839355899e+004	(3.82553396734667e+001dB,-2.13529612480187e-001°)
9.33254300796980e+004	(3.82529791974923e+001dB,-1.76850574670863e+000°)
9.54992586021425e+004	(3.82443045438177e+001dB,-3.32246006074423e+000°)
9.77237220955799e+004	(3.82293350729424e+001dB,-4.87397661896069e+000°)
1.00000000000000e+005	(3.82081040726754e+001dB,-6.42165469094220e+000°)
