Freq.	V(outder)
3.54813389233575e+001	(-2.53242971456159e+001dB,8.99618972821426e+001°)
3.63078054770101e+001	(-2.51242971737827e+001dB,8.99610097558218e+001°)
3.71535229097172e+001	(-2.49242972032770e+001dB,8.99601015563568e+001°)
3.80189396320561e+001	(-2.47242972341613e+001dB,8.99591722022080e+001°)
3.89045144994280e+001	(-2.45242972665012e+001dB,8.99582212006195e+001°)
3.98107170553497e+001	(-2.43242973003652e+001dB,8.99572480473577e+001°)
4.07380277804112e+001	(-2.41242973358251e+001dB,8.99562522264437e+001°)
4.16869383470335e+001	(-2.39242973729562e+001dB,8.99552332098801e+001°)
4.26579518801592e+001	(-2.37242974118372e+001dB,8.99541904573707e+001°)
4.36515832240165e+001	(-2.35242974525507e+001dB,8.99531234160342e+001°)
4.46683592150962e+001	(-2.33242974951829e+001dB,8.99520315201112e+001°)
4.57088189614874e+001	(-2.31242975398243e+001dB,8.99509141906638e+001°)
4.67735141287197e+001	(-2.29242975865696e+001dB,8.99497708352690e+001°)
4.78630092322638e+001	(-2.27242976355180e+001dB,8.99486008477047e+001°)
4.89778819368445e+001	(-2.25242976867732e+001dB,8.99474036076278e+001°)
5.01187233627271e+001	(-2.23242977404439e+001dB,8.99461784802457e+001°)
5.12861383991364e+001	(-2.21242977966442e+001dB,8.99449248159794e+001°)
5.24807460249772e+001	(-2.19242978554930e+001dB,8.99436419501194e+001°)
5.37031796370252e+001	(-2.17242979171153e+001dB,8.99423292024732e+001°)
5.49540873857624e+001	(-2.15242979816418e+001dB,8.99409858770044e+001°)
5.62341325190348e+001	(-2.13242980492093e+001dB,8.99396112614639e+001°)
5.75439937337156e+001	(-2.11242981199612e+001dB,8.99382046270121e+001°)
5.88843655355588e+001	(-2.09242981940475e+001dB,8.99367652278327e+001°)
6.02559586074357e+001	(-2.07242982716254e+001dB,8.99352923007368e+001°)
6.16595001861481e+001	(-2.05242983528595e+001dB,8.99337850647590e+001°)
6.30957344480192e+001	(-2.03242984379220e+001dB,8.99322427207424e+001°)
6.45654229034654e+001	(-2.01242985269933e+001dB,8.99306644509156e+001°)
6.60693448007595e+001	(-1.99242986202625e+001dB,8.99290494184587e+001°)
6.76082975391980e+001	(-1.97242987179273e+001dB,8.99273967670599e+001°)
6.91830970918935e+001	(-1.95242988201949e+001dB,8.99257056204613e+001°)
7.07945784384136e+001	(-1.93242989272822e+001dB,8.99239750819940e+001°)
7.24435960074988e+001	(-1.91242990394164e+001dB,8.99222042341035e+001°)
7.41310241300916e+001	(-1.89242991568354e+001dB,8.99203921378622e+001°)
7.58577575029182e+001	(-1.87242992797881e+001dB,8.99185378324725e+001°)
7.76247116628690e+001	(-1.85242994085354e+001dB,8.99166403347564e+001°)
7.94328234724279e+001	(-1.83242995433504e+001dB,8.99146986386353e+001°)
8.12830516164097e+001	(-1.81242996845191e+001dB,8.99127117145955e+001°)
8.31763771102669e+001	(-1.79242998323408e+001dB,8.99106785091430e+001°)
8.51138038202374e+001	(-1.77242999871291e+001dB,8.99085979442450e+001°)
8.70963589956078e+001	(-1.75243001492124e+001dB,8.99064689167576e+001°)
8.91250938133743e+001	(-1.73243003189345e+001dB,8.99042902978416e+001°)
9.12010839355907e+001	(-1.71243004966553e+001dB,8.99020609323638e+001°)
9.33254300796988e+001	(-1.69243006827519e+001dB,8.98997796382841e+001°)
9.54992586021433e+001	(-1.67243008776189e+001dB,8.98974452060296e+001°)
9.77237220955808e+001	(-1.65243010816698e+001dB,8.98950563978524e+001°)
9.99999999999997e+001	(-1.63243012953373e+001dB,8.98926119471738e+001°)
1.02329299228075e+002	(-1.61243015190746e+001dB,8.98901105579127e+001°)
1.04712854805090e+002	(-1.59243017533564e+001dB,8.98875509037984e+001°)
1.07151930523760e+002	(-1.57243019986795e+001dB,8.98849316276670e+001°)
1.09647819614318e+002	(-1.55243022555644e+001dB,8.98822513407425e+001°)
1.12201845430196e+002	(-1.53243025245560e+001dB,8.98795086218999e+001°)
1.14815362149688e+002	(-1.51243028062247e+001dB,8.98767020169119e+001°)
1.17489755493953e+002	(-1.49243031011681e+001dB,8.98738300376779e+001°)
1.20226443461741e+002	(-1.47243034100118e+001dB,8.98708911614347e+001°)
