Freq.	V(outder)/V(VIN)
2.88403150312660e+001	(-2.71242956844353e+001dB,-9.00001349868603e+001°)
2.95120922666638e+001	(-2.69242956437388e+001dB,-9.00001381311082e+001°)
3.01995172040201e+001	(-2.67242956011243e+001dB,-9.00001413485951e+001°)
3.09029543251359e+001	(-2.65242955565015e+001dB,-9.00001446410269e+001°)
3.16227766016838e+001	(-2.63242955097756e+001dB,-9.00001480101492e+001°)
3.23593656929628e+001	(-2.61242954608477e+001dB,-9.00001514577485e+001°)
3.31131121482591e+001	(-2.59242954096138e+001dB,-9.00001549856528e+001°)
3.38844156139202e+001	(-2.57242953559654e+001dB,-9.00001585957324e+001°)
3.46736850452531e+001	(-2.55242952997885e+001dB,-9.00001622899017e+001°)
3.54813389233575e+001	(-2.53242952409642e+001dB,-9.00001660701191e+001°)
3.63078054770101e+001	(-2.51242951793675e+001dB,-9.00001699383892e+001°)
3.71535229097172e+001	(-2.49242951148679e+001dB,-9.00001738967628e+001°)
3.80189396320561e+001	(-2.47242950473285e+001dB,-9.00001779473388e+001°)
3.89045144994280e+001	(-2.45242949766061e+001dB,-9.00001820922649e+001°)
3.98107170553497e+001	(-2.43242949025506e+001dB,-9.00001863337387e+001°)
4.07380277804112e+001	(-2.41242948250050e+001dB,-9.00001906740091e+001°)
4.16869383470335e+001	(-2.39242947438048e+001dB,-9.00001951153774e+001°)
4.26579518801592e+001	(-2.37242946587778e+001dB,-9.00001996601985e+001°)
4.36515832240165e+001	(-2.35242945697435e+001dB,-9.00002043108821e+001°)
4.46683592150962e+001	(-2.33242944765132e+001dB,-9.00002090698940e+001°)
4.57088189614874e+001	(-2.31242943788891e+001dB,-9.00002139397575e+001°)
4.67735141287197e+001	(-2.29242942766641e+001dB,-9.00002189230548e+001°)
4.78630092322638e+001	(-2.27242941696213e+001dB,-9.00002240224279e+001°)
4.89778819368445e+001	(-2.25242940575339e+001dB,-9.00002292405808e+001°)
5.01187233627271e+001	(-2.23242939401638e+001dB,-9.00002345802800e+001°)
5.12861383991364e+001	(-2.21242938172623e+001dB,-9.00002400443568e+001°)
5.24807460249772e+001	(-2.19242936885687e+001dB,-9.00002456357083e+001°)
5.37031796370252e+001	(-2.17242935538098e+001dB,-9.00002513572991e+001°)
5.49540873857624e+001	(-2.15242934127000e+001dB,-9.00002572121630e+001°)
5.62341325190348e+001	(-2.13242932649399e+001dB,-9.00002632034041e+001°)
5.75439937337156e+001	(-2.11242931102161e+001dB,-9.00002693341992e+001°)
5.88843655355588e+001	(-2.09242929482003e+001dB,-9.00002756077989e+001°)
6.02559586074357e+001	(-2.07242927785490e+001dB,-9.00002820275295e+001°)
6.16595001861481e+001	(-2.05242926009023e+001dB,-9.00002885967948e+001°)
6.30957344480192e+001	(-2.03242924148833e+001dB,-9.00002953190780e+001°)
6.45654229034654e+001	(-2.01242922200975e+001dB,-9.00003021979433e+001°)
6.60693448007595e+001	(-1.99242920161317e+001dB,-9.00003092370381e+001°)
6.76082975391980e+001	(-1.97242918025534e+001dB,-9.00003164400944e+001°)
6.91830970918935e+001	(-1.95242915789093e+001dB,-9.00003238109314e+001°)
7.07945784384136e+001	(-1.93242913447253e+001dB,-9.00003313534574e+001°)
7.24435960074988e+001	(-1.91242910995045e+001dB,-9.00003390716714e+001°)
7.41310241300916e+001	(-1.89242908427268e+001dB,-9.00003469696657e+001°)
7.58577575029182e+001	(-1.87242905738475e+001dB,-9.00003550516279e+001°)
7.76247116628690e+001	(-1.85242902922963e+001dB,-9.00003633218433e+001°)
7.94328234724279e+001	(-1.83242899974760e+001dB,-9.00003717846968e+001°)
8.12830516164097e+001	(-1.81242896887612e+001dB,-9.00003804446755e+001°)
