second,Volt
+52.00E-06,+2.20859385E+00
+53.00E-06,+2.24570322E+00
+54.00E-06,+2.28085947E+00
+55.00E-06,+2.31796885E+00
+56.00E-06,+2.35507822E+00
+57.00E-06,+2.39023447E+00
+58.00E-06,+2.42539072E+00
+59.00E-06,+2.46054697E+00
+60.00E-06,+2.49570322E+00
+61.00E-06,+2.53085947E+00
+62.00E-06,+2.56406260E+00
+63.00E-06,+2.59726572E+00
+64.00E-06,+2.63046885E+00
+65.00E-06,+2.66367197E+00
+66.00E-06,+2.69492197E+00
+67.00E-06,+2.72617197E+00
+68.00E-06,+2.75546885E+00
+69.00E-06,+2.78867197E+00
+70.00E-06,+2.80820322E+00
+71.00E-06,+2.84726572E+00
+72.00E-06,+2.86875010E+00
+73.00E-06,+2.90195322E+00
+74.00E-06,+2.92734385E+00
+75.00E-06,+2.95859385E+00
+76.00E-06,+2.97812510E+00
+77.00E-06,+3.01523447E+00
+78.00E-06,+3.04257822E+00
+79.00E-06,+3.06601572E+00
+80.00E-06,+3.09335947E+00
+81.00E-06,+3.11679697E+00
+82.00E-06,+3.14414072E+00
+83.00E-06,+3.16953135E+00
+84.00E-06,+3.19492197E+00
+85.00E-06,+3.22031260E+00
+86.00E-06,+3.24375010E+00
+87.00E-06,+3.27109385E+00
+88.00E-06,+3.29257822E+00
+89.00E-06,+3.31601572E+00
+90.00E-06,+3.33945322E+00
+91.00E-06,+3.35898447E+00
+92.00E-06,+3.37656260E+00
+93.00E-06,+3.41367197E+00
+94.00E-06,+3.42148447E+00
+95.00E-06,+3.44492197E+00
+96.00E-06,+3.46640635E+00
+97.00E-06,+3.48593760E+00
+98.00E-06,+3.50546885E+00
+99.00E-06,+3.52695322E+00
+100.00E-06,+3.54453135E+00
+101.00E-06,+3.56406260E+00
+102.00E-06,+3.58164072E+00
+103.00E-06,+3.60117197E+00
+104.00E-06,+3.62265635E+00
+105.00E-06,+3.63828135E+00
+106.00E-06,+3.65585947E+00
+107.00E-06,+3.67539072E+00
+108.00E-06,+3.69101572E+00
+109.00E-06,+3.70859385E+00
+110.00E-06,+3.72421885E+00
+111.00E-06,+3.74179697E+00
+112.00E-06,+3.75546885E+00
+113.00E-06,+3.77304697E+00
+114.00E-06,+3.78867197E+00
+115.00E-06,+3.80429697E+00
+116.00E-06,+3.81796885E+00
+117.00E-06,+3.83359385E+00
+118.00E-06,+3.84921885E+00
+119.00E-06,+3.86289072E+00
+120.00E-06,+3.87851572E+00
+121.00E-06,+3.89414072E+00
+122.00E-06,+3.90781260E+00
+123.00E-06,+3.92148447E+00
+124.00E-06,+3.93320322E+00
+125.00E-06,+3.94882822E+00
+126.00E-06,+3.96250010E+00
+127.00E-06,+3.97421885E+00
+128.00E-06,+3.98789072E+00
+129.00E-06,+3.99960947E+00
+130.00E-06,+4.01328135E+00
+131.00E-06,+4.02500010E+00
+132.00E-06,+4.03671885E+00
+133.00E-06,+4.05234385E+00
+134.00E-06,+4.06406260E+00
+135.00E-06,+4.07382822E+00
+136.00E-06,+4.08554697E+00
+137.00E-06,+4.09921885E+00
+138.00E-06,+4.10898447E+00
+139.00E-06,+4.12070322E+00
+140.00E-06,+4.13242197E+00
+141.00E-06,+4.14023447E+00
+142.00E-06,+4.07578135E+00
+143.00E-06,+4.03281260E+00
+144.00E-06,+4.05625010E+00
+145.00E-06,+4.04648447E+00
+146.00E-06,+4.09921885E+00
+147.00E-06,+4.09726572E+00
+148.00E-06,+4.11289072E+00
+149.00E-06,+4.12460947E+00
+150.00E-06,+4.14218760E+00
+151.00E-06,+4.15585947E+00
+152.00E-06,+4.16171885E+00
+153.00E-06,+4.17539072E+00
+154.00E-06,+4.18710947E+00
+155.00E-06,+4.19687510E+00
+156.00E-06,+4.21250010E+00
+157.00E-06,+4.21054697E+00
+158.00E-06,+4.23007822E+00
+159.00E-06,+4.23398447E+00
+160.00E-06,+4.24375010E+00
+161.00E-06,+4.24179697E+00
+162.00E-06,+4.25546885E+00
+163.00E-06,+4.26718760E+00
+164.00E-06,+4.27109385E+00
+165.00E-06,+4.27304697E+00
+166.00E-06,+4.28085947E+00
+167.00E-06,+4.28671885E+00
+168.00E-06,+4.29648447E+00
+169.00E-06,+4.29453135E+00
+170.00E-06,+4.30234385E+00
+171.00E-06,+4.30820322E+00
+172.00E-06,+4.31210947E+00
+173.00E-06,+4.31210947E+00
+174.00E-06,+4.31601572E+00
+175.00E-06,+4.32382822E+00
+176.00E-06,+4.32968760E+00
+177.00E-06,+4.32578135E+00
+178.00E-06,+4.33164072E+00
+179.00E-06,+4.33750010E+00
+180.00E-06,+4.33945322E+00
+181.00E-06,+4.34140635E+00
+182.00E-06,+4.34921885E+00
+183.00E-06,+4.34335947E+00
+184.00E-06,+4.34531260E+00
+185.00E-06,+4.35312510E+00
+186.00E-06,+4.35117197E+00
+187.00E-06,+4.35703135E+00
+188.00E-06,+4.36289072E+00
+189.00E-06,+4.35507822E+00
+190.00E-06,+4.36093760E+00
+191.00E-06,+4.36093760E+00
+192.00E-06,+4.36289072E+00
+193.00E-06,+4.36289072E+00
+194.00E-06,+4.36289072E+00
+195.00E-06,+4.36679697E+00
+196.00E-06,+4.37070322E+00
+197.00E-06,+4.37070322E+00
+198.00E-06,+4.36679697E+00
+199.00E-06,+4.37070322E+00
+200.00E-06,+4.37656260E+00
+201.00E-06,+4.37265635E+00
+202.00E-06,+4.37265635E+00
+203.00E-06,+4.37851572E+00
+204.00E-06,+4.37265635E+00
+205.00E-06,+4.37851572E+00
+206.00E-06,+4.38046885E+00
+207.00E-06,+4.36289072E+00
+208.00E-06,+4.38632822E+00
+209.00E-06,+4.38242197E+00
+210.00E-06,+4.37265635E+00
+211.00E-06,+4.38242197E+00
+212.00E-06,+4.38242197E+00
+213.00E-06,+4.37851572E+00
+214.00E-06,+4.37851572E+00
+215.00E-06,+4.37851572E+00
+216.00E-06,+4.38437510E+00
+217.00E-06,+4.38046885E+00
+218.00E-06,+4.37851572E+00
+219.00E-06,+4.38437510E+00
+220.00E-06,+4.38046885E+00
+221.00E-06,+4.38437510E+00
+222.00E-06,+4.38046885E+00
+223.00E-06,+4.38632822E+00
+224.00E-06,+4.38828135E+00
+225.00E-06,+4.38242197E+00
+226.00E-06,+4.38046885E+00
+227.00E-06,+4.38632822E+00
+228.00E-06,+4.38437510E+00
+229.00E-06,+4.38437510E+00
+230.00E-06,+4.38242197E+00
+231.00E-06,+4.38632822E+00
+232.00E-06,+4.38437510E+00
+233.00E-06,+4.38828135E+00
+234.00E-06,+4.38242197E+00
+235.00E-06,+4.38437510E+00
+236.00E-06,+4.38437510E+00
+237.00E-06,+4.38437510E+00
+238.00E-06,+4.38242197E+00
+239.00E-06,+4.37851572E+00
+240.00E-06,+4.38828135E+00
+241.00E-06,+4.38242197E+00
+242.00E-06,+4.38437510E+00
+243.00E-06,+4.38437510E+00
+244.00E-06,+4.38632822E+00
+245.00E-06,+4.38437510E+00
+246.00E-06,+4.38437510E+00
+247.00E-06,+4.38046885E+00
+248.00E-06,+4.38828135E+00
+249.00E-06,+4.38437510E+00
+250.00E-06,+4.38632822E+00
+251.00E-06,+4.38242197E+00
+252.00E-06,+4.38828135E+00
+253.00E-06,+4.38437510E+00
+254.00E-06,+4.38046885E+00
+255.00E-06,+4.38242197E+00
+256.00E-06,+4.38437510E+00
+257.00E-06,+4.38632822E+00
+258.00E-06,+4.38242197E+00
+259.00E-06,+4.38242197E+00
+260.00E-06,+4.38437510E+00
+261.00E-06,+4.38242197E+00
+262.00E-06,+4.38242197E+00
+263.00E-06,+4.38242197E+00
+264.00E-06,+4.37851572E+00
+265.00E-06,+4.39218760E+00
+266.00E-06,+4.37851572E+00
+267.00E-06,+4.38046885E+00
+268.00E-06,+4.38632822E+00
+269.00E-06,+4.38242197E+00
+270.00E-06,+4.38437510E+00
+271.00E-06,+4.38046885E+00
+272.00E-06,+4.38242197E+00
+273.00E-06,+4.38437510E+00
+274.00E-06,+4.38046885E+00
+275.00E-06,+4.38046885E+00
+276.00E-06,+4.38242197E+00
+277.00E-06,+4.38437510E+00
+278.00E-06,+4.38046885E+00
+279.00E-06,+4.37851572E+00
+280.00E-06,+4.38242197E+00
+281.00E-06,+4.38242197E+00
+282.00E-06,+4.37656260E+00
+283.00E-06,+4.37851572E+00
+284.00E-06,+4.38632822E+00
+285.00E-06,+4.38242197E+00
+286.00E-06,+4.38242197E+00
+287.00E-06,+4.38046885E+00
+288.00E-06,+4.38046885E+00
+289.00E-06,+4.38242197E+00
+290.00E-06,+4.38046885E+00
+291.00E-06,+4.37656260E+00
+292.00E-06,+4.38242197E+00
+293.00E-06,+4.38242197E+00
+294.00E-06,+4.38046885E+00
+295.00E-06,+4.37851572E+00
+296.00E-06,+4.37851572E+00
+297.00E-06,+4.38046885E+00
+298.00E-06,+4.38046885E+00
+299.00E-06,+4.37460947E+00
+300.00E-06,+4.38046885E+00
+301.00E-06,+4.37851572E+00
+302.00E-06,+4.37851572E+00
+303.00E-06,+4.37656260E+00
+304.00E-06,+4.37656260E+00
+305.00E-06,+4.38437510E+00
+306.00E-06,+4.37851572E+00
+307.00E-06,+4.37656260E+00
+308.00E-06,+4.37851572E+00
+309.00E-06,+4.37851572E+00
+310.00E-06,+4.37656260E+00
+311.00E-06,+4.37851572E+00
+312.00E-06,+4.37656260E+00
+313.00E-06,+4.37851572E+00
+314.00E-06,+4.37656260E+00
+315.00E-06,+4.37656260E+00
+316.00E-06,+4.37460947E+00
+317.00E-06,+4.38046885E+00
+318.00E-06,+4.37656260E+00
+319.00E-06,+4.37656260E+00
+320.00E-06,+4.37460947E+00
+321.00E-06,+4.37656260E+00
+322.00E-06,+4.38046885E+00
+323.00E-06,+4.37265635E+00
+324.00E-06,+4.37265635E+00
+325.00E-06,+4.37851572E+00
+326.00E-06,+4.37656260E+00
+327.00E-06,+4.37265635E+00
+328.00E-06,+4.37265635E+00
+329.00E-06,+4.37851572E+00
+330.00E-06,+4.37656260E+00
+331.00E-06,+4.37851572E+00
+332.00E-06,+4.37070322E+00
+333.00E-06,+4.37265635E+00
+334.00E-06,+4.38046885E+00
+335.00E-06,+4.37265635E+00
+336.00E-06,+4.37265635E+00
+337.00E-06,+4.37460947E+00
+338.00E-06,+4.37656260E+00
+339.00E-06,+4.37265635E+00
+340.00E-06,+4.37265635E+00
+341.00E-06,+4.37460947E+00
+342.00E-06,+4.37656260E+00
+343.00E-06,+4.37265635E+00
+344.00E-06,+4.37265635E+00
+345.00E-06,+4.37460947E+00
+346.00E-06,+4.37656260E+00
+347.00E-06,+4.37265635E+00
+348.00E-06,+4.37265635E+00
+349.00E-06,+4.37460947E+00
+350.00E-06,+4.37460947E+00
+351.00E-06,+4.38046885E+00
+352.00E-06,+4.36679697E+00
+353.00E-06,+4.37070322E+00
+354.00E-06,+4.37265635E+00
+355.00E-06,+4.37265635E+00
+356.00E-06,+4.36875010E+00
+357.00E-06,+4.37460947E+00
+358.00E-06,+4.37460947E+00
+359.00E-06,+4.37265635E+00
+360.00E-06,+4.37070322E+00
+361.00E-06,+4.37070322E+00
+362.00E-06,+4.37070322E+00
+363.00E-06,+4.37265635E+00
