Freq.	V(v01)
1.00000000000000e+003	(-1.67265428152043e+000dB,1.78871045791580e+002°)
1.00461579027840e+003	(-1.67273727809717e+000dB,1.78865794729677e+002°)
1.00925288607668e+003	(-1.67282105045673e+000dB,1.78860518869981e+002°)
1.01391138573668e+003	(-1.67290560592386e+000dB,1.78855218090172e+002°)
1.01859138805412e+003	(-1.67299095189389e+000dB,1.78849892267256e+002°)
1.02329299228075e+003	(-1.67307709583336e+000dB,1.78844541277557e+002°)
1.02801629812647e+003	(-1.67316404528075e+000dB,1.78839164996714e+002°)
1.03276140576140e+003	(-1.67325180784725e+000dB,1.78833763299680e+002°)
1.03752841581801e+003	(-1.67334039121740e+000dB,1.78828336060708e+002°)
1.04231742939330e+003	(-1.67342980314989e+000dB,1.78822883153354e+002°)
1.04712854805090e+003	(-1.67352005147829e+000dB,1.78817404450472e+002°)
1.05196187382322e+003	(-1.67361114411177e+000dB,1.78811899824203e+002°)
1.05681750921366e+003	(-1.67370308903591e+000dB,1.78806369145974e+002°)
1.06169555719873e+003	(-1.67379589431342e+000dB,1.78800812286495e+002°)
1.06659612123026e+003	(-1.67388956808494e+000dB,1.78795229115750e+002°)
1.07151930523761e+003	(-1.67398411856984e+000dB,1.78789619502993e+002°)
1.07646521362984e+003	(-1.67407955406696e+000dB,1.78783983316744e+002°)
1.08143395129794e+003	(-1.67417588295548e+000dB,1.78778320424780e+002°)
1.08642562361707e+003	(-1.67427311369564e+000dB,1.78772630694137e+002°)
1.09144033644876e+003	(-1.67437125482969e+000dB,1.78766913991096e+002°)
1.09647819614319e+003	(-1.67447031498256e+000dB,1.78761170181185e+002°)
1.10153930954142e+003	(-1.67457030286282e+000dB,1.78755399129167e+002°)
1.10662378397767e+003	(-1.67467122726349e+000dB,1.78749600699039e+002°)
1.11173172728159e+003	(-1.67477309706282e+000dB,1.78743774754027e+002°)
1.11686324778056e+003	(-1.67487592122531e+000dB,1.78737921156575e+002°)
1.12201845430197e+003	(-1.67497970880241e+000dB,1.78732039768344e+002°)
1.12719745617551e+003	(-1.67508446893354e+000dB,1.78726130450207e+002°)
1.13240036323556e+003	(-1.67519021084689e+000dB,1.78720193062238e+002°)
1.13762728582343e+003	(-1.67529694386039e+000dB,1.78714227463711e+002°)
1.14287833478977e+003	(-1.67540467738259e+000dB,1.78708233513091e+002°)
1.14815362149688e+003	(-1.67551342091355e+000dB,1.78702211068032e+002°)
1.15345325782109e+003	(-1.67562318404583e+000dB,1.78696159985366e+002°)
1.15877735615513e+003	(-1.67573397646542e+000dB,1.78690080121099e+002°)
1.16412602941049e+003	(-1.67584580795265e+000dB,1.78683971330406e+002°)
1.16949939101987e+003	(-1.67595868838321e+000dB,1.78677833467624e+002°)
1.17489755493953e+003	(-1.67607262772910e+000dB,1.78671666386243e+002°)
1.18032063565173e+003	(-1.67618763605958e+000dB,1.78665469938906e+002°)
1.18576874816716e+003	(-1.67630372354227e+000dB,1.78659243977395e+002°)
1.19124200802738e+003	(-1.67642090044398e+000dB,1.78652988352630e+002°)
1.19674053130725e+003	(-1.67653917713194e+000dB,1.78646702914660e+002°)
1.20226443461742e+003	(-1.67665856407464e+000dB,1.78640387512658e+002°)
