Freq.	V(fb4)/V(inm4)
1.00000000000000e+003	(-4.01272498517576e+001dB,-5.10197805110516e+001°)
1.00461579027840e+003	(-4.00714094019123e+001dB,-5.08903612969436e+001°)
1.00925288607668e+003	(-4.00154807477672e+001dB,-5.07608187347216e+001°)
1.01391138573668e+003	(-3.99594637237764e+001dB,-5.06311553285978e+001°)
1.01859138805412e+003	(-3.99033581676877e+001dB,-5.05013735948710e+001°)
1.02329299228075e+003	(-3.98471639205663e+001dB,-5.03714760616673e+001°)
1.02801629812647e+003	(-3.97908808268199e+001dB,-5.02414652687158e+001°)
1.03276140576140e+003	(-3.97345087342260e+001dB,-5.01113437671293e+001°)
1.03752841581801e+003	(-3.96780474939533e+001dB,-4.99811141191422e+001°)
1.04231742939330e+003	(-3.96214969605885e+001dB,-4.98507788978999e+001°)
1.04712854805090e+003	(-3.95648569921585e+001dB,-4.97203406871931e+001°)
1.05196187382322e+003	(-3.95081274501530e+001dB,-4.95898020812213e+001°)
1.05681750921366e+003	(-3.94513081995476e+001dB,-4.94591656843492e+001°)
1.06169555719873e+003	(-3.93943991088258e+001dB,-4.93284341108475e+001°)
1.06659612123026e+003	(-3.93374000500003e+001dB,-4.91976099846466e+001°)
1.07151930523761e+003	(-3.92803108986345e+001dB,-4.90666959390892e+001°)
1.07646521362984e+003	(-3.92231315338620e+001dB,-4.89356946166523e+001°)
1.08143395129794e+003	(-3.91658618384058e+001dB,-4.88046086687063e+001°)
1.08642562361707e+003	(-3.91085016986008e+001dB,-4.86734407552488e+001°)
1.09144033644876e+003	(-3.90510510044084e+001dB,-4.85421935446363e+001°)
1.09647819614319e+003	(-3.89935096494381e+001dB,-4.84108697133220e+001°)
1.10153930954142e+003	(-3.89358775309626e+001dB,-4.82794719455814e+001°)
1.10662378397767e+003	(-3.88781545499360e+001dB,-4.81480029332549e+001°)
1.11173172728159e+003	(-3.88203406110112e+001dB,-4.80164653754681e+001°)
1.11686324778056e+003	(-3.87624356225535e+001dB,-4.78848619783537e+001°)
1.12201845430197e+003	(-3.87044394966575e+001dB,-4.77531954547822e+001°)
1.12719745617551e+003	(-3.86463521491616e+001dB,-4.76214685240878e+001°)
1.13240036323556e+003	(-3.85881734996605e+001dB,-4.74896839117734e+001°)
1.13762728582343e+003	(-3.85299034715219e+001dB,-4.73578443492585e+001°)
1.14287833478977e+003	(-3.84715419918964e+001dB,-4.72259525735678e+001°)
1.14815362149688e+003	(-3.84130889917297e+001dB,-4.70940113270606e+001°)
