Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (*)
10217.20082714302,0.0003063148169364292,0.2838957126230642,-109.7966562169456
10224.28530609923,0.001331105244277827,0.2851074499847028,-110.0172064476074
10231.37469734432,0.0002856837221781348,0.2879114388366709,-110.2597014732393
10238.46900428442,-7.182368220255137e-05,0.2888664469473557,-110.498227936282
10245.56823032802,-8.489822512726175e-05,0.2897624412155877,-110.7252363916537
10252.67237888594,0.0006862982246148793,0.2901153466344581,-110.9787230396914
10259.78145337141,0.0008451306346912262,0.2911878552784991,-111.2060553872217
10266.89545719999,-0.0001355515350995698,0.2927044010912518,-111.4480073113421
10274.01439378964,0.001465602894299178,0.2937723745700493,-111.690333335528
10281.13826656067,0.0006685970612802574,0.2940987262082309,-111.9288011030507
10288.26707893576,0.0008644185026565871,0.2956648653980647,-112.1775720575183
10295.40083433997,0.0008261927854622712,0.2965946425074163,-112.4194059320349
10302.53953620075,0.001632813498557463,0.2968381454966453,-112.6560241060879
10309.68318794789,-0.0002791662484646512,0.2981177834879816,-112.909465173423
10316.83179301359,0.0009035915192591591,0.2988387454846967,-113.1505270265882
10323.98535483242,0.0006940887583052155,0.3019287634476219,-113.4091075341736
10331.14387684133,0.001064905570990471,0.3019808719777751,-113.6499576270686
10338.30736247965,0.000868912488943575,0.3039443213947118,-113.9083050456335
10345.47581518909,0.001159969800136701,0.3025040045368977,-114.1555026429893
10352.64923841378,0.002689986897891907,0.3049720755447462,-114.4069266016275
10359.82763560019,0.001875197492611568,0.3042353862987959,-114.675728673532
10367.01101019721,0.001481811125116695,0.3070853795324563,-114.9145470647741
10374.19936565612,0.001265435433535382,0.3087131447295823,-115.1839221651761
10381.39270543057,0.001013584691018904,0.3098240785779831,-115.4403764383137
10388.59103297665,0.0008815940982973345,0.3104663454962932,-115.6939151402649
10395.79435175279,0.0007811950713902174,0.3096357090123592,-115.9585448160969
10403.00266521986,0.001117044304879634,0.3132499636200985,-116.2217455175838
10410.21597684111,0.0009099948824772788,0.3138847657946521,-116.4888437579244
10417.43429008221,0.003103599956676553,0.3128465183006311,-116.7575546289773
10424.65760841122,0.001966010577047452,0.3148470658009234,-117.0164788450634
10431.88593529858,0.002006934455087797,0.3157669980588884,-117.2794963669322
10439.11927421719,0.001854820131756145,0.3173374547886169,-117.5468383763194
10446.35762864232,0.0003991342071430301,0.3182973789122934,-117.8265108326882
10453.60100205165,0.0003485770434825668,0.3198310729847162,-118.0926484145532
10460.84939792529,-1.961533812887874e-05,0.3204038939156916,-118.3727125479393
10468.10281974576,-0.0002747896969282848,0.3222375449127391,-118.635132018542
10475.36127099798,-9.692565667815934e-05,0.3231606038017236,-118.9062539258685
10482.62475516929,-0.0004265586154049856,0.3234090324951607,-119.1969433304305
10489.89327574946,-0.0005659375021791897,0.3242074354201444,-119.4617594522703
10497.16683623068,-0.001223036506598782,0.3264688043033838,-119.7641984169227
10504.44544010753,-0.001497949601919328,0.32661086608614,-120.0318068915802
10511.72909087707,-0.001577266165404659,0.3278669427493021,-120.3088650300108
10519.01779203873,-0.002093706911187448,0.3274158954372114,-120.6067357102351
10526.31154709439,-0.003372682389952589,0.3306894375930264,-120.8763491455778
10533.61035954836,-0.003505412808740928,0.3287153490134889,-121.1671754129366
10540.91423290738,-0.005613730255642799,0.3310369593473914,-121.4639734791249
10548.22317068061,-0.006755840802918646,0.3323500788007713,-121.7493063847578
10555.53717637967,-0.006640548575581483,0.3336395203805117,-122.0386871469512
10562.85625351857,-0.006735965284085856,0.332489208834435,-122.3388277000953
10570.1804056138,-0.009383907426308607,0.3358232547983447,-122.628305860044
10577.50963618427,-0.01044555943382527,0.3356380380269405,-122.9199284991209
10584.84394875133,-0.01242924613717259,0.336492730647789,-123.212929519698
10592.18334683877,-0.01495358057683415,0.3379728873329449,-123.5235497868306
10599.52783397282,-0.0160959953887608,0.3390002488441707,-123.8154963951288
10606.87741368217,-0.01490564121202246,0.3382159543799195,-124.1065290482057
10614.23208949795,-0.01249644250494493,0.3391081412080727,-124.4201317636003
10621.59186495373,-0.01160172859439556,0.3403153958194189,-124.7114911404389
10628.95674358553,-0.009743912046594371,0.3388869639335573,-125.0228639929135
10636.32672893185,-0.00767759755772768,0.3399991081995519,-125.327524868176
10643.7018245336,-0.00738626045618628,0.340336597674281,-125.6378028244548
10651.08203393418,-0.005245209120170001,0.342147451787379,-125.9448470768581
10658.46736067943,-0.004835668891006024,0.3430463081576889,-126.2712624718671
10665.85780831765,-0.004218920056597169,0.3446727936044777,-126.5759964207814
10673.2533803996,-0.004202782138694966,0.3452129365071648,-126.8942736561812
10680.65408047852,-0.003140109795744806,0.34283539675175,-127.213146936218
10688.05991211008,-0.003995022830554138,0.3460209792636427,-127.5243490160399
10695.47087885245,-0.0008315356839800415,0.3464644473508387,-127.8560331624188
10702.88698426624,-0.002380701817485559,0.3492532663566711,-128.1856810382637
10710.30823191455,-0.0001788715299875701,0.3478446321722011,-128.5012360057229
10717.73462536293,-0.0009460542406535081,0.3487931476262732,-128.8279444298026
10725.16616817942,-5.081036660333716e-05,0.349262281764591,-129.1558459334565
10732.60286393453,-0.0008265427777077721,0.3518062579035339,-129.4819901962201
10740.04471620124,0.0006750071225977636,0.3501131718195776,-129.825264494205
10747.49172855501,0.0002617153638299973,0.3501651682781492,-130.1506100674877
10754.94390457378,0.0007962102467074298,0.3503314360065125,-130.5017243331531
10762.40124783797,0.00204914642884742,0.3492521350704907,-130.8288555099461
10769.86376193048,0.0003604490404072991,0.3523718406142724,-131.1757503813348
10777.33145043671,0.002785582100833185,0.3518863721607656,-131.5082595277574
10784.80431694452,0.001209260242451432,0.3534203027594524,-131.850608330362
10792.28236504427,0.0001918553818706489,0.3557657489207676,-132.1965605061254
10799.76559832882,0.001093211157444001,0.3535948401499512,-132.5439947746692
10807.25402039352,-0.0001114649803646309,0.3542649767685501,-132.8848373760605
10814.74763483618,0.0008442871223595402,0.3537848569830898,-133.2459443121598
10822.24644525715,0.001134113478940532,0.354287209182091,-133.5964681539757
10829.75045525925,0.001165856666966557,0.3555362454609873,-133.9561008171941
10837.2596684478,0.001469731813041919,0.3551434553595246,-134.315171977738
10844.77408843063,7.690630330989104e-06,0.3562048132080738,-134.6650121673775
10852.29371881807,-0.0009246397179998377,0.3568133328728695,-135.0305740589102
10859.81856322294,0.0004099763971019315,0.3559020239810074,-135.3956928435703
10867.34862526058,0.0008668014874355362,0.3578601669438373,-135.8549842506079
10874.88390854883,-0.001075065058642713,0.3596291230411259,-136.2338807812926
10882.42441670804,0.001874646015341975,0.3575927049773755,-136.6084761603057
10889.97015336107,0.0007404017448650813,0.3601185193507717,-136.9751017964718
10897.52112213328,-0.0004531026081700871,0.3602670680119242,-137.3420519509578
10905.07732665258,0.001513141646613278,0.3583154320515533,-137.7219784719757
10912.63877054935,-0.0003751070657658583,0.3597999751005787,-138.100567993539
10920.20545745652,0.0001137783590837831,0.3597240830535001,-138.4841842513806
10927.77739100953,-7.370005606112347e-05,0.3588196329581483,-138.8757931678578
10935.35457484632,0.0002506191048387624,0.3601367139453884,-139.2586579052947
10942.9370126074,-0.00172727946208246,0.3606804379065135,-139.6552543880572
10950.52470793575,0.001286448348900899,0.3584889606754148,-140.0437325989969
10958.11766447691,-0.001022367439828858,0.3589150477990175,-140.4419228094744
10965.71588587894,0.0003565276434961358,0.3601914909765524,-140.8162009006037
10973.31937579243,0.0003825532779678116,0.3579835531643915,-141.2239156365487
10980.9281378705,0.0004001200880495963,0.3572759201844339,-141.6289673298687
10988.5421757688,0.0009785896978376366,0.3585270847277173,-142.0314502303661
10996.16149314551,0.001011076943151556,0.3567796188078353,-142.4285891568832
11003.78609366137,0.00154661280587661,0.35624431596241,-142.8495325438932
11011.41598097964,0.0006511092831796444,0.3572030366428048,-143.2589068993404
11019.05115876611,0.0006220864710925239,0.3550363457937822,-143.6692347154298
11026.69163068913,-0.0005115171366921586,0.3552416800025365,-144.1011633439226
11034.33740041959,0.0002240583728642929,0.3539612117479998,-144.5115870135409
11041.98847163093,0.0002840630221662138,0.3538009693360586,-144.9213893333078
11049.64484799912,-0.0001216378088676922,0.3509476379021554,-145.3509333072368
11057.30653320269,-0.0006976537517666423,0.3524523544016019,-145.7740971305152
11064.97353092272,-0.0003708916121721055,0.3499725474773125,-146.2186825396418
11072.64584484285,-0.0008817827038989527,0.3491685307816075,-146.64897018796
11080.32347864926,-0.002079139567646181,0.3486634927477505,-147.0834153428337
11088.0064360307,-0.00339231215371238,0.3500515218252626,-147.5188374733293
11095.69472067845,-0.0005872752230686304,0.3458424446819188,-147.9691627280673
11103.38833628639,-0.002602398238913766,0.3450065705848444,-148.3982222320782
11111.08728655094,-0.003349032663212144,0.3424718474461479,-148.850977042266
11118.79157517107,-0.004605826940633435,0.3417174313347496,-149.2902742369838
11126.50120584834,-0.004376601630728809,0.3403449583652489,-149.7534717890118
11134.21618228686,-0.005534833820263915,0.3397835605617214,-150.2128994115447
11141.93650819332,-0.006213308947965976,0.3370388113076778,-150.6635759346288
11149.66218727698,-0.008941600833308297,0.3366029026025109,-151.1279896160627
11157.39322324964,-0.009186443864082438,0.3355964016932473,-151.6003051638382
11165.12961982573,-0.01006029132604171,0.3350744965210495,-152.0673559657638
11172.8713807222,-0.01147802254259888,0.3300951833478608,-152.5336802712253
11180.61850965862,-0.01322869397777634,0.3288640495858854,-153.0248383586959
11188.37101035711,-0.01504822145771707,0.3264261718710911,-153.5068680357302
11196.1288865424,-0.01394185306185796,0.3241970865312233,-153.9921447370031
11203.89214194176,-0.0128590712100518,0.3233770059117871,-154.4612172479665
11211.66078028509,-0.01074882206850782,0.3211971704345754,-154.9715934610425
11219.43480530485,-0.0102986110552429,0.3193683470348707,-155.4488966951538
11227.21422073609,-0.008597386348235293,0.3165790267260573,-155.9510870274662
