Freq.	V(fb2)/V(inm2)
1.00000000000000e+003	(-3.54692590565050e+001dB,-7.64641091844966e+001°)
1.00461579027840e+003	(-3.54270756358117e+001dB,-7.64037688280143e+001°)
1.00925288607668e+003	(-3.53848731245187e+001dB,-7.63431810305062e+001°)
1.01391138573668e+003	(-3.53426513655159e+001dB,-7.62823450383525e+001°)
1.01859138805412e+003	(-3.53004102005720e+001dB,-7.62212600992269e+001°)
1.02329299228075e+003	(-3.52581494703300e+001dB,-7.61599254621777e+001°)
1.02801629812647e+003	(-3.52158690143016e+001dB,-7.60983403776554e+001°)
1.03276140576140e+003	(-3.51735686708632e+001dB,-7.60365040976125e+001°)
1.03752841581801e+003	(-3.51312482772502e+001dB,-7.59744158755311e+001°)
1.04231742939330e+003	(-3.50889076695525e+001dB,-7.59120749664952e+001°)
1.04712854805090e+003	(-3.50465466827102e+001dB,-7.58494806272571e+001°)
1.05196187382322e+003	(-3.50041651505078e+001dB,-7.57866321162896e+001°)
1.05681750921366e+003	(-3.49617629055702e+001dB,-7.57235286938594e+001°)
1.06169555719873e+003	(-3.49193397793585e+001dB,-7.56601696220822e+001°)
1.06659612123026e+003	(-3.48768956021641e+001dB,-7.55965541649904e+001°)
1.07151930523761e+003	(-3.48344302031050e+001dB,-7.55326815886011e+001°)
1.07646521362984e+003	(-3.47919434101217e+001dB,-7.54685511609766e+001°)
1.08143395129794e+003	(-3.47494350499712e+001dB,-7.54041621522949e+001°)
1.08642562361707e+003	(-3.47069049482245e+001dB,-7.53395138349136e+001°)
1.09144033644876e+003	(-3.46643529292605e+001dB,-7.52746054834437e+001°)
1.09647819614319e+003	(-3.46217788162633e+001dB,-7.52094363748198e+001°)
1.10153930954142e+003	(-3.45791824312162e+001dB,-7.51440057883519e+001°)
1.10662378397767e+003	(-3.45365635948994e+001dB,-7.50783130058200e+001°)
1.11173172728159e+003	(-3.44939221268843e+001dB,-7.50123573115330e+001°)
1.11686324778056e+003	(-3.44512578455301e+001dB,-7.49461379923995e+001°)
1.12201845430197e+003	(-3.44085705679800e+001dB,-7.48796543380040e+001°)
1.12719745617551e+003	(-3.43658601101569e+001dB,-7.48129056406775e+001°)
1.13240036323556e+003	(-3.43231262867595e+001dB,-7.47458911955786e+001°)
1.13762728582343e+003	(-3.42803689112587e+001dB,-7.46786103007589e+001°)
1.14287833478977e+003	(-3.42375877958939e+001dB,-7.46110622572447e+001°)
1.14815362149688e+003	(-3.41947827516693e+001dB,-7.45432463691138e+001°)
1.15345325782109e+003	(-3.41519535883499e+001dB,-7.44751619435699e+001°)
1.15877735615513e+003	(-3.41091001144587e+001dB,-7.44068082910217e+001°)
1.16412602941049e+003	(-3.40662221372727e+001dB,-7.43381847251649e+001°)
1.16949939101987e+003	(-3.40233194628199e+001dB,-7.42692905630547e+001°)
1.17489755493953e+003	(-3.39803918958758e+001dB,-7.42001251251959e+001°)
1.18032063565173e+003	(-3.39374392399602e+001dB,-7.41306877356118e+001°)
1.18576874816716e+003	(-3.38944612973344e+001dB,-7.40609777219436e+001°)
1.19124200802738e+003	(-3.38514578689981e+001dB,-7.39909944155140e+001°)
1.19674053130725e+003	(-3.38084287546858e+001dB,-7.39207371514206e+001°)
1.20226443461742e+003	(-3.37653737528652e+001dB,-7.38502052686234e+001°)
1.20781383510678e+003	(-3.37222926607334e+001dB,-7.37793981100283e+001°)
1.21338885046498e+003	(-3.36791852742147e+001dB,-7.37083150225589e+001°)
1.21898959892487e+003	(-3.36360513879581e+001dB,-7.36369553572687e+001°)
1.22461619926505e+003	(-3.35928907953349e+001dB,-7.35653184694030e+001°)
1.23026877081238e+003	(-3.35497032884358e+001dB,-7.34934037185065e+001°)
1.23594743344451e+003	(-3.35064886580696e+001dB,-7.34212104685047e+001°)
1.24165230759241e+003	(-3.34632466937602e+001dB,-7.33487380877890e+001°)
1.24738351424295e+003	(-3.34199771837452e+001dB,-7.32759859493159e+001°)
1.25314117494142e+003	(-3.33766799149735e+001dB,-7.32029534306937e+001°)
1.25892541179417e+003	(-3.33333546731039e+001dB,-7.31296399142739e+001°)
1.26473634747115e+003	(-3.32900012425033e+001dB,-7.30560447872520e+001°)
1.27057410520855e+003	(-3.32466194062449e+001dB,-7.29821674417452e+001°)
1.27643880881135e+003	(-3.32032089461073e+001dB,-7.29080072749049e+001°)
1.28233058265603e+003	(-3.31597696425723e+001dB,-7.28335636889996e+001°)
1.28824955169314e+003	(-3.31163012748249e+001dB,-7.27588360915192e+001°)
1.29419584144999e+003	(-3.30728036207511e+001dB,-7.26838238952613e+001°)
