Freq.	V(fb6)/V(inm6)
1.00000000000000e+003	(-3.65942231320860e+001dB,-7.79590287815459e+001°)
1.00461579027840e+003	(-3.65524874839342e+001dB,-7.79048663297650e+001°)
1.00925288607668e+003	(-3.65107364789194e+001dB,-7.78504764616479e+001°)
1.01391138573668e+003	(-3.64689699874400e+001dB,-7.77958584070940e+001°)
1.01859138805412e+003	(-3.64271878789118e+001dB,-7.77410113960248e+001°)
1.02329299228075e+003	(-3.63853900217625e+001dB,-7.76859346584133e+001°)
1.02801629812647e+003	(-3.63435762834268e+001dB,-7.76306274243536e+001°)
1.03276140576140e+003	(-3.63017465303403e+001dB,-7.75750889240749e+001°)
1.03752841581801e+003	(-3.62599006279345e+001dB,-7.75193183879981e+001°)
1.04231742939330e+003	(-3.62180384406316e+001dB,-7.74633150467817e+001°)
1.04712854805090e+003	(-3.61761598318382e+001dB,-7.74070781313596e+001°)
1.05196187382322e+003	(-3.61342646639406e+001dB,-7.73506068729891e+001°)
1.05681750921366e+003	(-3.60923527982993e+001dB,-7.72939005032927e+001°)
1.06169555719873e+003	(-3.60504240952433e+001dB,-7.72369582543044e+001°)
1.06659612123026e+003	(-3.60084784140652e+001dB,-7.71797793585241e+001°)
1.07151930523761e+003	(-3.59665156130153e+001dB,-7.71223630489556e+001°)
1.07646521362984e+003	(-3.59245355492966e+001dB,-7.70647085591560e+001°)
1.08143395129794e+003	(-3.58825380790596e+001dB,-7.70068151232890e+001°)
1.08642562361707e+003	(-3.58405230573964e+001dB,-7.69486819761631e+001°)
1.09144033644876e+003	(-3.57984903383360e+001dB,-7.68903083533024e+001°)
1.09647819614319e+003	(-3.57564397748389e+001dB,-7.68316934909713e+001°)
1.10153930954142e+003	(-3.57143712187915e+001dB,-7.67728366262404e+001°)
1.10662378397767e+003	(-3.56722845210014e+001dB,-7.67137369970410e+001°)
1.11173172728159e+003	(-3.56301795311915e+001dB,-7.66543938422049e+001°)
1.11686324778056e+003	(-3.55880560979958e+001dB,-7.65948064015293e+001°)
1.12201845430197e+003	(-3.55459140689531e+001dB,-7.65349739158214e+001°)
1.12719745617551e+003	(-3.55037532905030e+001dB,-7.64748956269650e+001°)
1.13240036323556e+003	(-3.54615736079798e+001dB,-7.64145707779583e+001°)
1.13762728582343e+003	(-3.54193748656078e+001dB,-7.63539986129809e+001°)
1.14287833478977e+003	(-3.53771569064967e+001dB,-7.62931783774546e+001°)
1.14815362149688e+003	(-3.53349195726361e+001dB,-7.62321093180864e+001°)
1.15345325782109e+003	(-3.52926627048905e+001dB,-7.61707906829440e+001°)
1.15877735615513e+003	(-3.52503861429943e+001dB,-7.61092217214883e+001°)
1.16412602941049e+003	(-3.52080897255475e+001dB,-7.60474016846668e+001°)
1.16949939101987e+003	(-3.51657732900101e+001dB,-7.59853298249435e+001°)
1.17489755493953e+003	(-3.51234366726976e+001dB,-7.59230053963776e+001°)
1.18032063565173e+003	(-3.50810797087764e+001dB,-7.58604276546771e+001°)
