Freq.	V(fb5)/V(inm5)
1.00000000000000e+003	(-4.47220394831176e+001dB,-6.16093024697813e+001°)
1.00461579027840e+003	(-4.46729957398027e+001dB,-6.14985236339348e+001°)
1.00925288607668e+003	(-4.46238873703768e+001dB,-6.13874656617005e+001°)
1.01391138573668e+003	(-4.45747140498745e+001dB,-6.12761294991580e+001°)
1.01859138805412e+003	(-4.45254754536475e+001dB,-6.11645161113005e+001°)
1.02329299228075e+003	(-4.44761712573971e+001dB,-6.10526264821620e+001°)
1.02801629812647e+003	(-4.44268011372043e+001dB,-6.09404616148364e+001°)
1.03276140576140e+003	(-4.43773647695626e+001dB,-6.08280225315447e+001°)
1.03752841581801e+003	(-4.43278618314083e+001dB,-6.07153102736502e+001°)
1.04231742939330e+003	(-4.42782920001537e+001dB,-6.06023259017900e+001°)
1.04712854805090e+003	(-4.42286549537181e+001dB,-6.04890704958160e+001°)
1.05196187382322e+003	(-4.41789503705597e+001dB,-6.03755451549015e+001°)
1.05681750921366e+003	(-4.41291779297103e+001dB,-6.02617509975696e+001°)
1.06169555719873e+003	(-4.40793373108055e+001dB,-6.01476891617062e+001°)
1.06659612123026e+003	(-4.40294281941210e+001dB,-6.00333608046503e+001°)
1.07151930523761e+003	(-4.39794502606013e+001dB,-5.99187671031548e+001°)
1.07646521362984e+003	(-4.39294031918977e+001dB,-5.98039092534600e+001°)
1.08143395129794e+003	(-4.38792866703993e+001dB,-5.96887884713276e+001°)
1.08642562361707e+003	(-4.38291003792666e+001dB,-5.95734059920168e+001°)
1.09144033644876e+003	(-4.37788440024690e+001dB,-5.94577630703586e+001°)
1.09647819614319e+003	(-4.37285172248145e+001dB,-5.93418609807450e+001°)
1.10153930954142e+003	(-4.36781197319864e+001dB,-5.92257010171477e+001°)
1.10662378397767e+003	(-4.36276512105783e+001dB,-5.91092844931308e+001°)
1.11173172728159e+003	(-4.35771113481282e+001dB,-5.89926127418565e+001°)
1.11686324778056e+003	(-4.35264998331532e+001dB,-5.88756871161005e+001°)
1.12201845430197e+003	(-4.34758163551856e+001dB,-5.87585089882653e+001°)
1.12719745617551e+003	(-4.34250606048069e+001dB,-5.86410797503303e+001°)
1.13240036323556e+003	(-4.33742322736845e+001dB,-5.85234008139317e+001°)
1.13762728582343e+003	(-4.33233310546062e+001dB,-5.84054736102580e+001°)
1.14287833478977e+003	(-4.32723566415162e+001dB,-5.82872995901260e+001°)
1.14815362149688e+003	(-4.32213087295499e+001dB,-5.81688802239158e+001°)
1.15345325782109e+003	(-4.31701870150735e+001dB,-5.80502170015841e+001°)
1.15877735615513e+003	(-4.31189911957147e+001dB,-5.79313114326233e+001°)
1.16412602941049e+003	(-4.30677209704042e+001dB,-5.78121650460635e+001°)
1.16949939101987e+003	(-4.30163760394056e+001dB,-5.76927793904105e+001°)
1.17489755493953e+003	(-4.29649561043595e+001dB,-5.75731560336625e+001°)
1.18032063565173e+003	(-4.29134608683134e+001dB,-5.74532965632478e+001°)
1.18576874816716e+003	(-4.28618900357602e+001dB,-5.73332025859919e+001°)
1.19124200802738e+003	(-4.28102433126766e+001dB,-5.72128757280859e+001°)
1.19674053130725e+003	(-4.27585204065577e+001dB,-5.70923176350437e+001°)
1.20226443461742e+003	(-4.27067210264538e+001dB,-5.69715299716534e+001°)
1.20781383510678e+003	(-4.26548448830071e+001dB,-5.68505144219211e+001°)
1.21338885046498e+003	(-4.26028916884889e+001dB,-5.67292726890351e+001°)
1.21898959892487e+003	(-4.25508611568375e+001dB,-5.66078064953037e+001°)
1.22461619926505e+003	(-4.24987530036914e+001dB,-5.64861175820750e+001°)
1.23026877081238e+003	(-4.24465669464293e+001dB,-5.63642077097008e+001°)
1.23594743344451e+003	(-4.23943027042068e+001dB,-5.62420786574655e+001°)
1.24165230759241e+003	(-4.23419599979897e+001dB,-5.61197322234955e+001°)
