Freq.	V(fb3)/V(inm3)
1.82810021614276e+003	(-2.74983150924154e+001dB,-6.27798163324402e+001°)
1.83653834334836e+003	(-2.74499794225971e+001dB,-6.26720493679604e+001°)
1.84501541917949e+003	(-2.74015828137243e+001dB,-6.25639925349680e+001°)
1.85353162341483e+003	(-2.73531249392853e+001dB,-6.24556465653767e+001°)
1.86208713666288e+003	(-2.73046054727569e+001dB,-6.23470122092395e+001°)
1.87068214036582e+003	(-2.72560240876319e+001dB,-6.22380902348249e+001°)
1.87931681680328e+003	(-2.72073804574464e+001dB,-6.21288814286923e+001°)
1.88799134909631e+003	(-2.71586742558096e+001dB,-6.20193865957765e+001°)
1.89670592121116e+003	(-2.71099051564310e+001dB,-6.19096065594571e+001°)
1.90546071796326e+003	(-2.70610728331498e+001dB,-6.17995421616291e+001°)
1.91425592502110e+003	(-2.70121769599643e+001dB,-6.16891942627795e+001°)
1.92309172891017e+003	(-2.69632172110611e+001dB,-6.15785637420528e+001°)
1.93196831701694e+003	(-2.69141932608446e+001dB,-6.14676514973134e+001°)
1.94088587759280e+003	(-2.68651047839675e+001dB,-6.13564584452189e+001°)
1.94984459975806e+003	(-2.68159514553603e+001dB,-6.12449855212725e+001°)
1.95884467350601e+003	(-2.67667329502628e+001dB,-6.11332336798889e+001°)
1.96788628970686e+003	(-2.67174489442542e+001dB,-6.10212038944504e+001°)
1.97696964011188e+003	(-2.66680991132841e+001dB,-6.09088971573599e+001°)
1.98609491735739e+003	(-2.66186831337043e+001dB,-6.07963144800985e+001°)
1.99526231496890e+003	(-2.65692006823000e+001dB,-6.06834568932699e+001°)
2.00447202736518e+003	(-2.65196514363216e+001dB,-6.05703254466540e+001°)
2.01372424986241e+003	(-2.64700350735167e+001dB,-6.04569212092476e+001°)
2.02301917867829e+003	(-2.64203512721628e+001dB,-6.03432452693114e+001°)
2.03235701093624e+003	(-2.63705997110991e+001dB,-6.02292987344083e+001°)
2.04173794466955e+003	(-2.63207800697601e+001dB,-6.01150827314425e+001°)
2.05116217882559e+003	(-2.62708920282075e+001dB,-6.00005984066919e+001°)
2.06062991327002e+003	(-2.62209352671645e+001dB,-5.98858469258439e+001°)
2.07014134879106e+003	(-2.61709094680483e+001dB,-5.97708294740252e+001°)
2.07969668710372e+003	(-2.61208143130042e+001dB,-5.96555472558262e+001°)
2.08929613085406e+003	(-2.60706494849393e+001dB,-5.95400014953268e+001°)
2.09893988362355e+003	(-2.60204146675565e+001dB,-5.94241934361216e+001°)
2.10862814993331e+003	(-2.59701095453885e+001dB,-5.93081243413304e+001°)
2.11836113524852e+003	(-2.59197338038323e+001dB,-5.91917954936214e+001°)
2.12813904598273e+003	(-2.58692871291842e+001dB,-5.90752081952217e+001°)
2.13796208950225e+003	(-2.58187692086735e+001dB,-5.89583637679248e+001°)
2.14783047413056e+003	(-2.57681797304988e+001dB,-5.88412635531030e+001°)
2.15774440915269e+003	(-2.57175183838613e+001dB,-5.87239089117042e+001°)
2.16770410481972e+003	(-2.56667848590020e+001dB,-5.86063012242593e+001°)
2.17770977235318e+003	(-2.56159788472353e+001dB,-5.84884418908778e+001°)
2.18776162394958e+003	(-2.55651000409857e+001dB,-5.83703323312389e+001°)
2.19785987278485e+003	(-2.55141481338227e+001dB,-5.82519739845895e+001°)
2.20800473301892e+003	(-2.54631228204972e+001dB,-5.81333683097272e+001°)
2.21819641980024e+003	(-2.54120237969766e+001dB,-5.80145167849882e+001°)
2.22843514927033e+003	(-2.53608507604816e+001dB,-5.78954209082283e+001°)
2.23872113856836e+003	(-2.53096034095218e+001dB,-5.77760821968005e+001°)
2.24905460583581e+003	(-2.52582814439320e+001dB,-5.76565021875343e+001°)
2.25943577022100e+003	(-2.52068845649086e+001dB,-5.75366824367029e+001°)
2.26986485188385e+003	(-2.51554124750459e+001dB,-5.74166245199954e+001°)
2.28034207200044e+003	(-2.51038648783724e+001dB,-5.72963300324794e+001°)
2.29086765276780e+003	(-2.50522414803877e+001dB,-5.71758005885663e+001°)
2.30144181740853e+003	(-2.50005419880987e+001dB,-5.70550378219656e+001°)
2.31206479017562e+003	(-2.49487661100562e+001dB,-5.69340433856437e+001°)
2.32273679635713e+003	(-2.48969135563921e+001dB,-5.68128189517764e+001°)
2.33345806228103e+003	(-2.48449840388554e+001dB,-5.66913662116901e+001°)
2.34422881531995e+003	(-2.47929772708492e+001dB,-5.65696868758159e+001°)
2.35504928389604e+003	(-2.47408929674679e+001dB,-5.64477826736244e+001°)
2.36591969748579e+003	(-2.46887308455330e+001dB,-5.63256553535649e+001°)
2.37684028662490e+003	(-2.46364906236307e+001dB,-5.62033066830001e+001°)
2.38781128291321e+003	(-2.45841720221484e+001dB,-5.60807384481377e+001°)
2.39883291901952e+003	(-2.45317747633109e+001dB,-5.59579524539537e+001°)
2.40990542868662e+003	(-2.44792985712181e+001dB,-5.58349505241211e+001°)
2.42102904673621e+003	(-2.44267431718807e+001dB,-5.57117345009249e+001°)
2.43220400907384e+003	(-2.43741082932573e+001dB,-5.55883062451807e+001°)
2.44343055269400e+003	(-2.43213936652908e+001dB,-5.54646676361465e+001°)
2.45470891568506e+003	(-2.42685990199452e+001dB,-5.53408205714334e+001°)
2.46603933723437e+003	(-2.42157240912414e+001dB,-5.52167669669088e+001°)
2.47742205763332e+003	(-2.41627686152939e+001dB,-5.50925087565974e+001°)
2.48885731828242e+003	(-2.41097323303474e+001dB,-5.49680478925817e+001°)
2.50034536169646e+003	(-2.40566149768124e+001dB,-5.48433863448965e+001°)
2.51188643150961e+003	(-2.40034162973011e+001dB,-5.47185261014167e+001°)
2.52348077248061e+003	(-2.39501360366639e+001dB,-5.45934691677463e+001°)
2.53512863049794e+003	(-2.38967739420249e+001dB,-5.44682175671034e+001°)
2.54683025258507e+003	(-2.38433297628173e+001dB,-5.43427733401964e+001°)
2.55858588690568e+003	(-2.37898032508193e+001dB,-5.42171385451013e+001°)
2.57039578276890e+003	(-2.37361941601889e+001dB,-5.40913152571380e+001°)
2.58226019063463e+003	(-2.36825022474997e+001dB,-5.39653055687325e+001°)
2.59417936211885e+003	(-2.36287272717751e+001dB,-5.38391115892882e+001°)
2.60615354999893e+003	(-2.35748689945239e+001dB,-5.37127354450431e+001°)
2.61818300821902e+003	(-2.35209271797741e+001dB,-5.35861792789301e+001°)
2.63026799189542e+003	(-2.34669015941077e+001dB,-5.34594452504306e+001°)
2.64240875732198e+003	(-2.34127920066950e+001dB,-5.33325355354259e+001°)
2.65460556197557e+003	(-2.33585981893281e+001dB,-5.32054523260429e+001°)
2.66685866452151e+003	(-2.33043199164546e+001dB,-5.30781978305004e+001°)
2.67916832481907e+003	(-2.32499569652115e+001dB,-5.29507742729459e+001°)
2.69153480392695e+003	(-2.31955091154576e+001dB,-5.28231838932936e+001°)
2.70395836410888e+003	(-2.31409761498073e+001dB,-5.26954289470583e+001°)
2.71643926883912e+003	(-2.30863578536623e+001dB,-5.25675117051836e+001°)
2.72897778280808e+003	(-2.30316540152445e+001dB,-5.24394344538680e+001°)
2.74157417192792e+003	(-2.29768644256280e+001dB,-5.23111994943878e+001°)
2.75422870333820e+003	(-2.29219888787705e+001dB,-5.21828091429174e+001°)
2.76694164541155e+003	(-2.28670271715448e+001dB,-5.20542657303418e+001°)
2.77971326775933e+003	(-2.28119791037701e+001dB,-5.19255716020736e+001°)
2.79254384123738e+003	(-2.27568444782425e+001dB,-5.17967291178561e+001°)
2.80543363795175e+003	(-2.27016231007653e+001dB,-5.16677406515759e+001°)
2.81838293126449e+003	(-2.26463147801791e+001dB,-5.15386085910584e+001°)
2.83139199579942e+003	(-2.25909193283917e+001dB,-5.14093353378722e+001°)
2.84446110744795e+003	(-2.25354365604069e+001dB,-5.12799233071220e+001°)
2.85759054337499e+003	(-2.24798662943538e+001dB,-5.11503749272428e+001°)
2.87078058202473e+003	(-2.24242083515149e+001dB,-5.10206926397888e+001°)
2.88403150312665e+003	(-2.23684625563544e+001dB,-5.08908788992194e+001°)
2.89734358770136e+003	(-2.23126287365461e+001dB,-5.07609361726839e+001°)
2.91071711806665e+003	(-2.22567067230002e+001dB,-5.06308669398013e+001°)
2.92415237784338e+003	(-2.22006963498903e+001dB,-5.05006736924362e+001°)
2.93764965196157e+003	(-2.21445974546798e+001dB,-5.03703589344747e+001°)
2.95120922666643e+003	(-2.20884098781476e+001dB,-5.02399251815957e+001°)
2.96483138952438e+003	(-2.20321334644141e+001dB,-5.01093749610400e+001°)
2.97851642942923e+003	(-2.19757680609656e+001dB,-4.99787108113736e+001°)
2.99226463660823e+003	(-2.19193135186791e+001dB,-4.98479352822540e+001°)
3.00607630262827e+003	(-2.18627696918464e+001dB,-4.97170509341891e+001°)
3.01995172040206e+003	(-2.18061364381975e+001dB,-4.95860603382937e+001°)
3.03389118419431e+003	(-2.17494136189235e+001dB,-4.94549660760454e+001°)
3.04789498962803e+003	(-2.16926010986996e+001dB,-4.93237707390369e+001°)
3.06196343369072e+003	(-2.16356987457068e+001dB,-4.91924769287284e+001°)
3.07609681474075e+003	(-2.15787064316532e+001dB,-4.90610872561893e+001°)
3.09029543251364e+003	(-2.15216240317955e+001dB,-4.89296043418492e+001°)
3.10455958812840e+003	(-2.14644514249592e+001dB,-4.87980308152374e+001°)
3.11888958409398e+003	(-2.14071884935582e+001dB,-4.86663693147240e+001°)
3.13328572431563e+003	(-2.13498351236144e+001dB,-4.85346224872571e+001°)
3.14774831410136e+003	(-2.12923912047769e+001dB,-4.84027929881019e+001°)
3.16227766016843e+003	(-2.12348566303391e+001dB,-4.82708834805702e+001°)
3.17687407064982e+003	(-2.11772312972577e+001dB,-4.81388966357562e+001°)
3.19153785510081e+003	(-2.11195151061688e+001dB,-4.80068351322650e+001°)
3.20626932450551e+003	(-2.10617079614046e+001dB,-4.78747016559386e+001°)
3.22106879128348e+003	(-2.10038097710095e+001dB,-4.77424988995846e+001°)
3.23593656929633e+003	(-2.09458204467556e+001dB,-4.76102295627007e+001°)
3.25087297385439e+003	(-2.08877399041566e+001dB,-4.74778963511945e+001°)
3.26587832172341e+003	(-2.08295680624829e+001dB,-4.73455019771077e+001°)
3.28095293113124e+003	(-2.07713048447742e+001dB,-4.72130491583324e+001°)
3.29609712177463e+003	(-2.07129501778533e+001dB,-4.70805406183324e+001°)
3.31131121482596e+003	(-2.06545039923374e+001dB,-4.69479790858558e+001°)
3.32659553294010e+003	(-2.05959662226503e+001dB,-4.68153672946526e+001°)
