Freq.	V(vin)/I(V3)
5.12861383991364e+001	(1.10751553692808e+002dB,-8.99451548463502e+001°)
5.24807460249772e+001	(1.10551553751660e+002dB,-8.99438773385930e+001°)
5.37031796370252e+001	(1.10351553813286e+002dB,-8.99425700738548e+001°)
5.49540873857624e+001	(1.10151553877816e+002dB,-8.99412323589980e+001°)
5.62341325190348e+001	(1.09951553945387e+002dB,-8.99398634847583e+001°)
5.75439937337156e+001	(1.09751554016143e+002dB,-8.99384627253380e+001°)
5.88843655355588e+001	(1.09551554090233e+002dB,-8.99370293380408e+001°)
6.02559586074357e+001	(1.09351554167816e+002dB,-8.99355625628687e+001°)
6.16595001861481e+001	(1.09151554249054e+002dB,-8.99340616221033e+001°)
6.30957344480192e+001	(1.08951554334121e+002dB,-8.99325257199324e+001°)
6.45654229034654e+001	(1.08751554423198e+002dB,-8.99309540420028e+001°)
6.60693448007595e+001	(1.08551554516472e+002dB,-8.99293457549883e+001°)
6.76082975391980e+001	(1.08351554614142e+002dB,-8.99277000061574e+001°)
6.91830970918935e+001	(1.08151554716415e+002dB,-8.99260159228964e+001°)
7.07945784384136e+001	(1.07951554823509e+002dB,-8.99242926123085e+001°)
7.24435960074988e+001	(1.07751554935649e+002dB,-8.99225291606551e+001°)
7.41310241300916e+001	(1.07551555053075e+002dB,-8.99207246329231e+001°)
7.58577575029182e+001	(1.07351555176034e+002dB,-8.99188780723299e+001°)
7.76247116628690e+001	(1.07151555304789e+002dB,-8.99169884998217e+001°)
7.94328234724279e+001	(1.06951555439611e+002dB,-8.99150549135021e+001°)
8.12830516164097e+001	(1.06751555580788e+002dB,-8.99130762881779e+001°)
8.31763771102669e+001	(1.06551555728617e+002dB,-8.99110515747390e+001°)
8.51138038202374e+001	(1.06351555883414e+002dB,-8.99089796996474e+001°)
8.70963589956078e+001	(1.06151556045507e+002dB,-8.99068595643893e+001°)
8.91250938133743e+001	(1.05951556215238e+002dB,-8.99046900448258e+001°)
9.12010839355907e+001	(1.05751556392969e+002dB,-8.99024699906501e+001°)
9.33254300796988e+001	(1.05551556579076e+002dB,-8.99001982247646e+001°)
9.54992586021433e+001	(1.05351556773953e+002dB,-8.98978735426375e+001°)
9.77237220955808e+001	(1.05151556978016e+002dB,-8.98954947117029e+001°)
9.99999999999997e+001	(1.04951557191695e+002dB,-8.98930604706667e+001°)
1.02329299228075e+002	(1.04751557415445e+002dB,-8.98905695288584e+001°)
1.04712854805090e+002	(1.04551557649739e+002dB,-8.98880205655503e+001°)
1.07151930523760e+002	(1.04351557895076e+002dB,-8.98854122292458e+001°)
1.09647819614318e+002	(1.04151558151975e+002dB,-8.98827431369729e+001°)
1.12201845430196e+002	(1.03951558420982e+002dB,-8.98800118735354e+001°)
1.14815362149688e+002	(1.03751558702666e+002dB,-8.98772169907813e+001°)
