time	V(vo_op)
1.519074467678893e-003	2.198881e+000
1.528840092678893e-003	1.948561e+000
1.538605717678893e-003	1.708182e+000
1.548371342678893e-003	1.478662e+000
1.558136967678893e-003	1.260937e+000
1.567902592678893e-003	1.054066e+000
1.572301258165235e-003	9.645464e-001
1.572327951621213e-003	9.640325e-001
1.572577090543677e-003	9.591588e-001
1.572861820740779e-003	9.535904e-001
1.573431281134983e-003	9.424919e-001
1.574570201923391e-003	9.204184e-001
1.575431049968044e-003	9.038684e-001
1.576180255610816e-003	8.895742e-001
1.577209218921728e-003	8.700708e-001
1.578313495464588e-003	8.494048e-001
1.579151938042108e-003	8.354216e-001
1.579899424758866e-003	8.262973e-001
1.580649474008039e-003	8.195608e-001
1.581547094127671e-003	8.123872e-001
1.582784009779037e-003	8.032873e-001
1.584980812681971e-003	7.879911e-001
1.587094151705966e-003	7.730566e-001
1.590457167443668e-003	7.452846e-001
1.594266938602083e-003	7.051332e-001
1.598719637465292e-003	6.490010e-001
1.606501988496086e-003	5.437170e-001
1.613687196292571e-003	4.490147e-001
1.621911170305298e-003	3.560246e-001
1.627192956873715e-003	3.177150e-001
1.633774410901858e-003	2.958143e-001
1.637749802489959e-003	2.897779e-001
1.643443192023610e-003	2.852598e-001
1.651089473792224e-003	2.813463e-001
1.660855098792224e-003	2.783246e-001
1.670620723792224e-003	2.766325e-001
1.680386348792224e-003	2.758259e-001
1.699917598792224e-003	2.761278e-001
1.709683223792224e-003	2.773858e-001
1.719448848792224e-003	2.798801e-001
1.729214473792224e-003	2.847159e-001
1.738980098792224e-003	2.947436e-001
1.748745723792224e-003	3.174362e-001
1.757289782137518e-003	3.626171e-001
1.766408053637899e-003	4.502265e-001
1.775879753838667e-003	5.778293e-001
1.784006711668364e-003	7.031357e-001
1.788663889909199e-003	7.696348e-001
1.791545316654300e-003	7.995392e-001
1.794555827914401e-003	8.209189e-001
1.796301200306019e-003	8.320763e-001
1.797366502048364e-003	8.409539e-001
1.798877256365366e-003	8.576472e-001
1.800151686635512e-003	8.738512e-001
1.801401474322255e-003	8.913196e-001
1.802385085323663e-003	9.060486e-001
1.803254191326380e-003	9.197732e-001
1.804135110678761e-003	9.342805e-001
1.805188203199545e-003	9.523824e-001
1.807078860955862e-003	9.863049e-001
1.808572032436739e-003	1.014241e+000
1.810252607907519e-003	1.046930e+000
1.812076559397702e-003	1.083550e+000
1.818059510178213e-003	1.211466e+000
1.825945688580540e-003	1.391080e+000
1.835711313580540e-003	1.624769e+000
1.845476938580540e-003	1.869511e+000
1.855242563580540e-003	2.124182e+000
1.865008188580540e-003	2.387555e+000
1.874773813580540e-003	2.658530e+000
1.884539438580540e-003	2.936055e+000
1.894305063580540e-003	3.219102e+000
1.904070688580540e-003	3.506650e+000
1.913836313580540e-003	3.797684e+000
1.923601938580540e-003	4.091155e+000
1.933367563580540e-003	4.385915e+000
1.943133188580540e-003	4.680740e+000
1.952898813580540e-003	4.974447e+000
1.962664438580540e-003	5.265930e+000
1.972430063580540e-003	5.554047e+000
1.982195688580540e-003	5.837650e+000
1.990741734434573e-003	6.081204e+000
1.998232901943552e-003	6.290472e+000
2.006480207882170e-003	6.516004e+000
2.015713001685074e-003	6.762120e+000
2.025478626685074e-003	7.014284e+000
2.035244251685073e-003	7.256998e+000
2.045009876685073e-003	7.489218e+000
2.054775501685073e-003	7.709992e+000
2.064541126685073e-003	7.918411e+000
2.074306751685072e-003	8.110764e+000
2.078044052462142e-003	8.170141e+000
2.080112756991815e-003	8.191339e+000
2.082152354195981e-003	8.204168e+000
2.083613498970626e-003	8.210846e+000
2.085733658961391e-003	8.218715e+000
2.087821589948624e-003	8.225266e+000
2.090848049523642e-003	8.233291e+000
2.094859852517028e-003	8.242537e+000
2.098514693916035e-003	8.249700e+000
2.102924192867315e-003	8.256984e+000
2.108704868671561e-003	8.264967e+000
