Freq.	V(out)
1.20781383510678e+001	(-4.54932257806642e+001dB,3.70048654829141e+001°)
1.21059813355048e+001	(-4.54859048381213e+001dB,3.70679787172908e+001°)
1.21338885046497e+001	(-4.54785625048468e+001dB,3.71311300207157e+001°)
1.21618600064636e+001	(-4.54711987546107e+001dB,3.71943191013803e+001°)
1.21898959892486e+001	(-4.54638135613646e+001dB,3.72575456665532e+001°)
1.22179966016487e+001	(-4.54564068992367e+001dB,3.73208094225391e+001°)
1.22461619926504e+001	(-4.54489787425392e+001dB,3.73841100747175e+001°)
1.22743923115840e+001	(-4.54415290657658e+001dB,3.74474473275434e+001°)
1.23026877081238e+001	(-4.54340578435922e+001dB,3.75108208845333e+001°)
1.23310483322890e+001	(-4.54265650508792e+001dB,3.75742304482971e+001°)
1.23594743344450e+001	(-4.54190506626717e+001dB,3.76376757205294e+001°)
1.23879658653036e+001	(-4.54115146542017e+001dB,3.77011564020155e+001°)
1.24165230759240e+001	(-4.54039570008860e+001dB,3.77646721926419e+001°)
1.24451461177138e+001	(-4.53963776783326e+001dB,3.78282227914018e+001°)
1.24738351424294e+001	(-4.53887766623360e+001dB,3.78918078964056e+001°)
1.25025903021771e+001	(-4.53811539288798e+001dB,3.79554272048686e+001°)
1.25314117494141e+001	(-4.53735094541404e+001dB,3.80190804131388e+001°)
1.25602996369487e+001	(-4.53658432144828e+001dB,3.80827672166924e+001°)
1.25892541179416e+001	(-4.53581551864693e+001dB,3.81464873101499e+001°)
1.26182753459066e+001	(-4.53504453468493e+001dB,3.82102403872621e+001°)
1.26473634747114e+001	(-4.53427136725720e+001dB,3.82740261409391e+001°)
1.26765186585784e+001	(-4.53349601407794e+001dB,3.83378442632431e+001°)
1.27057410520853e+001	(-4.53271847288091e+001dB,3.84016944454005e+001°)
1.27350308101665e+001	(-4.53193874141962e+001dB,3.84655763778055e+001°)
1.27643880881134e+001	(-4.53115681746744e+001dB,3.85294897500288e+001°)
1.27938130415752e+001	(-4.53037269881769e+001dB,3.85934342508282e+001°)
1.28233058265601e+001	(-4.52958638328327e+001dB,3.86574095681402e+001°)
1.28528665994361e+001	(-4.52879786869759e+001dB,3.87214153891068e+001°)
1.28824955169313e+001	(-4.52800715291387e+001dB,3.87854514000682e+001°)
1.29121927361353e+001	(-4.52721423380566e+001dB,3.88495172865766e+001°)
1.29419584144998e+001	(-4.52641910926683e+001dB,3.89136127333998e+001°)
1.29717927098395e+001	(-4.52562177721156e+001dB,3.89777374245252e+001°)
1.30016957803328e+001	(-4.52482223557470e+001dB,3.90418910431828e+001°)
1.30316677845229e+001	(-4.52402048231136e+001dB,3.91060732718252e+001°)
1.30617088813183e+001	(-4.52321651539747e+001dB,3.91702837921640e+001°)
1.30918192299940e+001	(-4.52241033282955e+001dB,3.92345222851428e+001°)
1.31219989901920e+001	(-4.52160193262506e+001dB,3.92987884309892e+001°)
1.31522483219223e+001	(-4.52079131282227e+001dB,3.93630819091792e+001°)
1.31825673855640e+001	(-4.51997847148035e+001dB,3.94274023984695e+001°)
1.32129563418657e+001	(-4.51916340667943e+001dB,3.94917495768907e+001°)
1.32434153519466e+001	(-4.51834611652095e+001dB,3.95561231217745e+001°)
1.32739445772973e+001	(-4.51752659912745e+001dB,3.96205227097349e+001°)
1.33045441797808e+001	(-4.51670485264255e+001dB,3.96849480166952e+001°)
1.33352143216332e+001	(-4.51588087523144e+001dB,3.97493987178903e+001°)
1.33659551654643e+001	(-4.51505466508059e+001dB,3.98138744878696e+001°)
1.33967668742593e+001	(-4.51422622039798e+001dB,3.98783750005083e+001°)
1.34276496113785e+001	(-4.51339553941310e+001dB,3.99428999290244e+001°)
1.34586035405594e+001	(-4.51256262037720e+001dB,4.00074489459606e+001°)
1.34896288259164e+001	(-4.51172746156288e+001dB,4.00720217232160e+001°)
1.35207256319427e+001	(-4.51089006126494e+001dB,4.01366179320493e+001°)
1.35518941235103e+001	(-4.51005041779972e+001dB,4.02012372430811e+001°)
1.35831344658714e+001	(-4.50920852950550e+001dB,4.02658793263012e+001°)
1.36144468246594e+001	(-4.50836439474270e+001dB,4.03305438510830e+001°)
1.36458313658891e+001	(-4.50751801189352e+001dB,4.03952304861842e+001°)
1.36772882559584e+001	(-4.50666937936239e+001dB,4.04599388997580e+001°)
1.37088176616484e+001	(-4.50581849557592e+001dB,4.05246687593629e+001°)
1.37404197501251e+001	(-4.50496535898287e+001dB,4.05894197319697e+001°)
1.37720946889394e+001	(-4.50410996805445e+001dB,4.06541914839686e+001°)
1.38038426460287e+001	(-4.50325232128399e+001dB,4.07189836811701e+001°)
1.38356637897177e+001	(-4.50239241718738e+001dB,4.07837959888319e+001°)
1.38675582887188e+001	(-4.50153025430306e+001dB,4.08486280716504e+001°)
1.38995263121334e+001	(-4.50066583119181e+001dB,4.09134795937704e+001°)
1.39315680294529e+001	(-4.49979914643714e+001dB,4.09783502188006e+001°)
1.39636836105593e+001	(-4.49893019864520e+001dB,4.10432396098211e+001°)
1.39958732257261e+001	(-4.49805898644479e+001dB,4.11081474293795e+001°)
1.40281370456195e+001	(-4.49718550848755e+001dB,4.11730733395161e+001°)
1.40604752412990e+001	(-4.49630976344787e+001dB,4.12380170017649e+001°)
1.40928879842186e+001	(-4.49543175002311e+001dB,4.13029780771613e+001°)
1.41253754462274e+001	(-4.49455146693352e+001dB,4.13679562262450e+001°)
1.41579377995707e+001	(-4.49366891292226e+001dB,4.14329511090746e+001°)
1.41905752168908e+001	(-4.49278408675564e+001dB,4.14979623852445e+001°)
1.42232878712281e+001	(-4.49189698722304e+001dB,4.15629897138800e+001°)
1.42560759360218e+001	(-4.49100761313678e+001dB,4.16280327536443e+001°)
1.42889395851109e+001	(-4.49011596333271e+001dB,4.16930911627628e+001°)
1.43218789927353e+001	(-4.48922203666966e+001dB,4.17581645990170e+001°)
1.43548943335364e+001	(-4.48832583202979e+001dB,4.18232527197560e+001°)
1.43879857825583e+001	(-4.48742734831868e+001dB,4.18883551819120e+001°)
1.44211535152486e+001	(-4.48652658446514e+001dB,4.19534716420014e+001°)
1.44543977074592e+001	(-4.48562353942157e+001dB,4.20186017561393e+001°)
1.44877185354475e+001	(-4.48471821216366e+001dB,4.20837451800408e+001°)
1.45211161758773e+001	(-4.48381060169069e+001dB,4.21489015690370e+001°)
1.45545908058195e+001	(-4.48290070702544e+001dB,4.22140705780754e+001°)
1.45881426027534e+001	(-4.48198852721448e+001dB,4.22792518617457e+001°)
1.46217717445671e+001	(-4.48107406132768e+001dB,4.23444450742691e+001°)
1.46554784095590e+001	(-4.48015730845872e+001dB,4.24096498695121e+001°)
1.46892627764385e+001	(-4.47923826772503e+001dB,4.24748659010020e+001°)
1.47231250243271e+001	(-4.47831693826786e+001dB,4.25400928219383e+001°)
1.47570653327588e+001	(-4.47739331925200e+001dB,4.26053302851856e+001°)
1.47910838816819e+001	(-4.47646740986619e+001dB,4.26705779432921e+001°)
1.48251808514594e+001	(-4.47553920932300e+001dB,4.27358354485086e+001°)
1.48593564228699e+001	(-4.47460871685888e+001dB,4.28011024527821e+001°)
1.48936107771090e+001	(-4.47367593173420e+001dB,4.28663786077658e+001°)
1.49279440957898e+001	(-4.47274085323316e+001dB,4.29316635648338e+001°)
1.49623565609442e+001	(-4.47180348066408e+001dB,4.29969569750970e+001°)
1.49968483550236e+001	(-4.47086381335927e+001dB,4.30622584893966e+001°)
1.50314196609001e+001	(-4.46992185067496e+001dB,4.31275677583252e+001°)
1.50660706618673e+001	(-4.46897759199151e+001dB,4.31928844322212e+001°)
1.51008015416413e+001	(-4.46803103671327e+001dB,4.32582081611987e+001°)
1.51356124843619e+001	(-4.46708218426887e+001dB,4.33235385951364e+001°)
1.51705036745932e+001	(-4.46613103411080e+001dB,4.33888753837055e+001°)
1.52054752973248e+001	(-4.46517758571598e+001dB,4.34542181763639e+001°)
1.52405275379728e+001	(-4.46422183858536e+001dB,4.35195666223719e+001°)
1.52756605823806e+001	(-4.46326379224409e+001dB,4.35849203708010e+001°)
1.53108746168202e+001	(-4.46230344624155e+001dB,4.36502790705334e+001°)
1.53461698279928e+001	(-4.46134080015135e+001dB,4.37156423702955e+001°)
1.53815464030302e+001	(-4.46037585357131e+001dB,4.37810099186377e+001°)
1.54170045294954e+001	(-4.45940860612370e+001dB,4.38463813639669e+001°)
1.54525443953840e+001	(-4.45843905745465e+001dB,4.39117563545359e+001°)
1.54881661891247e+001	(-4.45746720723508e+001dB,4.39771345384719e+001°)
1.55238700995807e+001	(-4.45649305515997e+001dB,4.40425155637761e+001°)
1.55596563160506e+001	(-4.45551660094856e+001dB,4.41078990783269e+001°)
1.55955250282694e+001	(-4.45453784434471e+001dB,4.41732847299030e+001°)
1.56314764264094e+001	(-4.45355678511618e+001dB,4.42386721661720e+001°)
1.56675107010813e+001	(-4.45257342305553e+001dB,4.43040610347380e+001°)
1.57036280433354e+001	(-4.45158775797947e+001dB,4.43694509831017e+001°)
1.57398286446620e+001	(-4.45059978972902e+001dB,4.44348416587004e+001°)
1.57761126969933e+001	(-4.44960951816974e+001dB,4.45002327089171e+001°)
1.58124803927037e+001	(-4.44861694319143e+001dB,4.45656237810742e+001°)
1.58489319246110e+001	(-4.44762206470836e+001dB,4.46310145224556e+001°)
1.58854674859776e+001	(-4.44662488265925e+001dB,4.46964045803212e+001°)
1.59220872705115e+001	(-4.44562539700697e+001dB,4.47617936018832e+001°)
1.59587914723672e+001	(-4.44462360773914e+001dB,4.48271812343708e+001°)
1.59955802861465e+001	(-4.44361951486742e+001dB,4.48925671249772e+001°)
1.60324539069002e+001	(-4.44261311842813e+001dB,4.49579509209208e+001°)
1.60694125301286e+001	(-4.44160441848178e+001dB,4.50233322694200e+001°)
1.61064563517825e+001	(-4.44059341511346e+001dB,4.50887108177267e+001°)
1.61435855682647e+001	(-4.43958010843248e+001dB,4.51540862131176e+001°)
1.61808003764305e+001	(-4.43856449857264e+001dB,4.52194581029061e+001°)
1.62181009735891e+001	(-4.43754658569203e+001dB,4.52848261344711e+001°)
1.62554875575047e+001	(-4.43652636997315e+001dB,4.53501899552327e+001°)
1.62929603263970e+001	(-4.43550385162290e+001dB,4.54155492126884e+001°)
1.63305194789432e+001	(-4.43447903087249e+001dB,4.54809035544178e+001°)
1.63681652142779e+001	(-4.43345190797742e+001dB,4.55462526280798e+001°)
1.64058977319952e+001	(-4.43242248321761e+001dB,4.56115960814320e+001°)
1.64437172321491e+001	(-4.43139075689719e+001dB,4.56769335623387e+001°)
1.64816239152549e+001	(-4.43035672934472e+001dB,4.57422647187786e+001°)
1.65196179822900e+001	(-4.42932040091292e+001dB,4.58075891988500e+001°)
1.65576996346951e+001	(-4.42828177197893e+001dB,4.58729066507928e+001°)
1.65958690743754e+001	(-4.42724084294393e+001dB,4.59382167229825e+001°)
1.66341265037015e+001	(-4.42619761423361e+001dB,4.60035190639480e+001°)
1.66724721255104e+001	(-4.42515208629765e+001dB,4.60688133223731e+001°)
1.67109061431069e+001	(-4.42410425961008e+001dB,4.61340991471294e+001°)
1.67494287602642e+001	(-4.42305413466905e+001dB,4.61993761872457e+001°)
1.67880401812254e+001	(-4.42200171199684e+001dB,4.62646440919482e+001°)
