Freq.	V(n002)
1.01531312414576e+002	(-1.17575230508279e+002dB,1.79590116994061e+002°)
1.01554693554969e+002	(-1.17571230508610e+002dB,1.79590022604872e+002°)
1.01578080079690e+002	(-1.17567230508941e+002dB,1.79589928193947e+002°)
1.01601471989976e+002	(-1.17563230509272e+002dB,1.79589833761282e+002°)
1.01624869287069e+002	(-1.17559230509603e+002dB,1.79589739306870e+002°)
1.01648271972209e+002	(-1.17555230509934e+002dB,1.79589644830707e+002°)
1.01671680046637e+002	(-1.17551230510266e+002dB,1.79589550332789e+002°)
1.01695093511594e+002	(-1.17547230510598e+002dB,1.79589455813109e+002°)
1.01718512368321e+002	(-1.17543230510929e+002dB,1.79589361271663e+002°)
1.01741936618060e+002	(-1.17539230511261e+002dB,1.79589266708447e+002°)
1.01765366262053e+002	(-1.17535230511594e+002dB,1.79589172123454e+002°)
1.01788801301542e+002	(-1.17531230511926e+002dB,1.79589077516681e+002°)
1.01812241737769e+002	(-1.17527230512258e+002dB,1.79588982888122e+002°)
1.01835687571978e+002	(-1.17523230512591e+002dB,1.79588888237771e+002°)
1.01859138805411e+002	(-1.17519230512924e+002dB,1.79588793565624e+002°)
1.01882595439312e+002	(-1.17515230513256e+002dB,1.79588698871677e+002°)
1.01906057474924e+002	(-1.17511230513589e+002dB,1.79588604155923e+002°)
1.01929524913492e+002	(-1.17507230513923e+002dB,1.79588509418358e+002°)
1.01952997756260e+002	(-1.17503230514256e+002dB,1.79588414658977e+002°)
1.01976476004471e+002	(-1.17499230514589e+002dB,1.79588319877775e+002°)
1.01999959659371e+002	(-1.17495230514923e+002dB,1.79588225074747e+002°)
1.02023448722206e+002	(-1.17491230515257e+002dB,1.79588130249887e+002°)
1.02046943194219e+002	(-1.17487230515591e+002dB,1.79588035403191e+002°)
1.02070443076658e+002	(-1.17483230515925e+002dB,1.79587940534654e+002°)
1.02093948370767e+002	(-1.17479230516259e+002dB,1.79587845644271e+002°)
1.02117459077794e+002	(-1.17475230516594e+002dB,1.79587750732036e+002°)
1.02140975198984e+002	(-1.17471230516928e+002dB,1.79587655797945e+002°)
1.02164496735585e+002	(-1.17467230517263e+002dB,1.79587560841993e+002°)
1.02188023688843e+002	(-1.17463230517598e+002dB,1.79587465864174e+002°)
1.02211556060006e+002	(-1.17459230517933e+002dB,1.79587370864484e+002°)
1.02235093850322e+002	(-1.17455230518268e+002dB,1.79587275842917e+002°)
