Frequency,Channel 1 Magnitude (dB),MAG,pha
100,0.01579755783362508,-91.56456048115557,165.0829211222701
101.8591388054117,0.01558744837849249,-91.20214734880376,167.4820167905432
103.7528415818013,0.01600747741356357,-93.45277937531412,-147.7681037179835
105.6817509213658,0.01563611742013938,-93.76588563444137,148.2364053805423
107.6465213629835,0.01604091194467211,-95.99155367484408,-168.9540107056548
109.6478196143185,0.01584362157986121,-91.60263791396579,-171.5441981297814
111.6863247780561,0.01575544464439523,-92.88181598942317,-141.599270513552
113.7627285823431,0.01601731733573335,-88.55652156391639,179.7761633578021
115.8777356155126,0.01614559022063803,-93.74938674973087,127.6579639063623
118.032063565173,0.01617892661823268,-93.68237520736655,-156.0139020478181
120.2264434617413,0.01608930901123866,-92.23291267625841,-169.7342871876577
122.4616199265049,0.01609152118499228,-89.88957286679454,-170.3500760968205
124.7383514242943,0.01633694061985355,-93.14516109722724,-133.6246923709983
127.0574105208542,0.01588515577278087,-90.62489732424342,166.761649053033
129.4195841449986,0.01560337880564547,-87.50860493358557,-153.5459594295092
131.8256738556407,0.01583370070429617,-87.75963007264463,-178.7519809237274
134.2764961137864,0.01600779445808784,-88.6215472763524,-157.9797204850825
136.7728825595849,0.0159342671414182,-92.0306430953647,-153.2034367192002
139.3156802945304,0.0161973580421195,-86.90298824622111,-168.0126886170512
141.9057521689093,0.01578812741056922,-91.66198710636058,163.1840108435559
144.5439770745928,0.01604551506772697,-88.08864421760907,157.5063233377383
147.2312502432719,0.01592562778486628,-87.65586660342619,-158.1447975782052
149.9684835502374,0.01595398162911582,-87.61067186749864,-164.455089317826
152.7566058238073,0.01591910152243431,-84.69060522261549,-176.2308992973191
155.5965631605075,0.01570386134651584,-86.64837948671028,-177.4517533212693
158.4893192461114,0.01591522616534757,-89.55768288721416,175.9222078237259
161.4358556826487,0.01566084892492325,-85.2284530049233,-158.9484827037516
164.4371723214932,0.01563175645294355,-86.29712557447549,-178.2717029936714
167.4942876026438,0.01568966124847437,-86.19776175142889,-158.962843106215
170.6082389003124,0.01582321189714664,-89.9390326110699,-179.9105821852727
173.7800828749376,0.01615721546311245,-87.25551596485101,151.9485936920915
177.0108958317422,0.01593622029785657,-87.55416176809322,177.2947762943807
180.301774085957,0.01605643673867024,-85.01403899127054,-176.8008889371078
183.6538343348347,0.01571174062234546,-85.12362504304318,173.7273810021861
187.0682140365801,0.01613339581798778,-86.47035732929197,-179.2995803832427
