Freq.	V(outder)/V(VIN)
6.16595001861481e+001	(-2.75679462920712e+001dB,-9.00295825060597e+001°)
6.30957344480192e+001	(-2.73679462629404e+001dB,-9.00302715713072e+001°)
6.45654229034654e+001	(-2.71679462324368e+001dB,-9.00309766869578e+001°)
6.60693448007595e+001	(-2.69679462004956e+001dB,-9.00316982268742e+001°)
6.76082975391980e+001	(-2.67679461670490e+001dB,-9.00324365736277e+001°)
6.91830970918935e+001	(-2.65679461320262e+001dB,-9.00331921187006e+001°)
7.07945784384136e+001	(-2.63679460953527e+001dB,-9.00339652626944e+001°)
7.24435960074988e+001	(-2.61679460569509e+001dB,-9.00347564155417e+001°)
7.41310241300916e+001	(-2.59679460167393e+001dB,-9.00355659967236e+001°)
7.58577575029182e+001	(-2.57679459746326e+001dB,-9.00363944354927e+001°)
7.76247116628690e+001	(-2.55679459305415e+001dB,-9.00372421710997e+001°)
7.94328234724279e+001	(-2.53679458843724e+001dB,-9.00381096530272e+001°)
8.12830516164097e+001	(-2.51679458360274e+001dB,-9.00389973412278e+001°)
8.31763771102669e+001	(-2.49679457854040e+001dB,-9.00399057063676e+001°)
8.51138038202374e+001	(-2.47679457323947e+001dB,-9.00408352300761e+001°)
8.70963589956078e+001	(-2.45679456768873e+001dB,-9.00417864052017e+001°)
8.91250938133743e+001	(-2.43679456187638e+001dB,-9.00427597360726e+001°)
9.12010839355907e+001	(-2.41679455579011e+001dB,-9.00437557387647e+001°)
9.33254300796988e+001	(-2.39679454941700e+001dB,-9.00447749413749e+001°)
9.54992586021433e+001	(-2.37679454274354e+001dB,-9.00458178843011e+001°)
9.77237220955808e+001	(-2.35679453575557e+001dB,-9.00468851205291e+001°)
9.99999999999997e+001	(-2.33679452843826e+001dB,-9.00479772159254e+001°)
1.02329299228075e+002	(-2.31679452077610e+001dB,-9.00490947495375e+001°)
1.04712854805090e+002	(-2.29679451275283e+001dB,-9.00502383139009e+001°)
1.07151930523760e+002	(-2.27679450435144e+001dB,-9.00514085153532e+001°)
1.09647819614318e+002	(-2.25679449555411e+001dB,-9.00526059743558e+001°)
1.12201845430196e+002	(-2.23679448634217e+001dB,-9.00538313258225e+001°)
1.14815362149688e+002	(-2.21679447669608e+001dB,-9.00550852194567e+001°)
1.17489755493953e+002	(-2.19679446659539e+001dB,-9.00563683200955e+001°)
1.20226443461741e+002	(-2.17679445601867e+001dB,-9.00576813080625e+001°)
1.23026877081238e+002	(-2.15679444494348e+001dB,-9.00590248795284e+001°)
1.25892541179416e+002	(-2.13679443334634e+001dB,-9.00603997468800e+001°)
1.28824955169313e+002	(-2.11679442120264e+001dB,-9.00618066390984e+001°)
1.31825673855640e+002	(-2.09679440848663e+001dB,-9.00632463021451e+001°)
1.34896288259165e+002	(-2.07679439517134e+001dB,-9.00647194993579e+001°)
1.38038426460288e+002	(-2.05679438122851e+001dB,-9.00662270118553e+001°)
1.41253754462275e+002	(-2.03679436662858e+001dB,-9.00677696389511e+001°)
1.44543977074592e+002	(-2.01679435134058e+001dB,-9.00693481985782e+001°)
1.47910838816820e+002	(-1.99679433533208e+001dB,-9.00709635277219e+001°)
1.51356124843620e+002	(-1.97679431856912e+001dB,-9.00726164828643e+001°)
1.54881661891248e+002	(-1.95679430101615e+001dB,-9.00743079404382e+001°)
1.58489319246111e+002	(-1.93679428263594e+001dB,-9.00760387972920e+001°)
1.62181009735892e+002	(-1.91679426338950e+001dB,-9.00778099711649e+001°)
1.65958690743755e+002	(-1.89679424323600e+001dB,-9.00796224011741e+001°)
1.69824365246174e+002	(-1.87679422213270e+001dB,-9.00814770483127e+001°)
1.73780082874937e+002	(-1.85679420003484e+001dB,-9.00833748959590e+001°)
1.77827941003892e+002	(-1.83679417689554e+001dB,-9.00853169503982e+001°)
1.81970085860998e+002	(-1.81679415266572e+001dB,-9.00873042413562e+001°)
1.86208713666286e+002	(-1.79679412729399e+001dB,-9.00893378225453e+001°)
1.90546071796324e+002	(-1.77679410072653e+001dB,-9.00914187722236e+001°)
1.94984459975804e+002	(-1.75679407290700e+001dB,-9.00935481937663e+001°)
1.99526231496887e+002	(-1.73679404377637e+001dB,-9.00957272162508e+001°)
2.04173794466952e+002	(-1.71679401327286e+001dB,-9.00979569950560e+001°)
2.08929613085403e+002	(-1.69679398133178e+001dB,-9.01002387124748e+001°)
2.13796208950222e+002	(-1.67679394788537e+001dB,-9.01025735783411e+001°)
2.18776162394954e+002	(-1.65679391286269e+001dB,-9.01049628306713e+001°)
2.23872113856833e+002	(-1.63679387618944e+001dB,-9.01074077363211e+001°)
2.29086765276776e+002	(-1.61679383778785e+001dB,-9.01099095916575e+001°)
2.34422881531991e+002	(-1.59679379757646e+001dB,-9.01124697232462e+001°)
2.39883291901948e+002	(-1.57679375546998e+001dB,-9.01150894885552e+001°)
2.45470891568502e+002	(-1.55679371137909e+001dB,-9.01177702766748e+001°)
2.51188643150957e+002	(-1.53679366521028e+001dB,-9.01205135090544e+001°)
2.57039578276885e+002	(-1.51679361686561e+001dB,-9.01233206402567e+001°)
2.63026799189537e+002	(-1.49679356624255e+001dB,-9.01261931587286e+001°)
2.69153480392690e+002	(-1.47679351323372e+001dB,-9.01291325875915e+001°)
2.75422870333816e+002	(-1.45679345772668e+001dB,-9.01321404854488e+001°)
2.81838293126444e+002	(-1.43679339960369e+001dB,-9.01352184472125e+001°)
2.88403150312659e+002	(-1.41679333874148e+001dB,-9.01383681049496e+001°)
2.95120922666637e+002	(-1.39679327501095e+001dB,-9.01415911287480e+001°)
3.01995172040200e+002	(-1.37679320827692e+001dB,-9.01448892276019e+001°)
3.09029543251358e+002	(-1.35679313839784e+001dB,-9.01482641503189e+001°)
3.16227766016837e+002	(-1.33679306522551e+001dB,-9.01517176864477e+001°)
3.23593656929627e+002	(-1.31679298860470e+001dB,-9.01552516672272e+001°)
3.31131121482590e+002	(-1.29679290837292e+001dB,-9.01588679665586e+001°)
3.38844156139201e+002	(-1.27679282435997e+001dB,-9.01625685019992e+001°)
3.46736850452530e+002	(-1.25679273638767e+001dB,-9.01663552357800e+001°)
3.54813389233574e+002	(-1.23679264426942e+001dB,-9.01702301758467e+001°)
3.63078054770100e+002	(-1.21679254780983e+001dB,-9.01741953769254e+001°)
3.71535229097171e+002	(-1.19679244680432e+001dB,-9.01782529416126e+001°)
3.80189396320559e+002	(-1.17679234103863e+001dB,-9.01824050214912e+001°)
3.89045144994279e+002	(-1.15679223028845e+001dB,-9.01866538182724e+001°)
3.98107170553495e+002	(-1.13679211431886e+001dB,-9.01910015849635e+001°)
4.07380277804111e+002	(-1.11679199288390e+001dB,-9.01954506270646e+001°)
4.16869383470333e+002	(-1.09679186572599e+001dB,-9.02000033037913e+001°)
4.26579518801591e+002	(-1.07679173257543e+001dB,-9.02046620293275e+001°)
4.36515832240164e+002	(-1.05679159314982e+001dB,-9.02094292741065e+001°)
4.46683592150961e+002	(-1.03679144715342e+001dB,-9.02143075661226e+001°)
4.57088189614873e+002	(-1.01679129427659e+001dB,-9.02192994922730e+001°)
4.67735141287196e+002	(-9.96791134195064e+000dB,-9.02244076997311e+001°)
4.78630092322636e+002	(-9.76790966569321e+000dB,-9.02296348973519e+001°)
4.89778819368444e+002	(-9.56790791043830e+000dB,-9.02349838571104e+001°)
5.01187233627270e+002	(-9.36790607246309e+000dB,-9.02404574155731e+001°)
5.12861383991362e+002	(-9.16790414786929e+000dB,-9.02460584754049e+001°)
5.24807460249770e+002	(-8.96790213257495e+000dB,-9.02517900069100e+001°)
5.37031796370250e+002	(-8.76790002230575e+000dB,-9.02576550496096e+001°)
5.49540873857622e+002	(-8.56789781258595e+000dB,-9.02636567138563e+001°)
5.62341325190346e+002	(-8.36789549872891e+000dB,-9.02697981824864e+001°)
5.75439937337154e+002	(-8.16789307582715e+000dB,-9.02760827125104e+001°)
5.88843655355586e+002	(-7.96789053874193e+000dB,-9.02825136368436e+001°)
6.02559586074355e+002	(-7.76788788209238e+000dB,-9.02890943660770e+001°)
6.16595001861479e+002	(-7.56788510024407e+000dB,-9.02958283902892e+001°)
6.30957344480190e+002	(-7.36788218729707e+000dB,-9.03027192809016e+001°)
6.45654229034652e+002	(-7.16787913707345e+000dB,-9.03097706925765e+001°)
6.60693448007592e+002	(-6.96787594310417e+000dB,-9.03169863651592e+001°)
6.76082975391978e+002	(-6.76787259861537e+000dB,-9.03243701256669e+001°)
6.91830970918933e+002	(-6.56786909651403e+000dB,-9.03319258903228e+001°)
7.07945784384134e+002	(-6.36786542937291e+000dB,-9.03396576666391e+001°)
7.24435960074986e+002	(-6.16786158941479e+000dB,-9.03475695555476e+001°)
7.41310241300914e+002	(-5.96785756849605e+000dB,-9.03556657535816e+001°)
7.58577575029180e+002	(-5.76785335808932e+000dB,-9.03639505551077e+001°)
7.76247116628688e+002	(-5.56784894926548e+000dB,-9.03724283546113e+001°)
7.94328234724277e+002	(-5.36784433267470e+000dB,-9.03811036490345e+001°)
8.12830516164095e+002	(-5.16783949852662e+000dB,-9.03899810401699e+001°)
8.31763771102666e+002	(-4.96783443656963e+000dB,-9.03990652371101e+001°)
8.51138038202372e+002	(-4.76782913606910e+000dB,-9.04083610587549e+001°)
8.70963589956076e+002	(-4.56782358578468e+000dB,-9.04178734363775e+001°)
8.91250938133741e+002	(-4.36781777394643e+000dB,-9.04276074162512e+001°)
9.12010839355905e+002	(-4.16781168822991e+000dB,-9.04375681623380e+001°)
9.33254300796986e+002	(-3.96780531573009e+000dB,-9.04477609590396e+001°)
9.54992586021431e+002	(-3.76779864293396e+000dB,-9.04581912140150e+001°)
9.77237220955805e+002	(-3.56779165569190e+000dB,-9.04688644610626e+001°)
9.99999999999994e+002	(-3.36778433918776e+000dB,-9.04797863630716e+001°)
1.02329299228075e+003	(-3.16777667790740e+000dB,-9.04909627150426e+001°)
1.04712854805089e+003	(-2.96776865560590e+000dB,-9.05023994471797e+001°)
1.07151930523760e+003	(-2.76776025527306e+000dB,-9.05141026280553e+001°)
1.09647819614318e+003	(-2.56775145909748e+000dB,-9.05260784678502e+001°)
1.12201845430196e+003	(-2.36774224842874e+000dB,-9.05383333216700e+001°)
1.14815362149688e+003	(-2.16773260373796e+000dB,-9.05508736929405e+001°)
1.17489755493952e+003	(-1.96772250457643e+000dB,-9.05637062368832e+001°)
1.20226443461741e+003	(-1.76771192953231e+000dB,-9.05768377640730e+001°)
1.23026877081237e+003	(-1.56770085618530e+000dB,-9.05902752440814e+001°)
1.25892541179416e+003	(-1.36768926105919e+000dB,-9.06040258092051e+001°)
1.28824955169313e+003	(-1.16767711957211e+000dB,-9.06180967582836e+001°)
1.31825673855640e+003	(-9.67664405984562e-001dB,-9.06324955606085e+001°)
1.34896288259165e+003	(-7.67651093344917e-001dB,-9.06472298599246e+001°)
1.38038426460288e+003	(-5.67637153432381e-001dB,-9.06623074785277e+001°)
1.41253754462275e+003	(-3.67622556697271e-001dB,-9.06777364214593e+001°)
1.44543977074592e+003	(-1.67607272198515e-001dB,-9.06935248808021e+001°)
1.47910838816820e+003	(3.24087324618256e-002dB,-9.07096812400785e+001°)
1.51356124843620e+003	(2.32425491207058e-001dB,-9.07262140787539e+001°)
1.54881661891247e+003	(4.32443039557641e-001dB,-9.07431321768486e+001°)
1.58489319246110e+003	(6.32461414706261e-001dB,-9.07604445196604e+001°)
1.62181009735892e+003	(8.32480655596485e-001dB,-9.07781603026005e+001°)
1.65958690743755e+003	(1.03250080300511e+000dB,-9.07962889361466e+001°)
1.69824365246173e+003	(1.23252189962832e+000dB,-9.08148400509151e+001°)
1.73780082874936e+003	(1.43254399017191e+000dB,-9.08338235028560e+001°)
1.77827941003891e+003	(1.63256712144581e+000dB,-9.08532493785738e+001°)
1.81970085860997e+003	(1.83259134246291e+000dB,-9.08731280007772e+001°)
1.86208713666286e+003	(2.03261670454259e+000dB,-9.08934699338616e+001°)
1.90546071796323e+003	(2.23264326141915e+000dB,-9.09142859896272e+001°)
1.94984459975803e+003	(2.43267106935519e+000dB,-9.09355872331372e+001°)
1.99526231496887e+003	(2.63270018726045e+000dB,-9.09573849887182e+001°)
2.04173794466952e+003	(2.83273067681602e+000dB,-9.09796908461091e+001°)
2.08929613085403e+003	(3.03276260260458e+000dB,-9.10025166667598e+001°)
2.13796208950222e+003	(3.23279603224660e+000dB,-9.10258745902852e+001°)
2.18776162394954e+003	(3.43283103654291e+000dB,-9.10497770410796e+001°)
2.23872113856832e+003	(3.63286768962399e+000dB,-9.10742367350929e+001°)
2.29086765276776e+003	(3.83290606910616e+000dB,-9.10992666867766e+001°)
2.34422881531991e+003	(4.03294625625519e+000dB,-9.11248802162015e+001°)
2.39883291901947e+003	(4.23298833615739e+000dB,-9.11510909563538e+001°)
2.45470891568501e+003	(4.43303239789880e+000dB,-9.11779128606134e+001°)
