Freq.	V(outint)/V(Vin)
1.44543977074592e+002	(7.40158278817572e+000dB,1.37156664511525e+002°)
1.47910838816820e+002	(7.30800330083257e+000dB,1.36498094341973e+002°)
1.51356124843620e+002	(7.21212783248605e+000dB,1.35838717412413e+002°)
1.54881661891248e+002	(7.11395201924870e+000dB,1.35178881693641e+002°)
1.58489319246111e+002	(7.01347392821260e+000dB,1.34518936343228e+002°)
1.62181009735892e+002	(6.91069406573237e+000dB,1.33859230789365e+002°)
1.65958690743755e+002	(6.80561537631861e+000dB,1.33200113800950e+002°)
1.69824365246174e+002	(6.69824322845567e+000dB,1.32541932566869e+002°)
1.73780082874937e+002	(6.58858539355204e+000dB,1.31885031775904e+002°)
1.77827941003892e+002	(6.47665201167409e+000dB,1.31229752745105e+002°)
1.81970085860998e+002	(6.36245555067995e+000dB,1.30576432511931e+002°)
1.86208713666286e+002	(6.24601075354714e+000dB,1.29925403017754e+002°)
1.90546071796324e+002	(6.12733457921465e+000dB,1.29276990278706e+002°)
1.94984459975804e+002	(6.00644613083924e+000dB,1.28631513602865e+002°)
1.99526231496887e+002	(5.88336658269892e+000dB,1.27989284862644e+002°)
2.04173794466952e+002	(5.75811909350746e+000dB,1.27350607797053e+002°)
2.08929613085403e+002	(5.63072871789141e+000dB,1.26715777372479e+002°)
2.13796208950222e+002	(5.50122230805305e+000dB,1.26085079173702e+002°)
2.18776162394954e+002	(5.36962841763886e+000dB,1.25458788880135e+002°)
2.23872113856833e+002	(5.23597718959187e+000dB,1.24837171773195e+002°)
2.29086765276776e+002	(5.10030025446418e+000dB,1.24220482307532e+002°)
2.34422881531991e+002	(4.96263061374070e+000dB,1.23608963731919e+002°)
2.39883291901948e+002	(4.82300253042575e+000dB,1.23002847783223e+002°)
2.45470891568502e+002	(4.68145141292898e+000dB,1.22402354411083e+002°)
2.51188643150957e+002	(4.53801370073552e+000dB,1.21807691593518e+002°)
2.57039578276885e+002	(4.39272674984271e+000dB,1.21219055176984e+002°)
2.63026799189537e+002	(4.24562871920509e+000dB,1.20636628779977e+002°)
2.69153480392690e+002	(4.09675845911686e+000dB,1.20060583746403e+002°)
2.75422870333816e+002	(3.94615540148345e+000dB,1.19491079165793e+002°)
2.81838293126444e+002	(3.79385945154843e+000dB,1.18928261900295e+002°)
2.88403150312659e+002	(3.63991088538617e+000dB,1.18372266696024e+002°)
2.95120922666637e+002	(3.48435024652748e+000dB,1.17823216312150e+002°)
3.01995172040200e+002	(3.32721825226438e+000dB,1.17281221698320e+002°)
3.09029543251358e+002	(3.16855569953188e+000dB,1.16746382197841e+002°)
3.16227766016837e+002	(3.00840337529137e+000dB,1.16218785791600e+002°)
3.23593656929627e+002	(2.84680197362423e+000dB,1.15698509368596e+002°)
3.31131121482590e+002	(2.68379201956305e+000dB,1.15185619010558e+002°)
3.38844156139201e+002	(2.51941379153168e+000dB,1.14680170321893e+002°)
3.46736850452530e+002	(2.35370725253856e+000dB,1.14182208746988e+002°)
3.54813389233574e+002	(2.18671198838216e+000dB,1.13691769940769e+002°)
3.63078054770100e+002	(2.01846714671934e+000dB,1.13208880122212e+002°)
3.71535229097171e+002	(1.84901138190434e+000dB,1.12733556448247e+002°)
3.80189396320559e+002	(1.67838280876557e+000dB,1.12265807403658e+002°)
3.89045144994279e+002	(1.50661895416771e+000dB,1.11805633189644e+002°)
3.98107170553495e+002	(1.33375671915782e+000dB,1.11353026112843e+002°)
4.07380277804111e+002	(1.15983234379864e+000dB,1.10907970976882e+002°)
4.16869383470333e+002	(9.84881373519384e-001dB,1.10470445486360e+002°)
4.26579518801591e+002	(8.08938633147153e-001dB,1.10040420627061e+002°)
4.36515832240164e+002	(6.32038204841889e-001dB,1.09617861055573e+002°)
4.46683592150961e+002	(4.54213406475460e-001dB,1.09202725480337e+002°)
4.57088189614873e+002	(2.75496776974149e-001dB,1.08794967039981e+002°)
4.67735141287196e+002	(9.59200625208790e-002dB,1.08394533670186e+002°)
4.78630092322636e+002	(-8.44857913222466e-002dB,1.08001368451089e+002°)
4.89778819368444e+002	(-2.65690647182968e-001dB,1.07615409970809e+002°)
5.01187233627270e+002	(-4.47665180973752e-001dB,1.07236592654326e+002°)
5.12861383991362e+002	(-6.30380880469715e-001dB,1.06864847093220e+002°)
5.24807460249770e+002	(-8.13810047649661e-001dB,1.06500100360174e+002°)
