Freq.	V(out)
1.16680961706096e+001	(-3.85975794895078e-004dB,-6.08463450323067e-001°)
1.16949939101987e+001	(-3.86473855204419e-004dB,-6.09866121168274e-001°)
1.17219536554813e+001	(-3.86974214765368e-004dB,-6.11272025626615e-001°)
1.17489755493953e+001	(-3.87476884174826e-004dB,-6.12681171153188e-001°)
1.17760597352080e+001	(-3.87981874113596e-004dB,-6.14093565220284e-001°)
1.18032063565173e+001	(-3.88489195275025e-004dB,-6.15509215317427e-001°)
1.18304155572516e+001	(-3.88998858442149e-004dB,-6.16928128951411e-001°)
1.18576874816716e+001	(-3.89510874420192e-004dB,-6.18350313646341e-001°)
1.18850222743701e+001	(-3.90025254078990e-004dB,-6.19775776943673e-001°)
1.19124200802737e+001	(-3.90542008315391e-004dB,-6.21204526402252e-001°)
1.19398810446427e+001	(-3.91061148103394e-004dB,-6.22636569598358e-001°)
1.19674053130724e+001	(-3.91582684471009e-004dB,-6.24071914125741e-001°)
1.19949930314937e+001	(-3.92106628464572e-004dB,-6.25510567595658e-001°)
1.20226443461741e+001	(-3.92632991206612e-004dB,-6.26952537636926e-001°)
1.20503594037179e+001	(-3.93161783850520e-004dB,-6.28397831895948e-001°)
1.20781383510678e+001	(-3.93693017635521e-004dB,-6.29846458036763e-001°)
1.21059813355048e+001	(-3.94226703825919e-004dB,-6.31298423741084e-001°)
1.21338885046497e+001	(-3.94762853747743e-004dB,-6.32753736708339e-001°)
1.21618600064636e+001	(-3.95301478764636e-004dB,-6.34212404655708e-001°)
1.21898959892486e+001	(-3.95842590322220e-004dB,-6.35674435318173e-001°)
1.22179966016487e+001	(-3.96386199876726e-004dB,-6.37139836448548e-001°)
1.22461619926504e+001	(-3.96932318989512e-004dB,-6.38608615817530e-001°)
1.22743923115840e+001	(-3.97480959220972e-004dB,-6.40080781213735e-001°)
1.23026877081238e+001	(-3.98032132224086e-004dB,-6.41556340443737e-001°)
1.23310483322890e+001	(-3.98585849701988e-004dB,-6.43035301332118e-001°)
1.23594743344450e+001	(-3.99142123395426e-004dB,-6.44517671721502e-001°)
1.23879658653036e+001	(-3.99700965102052e-004dB,-6.46003459472598e-001°)
1.24165230759240e+001	(-4.00262386681244e-004dB,-6.47492672464242e-001°)
1.24451461177138e+001	(-4.00826400038673e-004dB,-6.48985318593443e-001°)
1.24738351424294e+001	(-4.01393017160059e-004dB,-6.50481405775420e-001°)
1.25025903021771e+001	(-4.01962250046560e-004dB,-6.51980941943644e-001°)
1.25314117494141e+001	(-4.02534110775521e-004dB,-6.53483935049883e-001°)
1.25602996369487e+001	(-4.03108611505302e-004dB,-6.54990393064243e-001°)
