Frequency,Channel 1 Magnitude (dB),Mag,Pha
100,0.01462508656848483,-0.277376210997354,-0.5572359742455717
100.0921458319296,0.01424865823638387,-0.2772184202249154,-0.5589127592499779
100.1843765724026,0.01397799111962461,-0.2768868586142871,-0.5576278923232394
100.2766922996587,0.01390353700377839,-0.2771280804974796,-0.5605285487401019
100.3690930920097,0.01432257818038941,-0.2773055353221057,-0.5621437645806964
100.4615790278395,0.01439496315039433,-0.2770959485647057,-0.5607562523604486
100.5541501856044,0.0144491399323282,-0.2776988317661822,-0.5622833511125691
100.6468066438326,0.01424820999706302,-0.2775956189522222,-0.5655385671047455
100.7395484811251,0.01437625089253228,-0.2775633743932988,-0.5652896937928631
100.8323757761551,0.01452170662650894,-0.2779155609330003,-0.5631939425034034
100.9252886076684,0.01458881022141022,-0.2777765767855184,-0.5649939136309676
101.0182870544833,0.01452304622723996,-0.2772010239669374,-0.5658169172202818
101.1113711954907,0.01422358478525736,-0.2774509808214924,-0.5672472538134912
101.2045411096542,0.01456675692125839,-0.2776566477380499,-0.5688956543175738
101.2977968760102,0.01386244557155777,-0.2781398990909998,-0.5680784897781521
101.3911385736679,0.01439192689377087,-0.2775075290976696,-0.5663352572022333
101.4845662818096,0.01438631973143849,-0.2774465248214506,-0.5690152719581363
101.5780800796901,0.01407285014546476,-0.2773953537688705,-0.5720837010517243
101.6716800466376,0.01379560460278972,-0.2769780157782454,-0.5698653968710552
101.7653662620533,0.01455028119431024,-0.2773247187985076,-0.5705071397719195
101.8591388054117,0.01432958111200363,-0.2775300075380781,-0.574778922033687
101.9529977562602,0.01424480957101288,-0.2774740298189409,-0.5719170556735662
102.0469431942199,0.01422738518329586,-0.2771517146498371,-0.5722902707377813
102.1409751989849,0.01450987837930837,-0.2777950413537296,-0.5753620156039574
102.235093850323,0.01414245628097374,-0.2774162626148453,-0.5723534906413192
102.3292992280754,0.01401020648680507,-0.2773765644420605,-0.5760276444578096
102.4235914121569,0.01423681319460706,-0.278187318062745,-0.5782469598532103
102.5179704825558,0.01385748877671138,-0.277310835695612,-0.5771427503193216
102.6124365193342,0.01409717722509113,-0.2776134199897461,-0.5740660638718325
102.7069896026282,0.01401650577394197,-0.2771993303827024,-0.5751130119937642
102.8016298126473,0.01393191446177624,-0.2775757326420446,-0.5772966879235746
102.8963572296754,0.01431949474866349,-0.2774603856299128,-0.5748815146458952
102.9911719340699,0.01416360566697491,-0.2775881884433526,-0.5748450969716856
103.0860740062626,0.01429597782500488,-0.2776805104676692,-0.5786141431451775
103.1810635267592,0.01456686494041672,-0.2777951928868919,-0.5780454255356062
103.2761405761397,0.01391464774027966,-0.2774376221525123,-0.5814002139345007
103.3713052350584,0.01401019495639548,-0.2772341880874912,-0.5778011486164871
103.4665575842438,0.01363884840226833,-0.2771625860670617,-0.5795195138915403
103.5618977044986,0.0144754285882564,-0.2772982317891994,-0.5827081633708815
103.6573256767005,0.01458042402463876,-0.2774936421412781,-0.5808245823806644
103.7528415818013,0.01405097166015182,-0.277350833048147,-0.5796895019906287
103.8484455008274,0.01428570789903679,-0.2771603665933379,-0.5828984934992718
103.9441375148801,0.01469111754426572,-0.2775503791469565,-0.5800283303738922
104.0399177051352,0.01432252482462375,-0.2774688397864348,-0.5826976432313842
104.1357861528434,0.01403814951514845,-0.2776302513132904,-0.585008718333043
104.2317429393304,0.01421830957915428,-0.2766941437859139,-0.5833975919599368
104.3277881459966,0.01406392127775988,-0.2773480558398366,-0.584759865883143
104.4239218543175,0.01422020343640701,-0.2773368706514565,-0.5859003494091581
104.5201441458436,0.01371081979908728,-0.2773816620907148,-0.5868732082380603
104.6164551022008,0.01418564919879935,-0.2775519714636976,-0.5900644469008611
104.71285480509,0.01431937133030852,-0.27734439722924,-0.5887562574695018
104.8093433362873,0.01439780963484093,-0.2777824462094154,-0.5838184706343839
104.9059207776445,0.01423497525231757,-0.2769378491537051,-0.5865192575533555
105.0025872110884,0.01391193503758849,-0.2774431365857579,-0.5902219102464983
105.0993427186216,0.01382136558633298,-0.2775514216344558,-0.587516832270893
105.1961873823222,0.01397401330426341,-0.2777828523484197,-0.5895815953368526
105.293121284344,0.01436241961903588,-0.2776914676913761,-0.5907522822872657
105.3901445069161,0.01437074637024178,-0.2772442994391241,-0.5903330743751667
105.4872571323437,0.01391186126615186,-0.2772772055157394,-0.5932064349792654
105.584459243008,0.01472206262910242,-0.2772911949505025,-0.5921045397218236
105.6817509213658,0.01418389021770452,-0.2775517799227702,-0.593373515058488
105.7791322499501,0.01456974911863079,-0.2777675428875752,-0.5915424005774597
105.8766033113697,0.01434191430510602,-0.2776935660922508,-0.5972229339429305
105.9741641883097,0.0146007344694225,-0.2775295595146727,-0.59556040755038
106.0718149635315,0.01454680652016543,-0.2775538324315407,-0.594552223571128
106.1695557198724,0.01485820536893363,-0.2780257608173193,-0.5953042257213426
106.2673865402465,0.01444792091265091,-0.2777104350278525,-0.5946358244911203
106.3653075076439,0.01471836349419334,-0.2774673217886922,-0.595467105771661
106.4633187051312,0.01465908934174305,-0.2775682017007331,-0.5990901484117472
106.5614202158519,0.01408250617527977,-0.27740820888342,-0.5999449672565902
106.6596121230258,0.01470215677078975,-0.2774003062721513,-0.5991550941373305
106.7578945099494,0.01472107860577485,-0.2776862386438864,-0.5980034168670407
106.8562674599961,0.01413442782703133,-0.2779726681491614,-0.5996383869546378
106.954731056616,0.01421051184813625,-0.2770306890415213,-0.5997577547836457
107.0532853833362,0.01418246591160845,-0.2774160197238941,-0.5984056896677608
