Freq.	V(out)
1.05681750921366e+000	(-1.70062708699967e-006dB,-3.57627036113624e-002°)
1.05925372517729e+000	(-1.70847682597986e-006dB,-3.58451451533302e-002°)
1.06169555719872e+000	(-1.71636279572155e-006dB,-3.59277767426509e-002°)
1.06414301822431e+000	(-1.72428516691084e-006dB,-3.60105988174286e-002°)
1.06659612123026e+000	(-1.73224410637650e-006dB,-3.60936118167775e-002°)
1.06905487922266e+000	(-1.74023978287598e-006dB,-3.61768161808240e-002°)
1.07151930523761e+000	(-1.74827236516673e-006dB,-3.62602123507090e-002°)
1.07398941234124e+000	(-1.75634202393483e-006dB,-3.63438007685906e-002°)
1.07646521362983e+000	(-1.76444892890206e-006dB,-3.64275818776458e-002°)
1.07894672222983e+000	(-1.77259325557617e-006dB,-3.65115561220735e-002°)
1.08143395129794e+000	(-1.78077517560757e-006dB,-3.65957239470965e-002°)
1.08392691402120e+000	(-1.78899485775372e-006dB,-3.66800857989639e-002°)
1.08642562361706e+000	(-1.79725248427266e-006dB,-3.67646421249537e-002°)
1.08893009333343e+000	(-1.80554822681481e-006dB,-3.68493933733747e-002°)
1.09144033644876e+000	(-1.81388225799494e-006dB,-3.69343399935693e-002°)
1.09395636627209e+000	(-1.82225475814243e-006dB,-3.70194824359158e-002°)
1.09647819614318e+000	(-1.83066590469369e-006dB,-3.71048211518307e-002°)
1.09900583943252e+000	(-1.83911587315646e-006dB,-3.71903565937709e-002°)
1.10153930954141e+000	(-1.84760484868177e-006dB,-3.72760892152367e-002°)
1.10407861990207e+000	(-1.85613300484872e-006dB,-3.73620194707736e-002°)
1.10662378397766e+000	(-1.86470052584400e-006dB,-3.74481478159748e-002°)
1.10917481526240e+000	(-1.87330759103268e-006dB,-3.75344747074841e-002°)
1.11173172728159e+000	(-1.88195438653013e-006dB,-3.76210006029976e-002°)
1.11429453359173e+000	(-1.89064109363005e-006dB,-3.77077259612669e-002°)
1.11686324778056e+000	(-1.89936789651916e-006dB,-3.77946512421007e-002°)
1.11943788346715e+000	(-1.90813498034849e-006dB,-3.78817769063680e-002°)
1.12201845430196e+000	(-1.91694253219774e-006dB,-3.79691034160000e-002°)
1.12460497396692e+000	(-1.92579073625361e-006dB,-3.80566312339929e-002°)
1.12719745617551e+000	(-1.93467978345311e-006dB,-3.81443608244102e-002°)
1.12979591467280e+000	(-1.94360985894728e-006dB,-3.82322926523851e-002°)
1.13240036323556e+000	(-1.95258115656611e-006dB,-3.83204271841231e-002°)
1.13501081567231e+000	(-1.96159386049631e-006dB,-3.84087648869043e-002°)
1.13762728582343e+000	(-1.97064816649654e-006dB,-3.84973062290861e-002°)
1.14024978756117e+000	(-1.97974426453948e-006dB,-3.85860516801057e-002°)
1.14287833478977e+000	(-1.98888234941946e-006dB,-3.86750017104821e-002°)
1.14551294144553e+000	(-1.99806261303781e-006dB,-3.87641567918193e-002°)
1.14815362149688e+000	(-2.00728525211751e-006dB,-3.88535173968084e-002°)
1.15080038894443e+000	(-2.01655045855992e-006dB,-3.89430839992300e-002°)
1.15345325782109e+000	(-2.02585843487399e-006dB,-3.90328570739569e-002°)
1.15611224219210e+000	(-2.03520937199673e-006dB,-3.91228370969568e-002°)
1.15877735615512e+000	(-2.04460347147278e-006dB,-3.92130245452945e-002°)
1.16144861384034e+000	(-2.05404093195377e-006dB,-3.93034198971343e-002°)
1.16412602941049e+000	(-2.06352195594866e-006dB,-3.93940236317433e-002°)
1.16680961706096e+000	(-2.07304674018046e-006dB,-3.94848362294929e-002°)
1.16949939101987e+000	(-2.08261548908677e-006dB,-3.95758581718622e-002°)
